,text,tag,author,from_book
0,“那个暴利不是由我决定的，是由认得主决定的。主让众生把他口袋里得钱掏出来，由不得他不掏，因为不是我让人有了灵， 是上帝。”,佛系,豆豆,《天道》
1,“正果是不想了，尘埃落定。”,佛系,豆豆,《天道》
2,佛说，看山是山，看水是水。我只是依佛法如实观照，看摩登女郎实摩登女郎，看红颜知己实红颜知己。,佛系,豆豆,《天道》
3,佛曰：是功德，天魔本性极恶，认识本性，横行杀戮，即成自在，与佛平等。,佛系,梦入神机,《阳神》
4,无我相，无人相，无众生相，无寿者相，红粉骷髅，白骨皮肉。,佛系,梦入神机,《阳神》
5,天视自我民视，天听自我民听，天意自我民意。,佛系,梦入神机,《阳神》
6,何为魔，有苍生处便有魔，天地间，一切众生皆有魔念，只是未曾显现而己。,佛系,梦入神机,《佛本是道》
7,天道无常，天道无形，包容万物，游离其外。,佛系,梦入神机,《佛本是道》
8,若爱生时，便生愁蹙、啼哭，忧若烦恼、懊恼。从痴有爱，则我病生，但为欲故，关在痴狱。,佛系,沈复,《浮生六记》
9,贪嗔痴爱，是非人我，一切放下,佛系,沈复,《浮生六记》
10,神灵为自己保留了那对于最为重要的东西的认识。,佛系,苏格拉底,《佚名》
11,在极深禅定之中，人可以除灭时间并同时经历所有过去、现在与未来，于是一切皆善，一切完美，一切即梵。因此，我认为一切的存在皆为至善——无论是死与生，无论罪孽与虔诚，无论智慧或是蠢行，一切皆是必然，一切只需我的欣然赞同，一切只需我的理解与爱心；因而万物于我皆为圆满，世上无物可侵害于我。,佛系,赫尔曼·黑塞,《悉达多》
12,“黄老邪对‘名’淡薄，一灯大师视‘名’为虚幻，只有周伯通，却是心中空空荡荡，本来便不存‘名’之一念，可又比我们高出一筹了。东邪、西狂、南僧、北侠、中顽童五绝之中，以你居首！”,佛系,金庸,《天龙八部》
13,慕容博微微一笑，说道：“庶民如尘土，帝王亦如尘土。大燕不复国是空，复国亦空。”,佛系,金庸,《天龙八部》
14,焚我残躯，熊熊圣火，生亦何欢，死亦何苦？为善除恶，唯光明故。喜乐悲愁，皆归尘土。怜我世人，忧患实多,佛系,金庸,《倚天屠龙记》
15,咱们学佛，志在悟道解脱，武功高下乃是末节。,佛系,金庸,《鹿鼎记》
16,人活一世，草木一秋。,佛系,佚名,《增广贤文》
17,真正的行进者最后试图面对和驯服的只是自己的内心。,佛系,安妮宝贝,《眠空》
18,多情和无情都是一种修行。,佛系,安妮宝贝,《眠空》
19,为什么难过呢，无非是贪嗔痴。,佛系,安妮宝贝,《素年锦时》
20,天地中万物，人伦中万情，世界中万事，以俗眼观纷纷各异，以道眼观种种是常常，何须分别？何须取舍？,佛系,洪应明,《菜根谭》
21,心无物欲，即是秋空霁海；坐有琴书，便成石室丹丘。,佛系,洪应明,《菜根谭》
22,昼闲人寂，听数声鸟语悠扬，不觉耳根尽彻；夜静天高，看一片云光舒卷，顿令眼界俱空。,佛系,洪应明,《菜根谭》
23,闲中不放过，忙中有受用；静中不落空，动中有受用；暗中不欺隐，明中有受用。,佛系,洪应明,《菜根谭》
24,山河大地已属微尘，而况尘中之尘，血肉之躯且归泡影，而况影外之影。非上上智，无了了心。,佛系,洪应明,《菜根谭》
25,隐逸林中无荣辱，道义路上少炎凉。,佛系,洪应明,《菜根谭》
26,缠脱只在自心，心了则屠肆糟糠，居然净土。不然，纵一琴一鹤，一花一卉，嗜好虽清，魔障终在。语云：“能休尘境为真境，未了僧家是俗家。”信夫！,佛系,洪应明,《菜根谭》
27,生固欣然，死亦无憾。花落还开，水流不断。我兮何有，谁欤安息。明月清风，不劳寻觅。,佛系,洪应明,《菜根谭》
28,钓水，逸事也，尚持生杀之柄；弈棋，清戏也，且动战争之心。可见喜事不如省事之为适，多能不若无能之全真。,佛系,洪应明,《菜根谭》
29,一念错，便觉百行皆非，防之当如渡海浮囊，勿容一针之罅漏；万善全，始得一生无愧。修之当如凌云宝树，须假众木以撑持。,佛系,洪应明,《菜根谭》
30,世人只缘认得“我”字太真，故多种种嗜好，种种烦恼。前人云：“不复知有我，安知物为贵？”又云：“知身不是我，烦恼更何侵？”真破的之言也。,佛系,洪应明,《菜根谭》
31,去留无所系，静躁不相干。,佛系,洪应明,《菜根谭》
32,德怨两忘，恩仇俱泯。,佛系,洪应明,《菜根谭》
33,忙里要偷闲，须先向闲时讨个把柄；闹中要取静，须先从静里立个根基。,佛系,洪应明,《菜根谭》
34,蛾扑火，火焦蛾，莫谓祸生无本；果种花，花结果，须知福至有因。,佛系,洪应明,《菜根谭》
35,贫家净扫地，贫女净梳头，景色虽不艳丽，气度自是风雅。士君子一当穷愁寥落，奈何辄自废弛哉。,佛系,洪应明,《菜根谭》
36,笙歌正浓处，便自拂衣长往，羡达人撒手悬崖；更漏已残时，犹然夜行不休，笑俗士沉身苦海。,佛系,洪应明,《菜根谭》
37,放得心下，入圣脱凡。,佛系,洪应明,《菜根谭》
38,窄处留一步，浓时让三分。,佛系,洪应明,《菜根谭》
39,遇欺诈之人，以诚心感动之；遇暴戾之人，以和气薰蒸之。,佛系,洪应明,《菜根谭》
40,除灭一切诸心毒，思惟修习最上智，不为自己求安乐，但愿众生得离苦。,佛系,佚名,《华严经》
41,无见即是见，能见一切法，于法若有见，此则无所见。,佛系,佚名,《华严经》
42,睡眠始寤，当愿众生：一切智觉，周顾十方。,佛系,佚名,《华严经》
43,若看师子，唯师子，无金，即师子显，金隐；若看金，唯金，无师子，即金显，师子隐；若两处看，俱隐俱显。金与师子，或隐或显，或一或多，各无自性，由心回转。,佛系,佚名,《华严经》
44,宁受地狱苦，得闻诸佛名，不受无量乐，而不闻佛名。,佛系,佚名,《华严经》
45,著璎珞时，当愿众生：舍诸伪饰，到真实处。,佛系,佚名,《华严经》
46,诸法无真实，妄取真实相，是故诸凡夫，轮回生死狱。,佛系,佚名,《华严经》
47,"先以欲勾牵,后令入佛智。",佛系,佚名,《华严经》
48,比如梦中见种种诸异象。世间亦如是，与梦无差别。,佛系,佚名,《华严经》
49,心如工画师，能画诸世间。,佛系,佚名,《华严经》
50,普贤菩萨十大愿王一者礼敬诸佛； 二者称赞如来； 三者广修供养； 四者忏悔业障； 五者随喜功德； 六者请转法錀； 七者请佛住世； 八者常随佛学； 九者恒顺众生； 十者普皆回向。 十方三世一切佛，一切菩萨摩诃萨、摩诃般若波罗蜜。 四生九有，同登华藏玄门；八难三途，共入毗卢性海。,佛系,佚名,《华严经》
51,刹尘心念可数知.大海中水可饮尽.虚空可量风可系.无能尽说佛功德,佛系,佚名,《华严经》
52,于一微尘中，悉见诸世界,佛系,佚名,《华严经》
53,应观一切法界如幻，诸佛如影，菩萨行如梦，佛说法如响，一切世间如化，业报所持故。差别身如幻，行力所起故。一切众生如心，种种杂染故。一切法如实际，不可变异故。,佛系,佚名,《华严经》
54,净心水器，莫不影显，常现在前；但器浊心之人生，不见如来法身之影,佛系,佚名,《华严经》
55,All life is a game of luck. 生活本来就全靠运气。,佛系,詹姆斯·卡梅隆,《泰坦尼克号》
56,等你什么时候明白舍身取义的时候，你就会回来陪我唱这首歌,佛系,周星驰,《大话西游》
57,因爱生忧，因爱生怖；若离于爱着，无忧亦无怖。,佛系,佚名,《读者》
58,无论生我养我之人，还是我生我养之人，,佛系,佚名,《读者》
59,红尘十丈，却困众生芸芸，仁心虽小，也容我佛慈悲。,佛系,西子情,《妾本惊华》
60,问因果浮沉，问几经爱恨,佛系,佚名,《佚名》
61,凡所有相，皆是虚妄,佛系,佚名,《佚名》
62,会者定离，一期一祈,佛系,佚名,《佚名》
63,凡活着的人，谁也摆脱不了人生这个大梦。即使看破人生，皈依佛门，那灭绝苦乐的涅槃境界仍是一个梦。不过，能够明白这一点，不以觉者自居，也就算得上是觉者了。,佛系,周国平,《风中的纸屑》
64,强者的无情是统治欲，弱者的无情是复仇欲，两者还都没有脱离人欲的范畴。还有第三种无情：淡泊超脱，无欲无争。这是出世者的大无情。,佛系,周国平,《风中的纸屑》
65,"浮生若梦,何妨就当它是梦,尽兴地梦它一场?，世事如云,何妨就当它是云,从容地观它千变?",佛系,周国平,《风中的纸屑》
66,我自己的方法是，用“非拥有心态”来看待每一桩交易（特别是大笔的），把自己和感兴趣的物件适当拉开距离。有了这样的努力，我不敢说能像印度托钵僧人那样，奉行对物质世界无欲无求的信条，但至少我可以尝试像禅宗弟子那样，对世间万物，尽量待之以平常心。,佛系,丹·艾瑞里,《怪诞行为学》
67,在那儿，茫茫黑夜中，一个逃犯在潜行。背叛了上帝，辜负了天恩。上帝，请为我见证！哪怕穷尽一生，我也要让他无处遁形！我也要让他无处遁形！他在暗处轻车熟路。我跟随天主，堂堂正正。,佛系,雨果,《悲惨世界》
68,“我对这种现象或那种现象，或者是这一元素或那一元素的光谱不感兴趣，我想知道的是上帝的想法，其他的都无足轻重。”,佛系,爱因斯坦,《佚名》
69,释迦牟尼曾这样说:“恨永远无法止恨，只有爱可以止恨”,佛系,卡耐基,《人性的弱点》
70,不以恶待人，以仁爱相处。,佛系,卡耐基,《人性的弱点》
71,一切世界诸群生，少有欲求声闻乘，求独觉者转复少，趣大乘者甚难遇。,佛系,佚名,《华严经》
72,一切威仪中，常念佛功德，昼夜无暂断，如是业应作。,佛系,佚名,《华严经》
73,如是回向到彼岸，普使群生离众垢，永离一切诸所依，得入究竟无依处。,佛系,佚名,《华严经》
74,尔时，善财童子于此一切珍宝妙物，乃至男女、六尘境界，皆无爱著，但正思惟究竟之法，一心愿乐见善知识。,佛系,佚名,《华严经》
75,若能如法供养佛，则能念佛心不动；若能念佛心不动，则常睹见无量佛。,佛系,佚名,《华严经》
76,远离于法想，不乐一切法，此亦无所修，能见大牟尼。,佛系,佚名,《华严经》
77,不为自身求利益，欲令一切悉安乐，未曾暂起戏论心，但观诸法空无我。,佛系,佚名,《华严经》
78,说一切有悉皆如梦，说诸欲乐无有滋味，令诸众生离烦恼缚；说忍辱力，令于诸法心得自在；,佛系,佚名,《华严经》
79,灭一切见，修诸菩萨平等行愿。,佛系,佚名,《华严经》
80,不求五欲及王位，富饶自乐大名称，但为永灭众生苦，利益世间而发心。,佛系,佚名,《华严经》
