,text,tag,author,from_book
0,禅宗讲，一花一世界，一叶一如来。一句也是多，一说就是错。,佛语,冯唐,《活着活着就老了》
1,但度无所苦，我自迎接汝。,佛语,Priest,《山河令》
2,一入红尘，便生因果。,佛语,Priest,《山河令》
3,记住，大智者告诉我们，明心一丝的不查，将带来蒙尘一世的黑暗。,佛语,何马,《藏地密码》
4,生于虚空葬虚空，名为虚空逝虚空。,佛语,辰东,《遮天》
5,凡尘一叶可遮天。,佛语,辰东,《遮天》
6,吾道之下，一切皆空。,佛语,辰东,《遮天》
7,佛度众生，偏偏又有多少轮回难解，求佛不如求己，奈何世人苦苦执著，舍近求远，难怪佛总是垂眸浅笑静而不语了。,佛语,饶俊,《醉玲珑》
8,悟为明性，在知。修行以行制性，悟道以性施行，觉者由心生律，修者以律制心，有信无证者虽不落恶果，却住因住果住念住心，如是生灭，不得涅磐。,佛语,豆豆,《天道》
9,了心苦不起苦。,佛语,豆豆,《天道》
10,建时凭心凭理超度亲疏，不是佛门正本，但他得佛根理只有熔点没有正智，所以他看我是一个元宝不失德性，一坛元宝图财害命。他是佛是修来世正果得佛，他还得到佛祖那里多咨询咨询。,佛语,豆豆,《天道》
11,得救不是破了戒的狼吞虎咽，是觉悟。,佛语,豆豆,《天道》
12,正确的祈祷永远不是恳求的祷告，而是感恩的祷告。,佛语,尼尔·唐纳德·沃尔什,《与神对话》
13,徒问：“我怎样才能避免生死轮回？”,佛语,鲁思·本尼迪克特,《菊与刀》
14,既然禅意可以顿悟，为何还要读那样多的佛经呢？和尚说，禅意就像鸟，飞来飞去，可能你一挥手就正好撞上，佛理则像网子，你懂得越多，捉到鸟儿的机会也就越多。,佛语,鲁思·本尼迪克特,《菊与刀》
15,过去的事已经过去，过去的事无法挽回。,佛语,荷马,《荷马史诗》
16,神祗编织不幸，以便人类的后代歌唱。,佛语,荷马,《荷马史诗》
17,人体是最神圣的东西。,佛语,荷马,《荷马史诗》
18,"《圣经》上说，""彼得""三次不认主，鸡叫之后，他良心发现，出去掩面痛哭，当时耶稣只慈爱的看了他一眼，没有破口大骂他。所以你也不要骂他，他也会出去痛哭的。不是不报，时辰未到也。",佛语,三毛,《稻草人手记》
19,天下最复杂的，不是天道而是人道。有些事情就连上古圣皇都做不好，他们如果能做好，一步一步，剥茧抽丝，理清天下的积郁，道的繁杂，这对人心念头的修为，是不可想象的。红尘之中，是最好的炼心场所。,佛语,梦入神机,《阳神》
20,有常无常，双树荣枯，东西南北，非假非空。,佛语,金庸,《天龙八部》
21,鸠摩智微微笑道：“世外闲人，岂再为这等俗事萦怀？老衲今后行止无定，随遇而安，心安乐处，便是身安乐处。”,佛语,金庸,《天龙八部》
22,诵经礼佛之时，须当心中一片空明，不可有丝毫情缘牵缠。你一面念经，一面想着死去的丈夫，复有何用？,佛语,金庸,《鹿鼎记》
23,世界的最能理解之处就在于它是不能理解的，世界的最不能理解之处就在于它是能理解的。,佛语,刘慈欣,《三体》
24,“空不是无，空是一种存在，你得用空这种存在填满自己。”,佛语,刘慈欣,《三体》
25,日夜受罪 以至劫数,佛语,麦兆辉,《无间道》
26,佛曰:受身无间者永生不死，寿长乃无间地狱之大劫。,佛语,麦兆辉,《无间道》
27,美与善是不可分割的，因为二者都以形式为基础；因此，人们通常把善的东西也称赞为美的。,佛语,托马斯·阿奎纳,《佚名》
28,离一切诸相，即名诸佛。,佛语,佚名,《金刚经》
29,在在处处，若有此经，一切世间天、人、阿修罗所应供养，当知此处即为是塔，皆应恭敬作礼围绕，以诸华香而散其处。,佛语,佚名,《金刚经》
30,说法者，无法可说，故名说法。,佛语,佚名,《金刚经》
31,若复有人得闻是经，信心清静，即生实相，当知是人成就第一希有功德。,佛语,佚名,《金刚经》
32,不取于相，如如不动。,佛语,佚名,《金刚经》
33,迷性见相，离相见性。,佛语,佚名,《金刚经》
34,“能断金刚般若波罗密经”是本经总题。含义即是以金刚般的无坚不摧、无障不破的般若智慧对治一切虚妄执著，达到对实相的理解，得到解脱，到达彼岸。,佛语,佚名,《金刚经》
35,若复有人得闻是经，不惊不怖不畏，当知是人甚为希有。,佛语,佚名,《金刚经》
36,无诤三味,佛语,佚名,《金刚经》
37,若心有住，则为非住。,佛语,佚名,《金刚经》
38,布施要无相，度生要无我,佛语,佚名,《金刚经》
39,无我相，无人相，无众生相，无寿相者,佛语,佚名,《金刚经》
40,佛曰:前世如若不相欠，今生又怎会相见！,佛语,佚名,《佛经》
41,有种花，超出三界之外，不在五行之中，生于弱水彼岸，无茎无叶，绚烂绯红。佛说：那是引魂之花——彼岸花。花开一千年，叶一千年，花叶永不相见。彼岸花开只一团火红，相念相惜却不得相见，独自彼岸路。,佛语,佚名,《佛经》
42,命由己造，相由心生，世间万物皆是化相，心不动，万物皆不动，心不变，万物皆不变。,佛语,佚名,《佛经》
43,一花一世界，一叶一如来，春来花自青，秋至叶飘零，无穷般若心自在，语默动静体自然,佛语,佚名,《佛经》
44,人生八苦：生，老，病，死，爱别离，怨长久，求不得，放不下。,佛语,佚名,《佛经》
45,彼岸花，开一千年，落一千年，花叶永不相见。,佛语,佚名,《佛经》
46,我心想，一个人可以成为别人的仇敌，成为别人一个时期的仇敌，但不能成为一个地区、萤火虫、字句、花园、水流和风的仇敌。,佛语,博尔赫斯,《小径分岔的花园》
47,佛家有一层醒悟，叫：离暗出明。有时候我能够明确地体会到，心里头就会泛起一波一波的欢喜。,佛语,池莉,《熬至滴水成珠》
48,无人象，无我象，无众生象，无寿者象,佛语,兰晓龙,《好家伙》
49,涤进罪恶 彼岸重生,佛语,,
50,师父：一禅，有人找,佛语,佚名,《一禅小和尚》
51,一禅：师父，你说为什么我的功课老是没进步啊,佛语,佚名,《一禅小和尚》
52,一花一世界，一木一浮尘,佛语,佚名,《一禅小和尚》
53,一禅：师父，为什么人们喜欢放生小动物呀？,佛语,佚名,《一禅小和尚》
54,行于所当行，,佛语,佚名,《一禅小和尚》
55,流星亮起来，不输日月,佛语,佚名,《一禅小和尚》
56,其实人生，就是由一段一段等待，拼接而成的。等一片花落，等一方月圆，等一人归来，等一缕尘缘。,佛语,佚名,《一禅小和尚》
57,一禅：师傅，叶子落了，叶子离开树，是树对它不好吗？,佛语,佚名,《一禅小和尚》
58,胖子，他是佛，他可以经历了痛苦，但也能消化了痛苦，然而云彩没了，佛终于也被难住了，无法消化痛苦了,佛语,南派三叔,《盗墓笔记》
59,谁披了袈裟断了发，守了青铜藏了花。,佛语,南派三叔,《盗墓笔记》
60,阿难即从座起。礼佛合掌，长跪白佛。世尊，若此见闻，必不生灭，云何世尊，名我等辈，遗失真性，颠倒行事。愿兴慈悲，洗我尘垢。,佛语,佚名,《佛经》
61,四个老婆,佛语,佚名,《佛经》
62,你忘记了吗?我回答说没有，或者说忘了吧，留存美好，忘记悲哀，一切自在来源于选择嘛，你说的。,佛语,佚名,《佛经》
63,若断爱无余。如莲花处水。,佛语,佚名,《佛经》
64,此有故彼有，此生故彼生，此无故彼无，此灭故彼灭。,佛语,佚名,《佛经》
65,心之所愿，身相随之！,佛语,佚名,《佛经》
66,当知虚空生汝心中，犹如片云点太清里，况诸世界在虚空耶？,佛语,佚名,《佛经》
67,菩萨低眉，因见众生，无始以来，轮回生死，生大慈悲心，欲度众生故，随顺众生。,佛语,佚名,《佛经》
