,text,tag,author,from_book
0,人，不一定要去改变什么，但一定要找到自己。要找到自己，其实也很容易，有时，只需要多一点点决心和勇气就可以做到！,决心,何马,《藏地密码》
1,从何处来，到何处去。名君英主，圣贤英豪，元奸大恶，百年以后，莫不有死。唯一能保持永恒的，只有此刻头顶上的星光而已。人类一直期待永恒，这是人类的潜在欲望。或许，正是意识到了自己的短暂，人类才企望能创造出身后能流传下去的事业吧！名君英主缔造了传承数百年的辉煌王朝，英雄好汉们做下了留名丹青的宏图伟业，而那些没有能力和幸运成为名君和英雄的人（通常管他们叫恶棍和败类）也定下了不能流芳百世也要遗臭万年的坚定决心。最不济的是那些芸芸众生，他们唯一能做的就是使劲多生几个孩子，让子孙后代绵延不绝了。,决心,老猪,《紫川》
2,彼时应景令我多年难以忘怀：女子温净如晨，秀丽如菊，我忽然好想，好想，再要一个妻。真真正正的妻。,决心,七堇年,《尘曲》
3,我希望你们找到人生中真正的意义、满足和激情。我希望你们能安度未来的艰难时光，并收获更强大的力量与更坚定的决心。我希望你们能够平衡自己的生活，睁大眼睛去寻找。我还希望你们怀着进取心，在事业里全心投入，去掌控世界。因为世界需要你们去改变它，全世界女性都在指望你们改变她们的命运。,决心,雪莉·桑德伯格,《向前一步》
4,但使自今以后，日亡日去耳。,决心,刘义庆,《世说新语》
5,我已经开始参与夺嫡了，我要得到这个至尊之位，为了所有的人。,决心,海宴,《琅琊榜》
6,女人的鼓励对男人是非常重要的，因为它让男人相信自己的价值，并会促使男人为证明自己的价值而努力。但男人的鼓励却很难帮助女人，受伤的女人最需要疗伤，他们希望对方倾听自己的感受，并对自己理解和支持。当他们感到自己被关心、被爱的时候，伤口才会逐渐愈合。所以说，受伤的女人是不需要鼓励的，当女人下定决心去做某一件事的时候，那才是她们真正需要鼓励的时候。,决心,约翰·格雷,《男人来自火星女人来自金星》
7,明知不可为而为之，有时候并不是愚忠顽固，这是早已下过赴死决心的不屈精神，就是要凭借一己之力努力尝试改变什么。如果连做都不去做，便一点希望也没有。,决心,辰东,《神墓》
8,不个此,决心,桩桩,《永夜》
9,我们人人要存着必胜的决心，然而我们也要不怕屡败的挫折。,决心,郭沫若,《郭沫若诗歌》
10,既然我已经踏上这条道路，那么，任何东西都不应妨碍我沿着这条路走下去。,决心,康德,《佚名》
