,text,tag,author,from_book
0,如果关怀不能医治创伤，就用痛苦根治它。,决绝,雷米,《心理罪》
1,将千招归一，熔炼为一式，最强一击一出。有去无回，胜则生，败则亡。,决绝,辰东,《遮天》
2,庭院尽焚，不留后路。,决绝,李蔚然,《侍神令》
3,宁可自身消散，也绝不能让相柳上身。,决绝,李蔚然,《侍神令》
4,公平公正，需要牺牲。,决绝,陈思诚,《唐人街探案3》
5,得不到和已失去，她宁愿得不到。,决绝,李木戈,《暗恋橘生淮南》
6,那就让你的千万铁骑从王儇的身上踏过去！,决绝,宋晋川,《上阳赋》
7,我知道你的手段，那是生不如死啊!我赏自己一痛快的吧！,决绝,麦家,《风声》
8,对不起了各位，职责所在，鬼不显身，没有人能走出这栋楼。,决绝,麦家,《风声》
9,我不怕死，我怕我爱的人不知我为何而死。,决绝,麦家,《风声》
10,这原是一个诗的盛世；但名满天下的诗人，往往不过是诗句的附庸。决绝也好，妥协也罢，人生，注定是一场无法回头的浪游。,决绝,张大春,《大唐李白》
11,决绝也好，妥协也罢，人生，注定是一场无法回头的浪游。,决绝,张大春,《大唐李白》
12,你说这是我的主意也可以，我既然已经愿意成全你的前途，那我就成全到底，我也可以马上宣布，这样你要是定下日子启程的话，我想也不至于耽误你的行程吧!,决绝,张恨水,《金粉世家》
13,西楼一火，劳燕遂分，别来想无恙耶？秋此次不辞而别，他人必均骇然，而先生又必独欣然。,决绝,张恨水,《金粉世家》
14,守夜人誓言,决绝,乔治·马丁,《权力的游戏》
15,即使我们是一枝蜡烛，也应该“蜡炬成灰泪始干”；即使我们只是一根火柴，也要在关键的时刻有一次闪耀；即使我们死后尸骨都腐烂了，也要变成磷火在荒野中燃烧。,决绝,艾青,《艾青诗选》
16,不自由，毋宁死。,决绝,曾朴,《孽海花》
17,这话说得看似洒脱，实则万般艰难。分明是落着两行泪水，道出这样一句决绝的离别。,决绝,田维,《花田半亩》
18,王命不可违，将士不可负，国事，更不可误！,决绝,孙皓晖,《大秦赋》
19,待到阴阳逆乱时，以我魔血染青天。,决绝,辰东,《神墓》
20,生死等闲事耳，我这一生本已活够了，生有何欢，死有何怜？为什么还要在这些匹夫小人面前卑躬曲膝！,决绝,古龙,《小李飞刀：多情剑客无情剑》
21,任何人都不会在乎我，那么我也不会在乎任何人……,决绝,沧月,《听雪楼系列》
22,那猴王桀骜地狂笑着，鲜血从他的眼耳口鼻中流淌出来，那是太长的战斗震坏了五脏。“我是六耳猕猴？哈哈哈哈，我是六耳猕猴？”猴王狂笑着，支撑着他残破身躯屹立不倒的，除了那九万九千九百九十九斤的金箍棒，就只剩下他顶天立地的自尊。,决绝,今何在,《悟空传》
23,我虽然是只猪，,决绝,今何在,《悟空传》
24,唐德宗时，张光晟搞叛乱。,决绝,罗振宇,《罗辑思维》
25,如果，今日就是我的终结，那么，我必将让自己的生命火花，在这最后一刻，点燃最完美的光焰,决绝,唐家三少,《龙王传说》
26,千夫所指，心如磐石。,决绝,唐家三少,《龙王传说》
