,text,tag,author,from_book
0,长胖以后，与朋友约着一起骑马减肥，一个月后，马瘦了十斤,减肥,佚名,《微博》
1,一禅：师父，下雨了，我是不是这世上唯一有伞却被淋湿的人？,减肥,佚名,《一禅小和尚》
2,想减肥就给我动起来不许吃东西,减肥,空知英秋,《银魂》
3,健身是一件最不划算的事，又要我出钱，又要我出力,减肥,佚名,《佚名》
4,别老想着节食减肥，女生一定要身体健康，否则你很容易依赖那个对你好、照顾你的人，从而失去了对爱情的判断。,减肥,佚名,《佚名》
5,别指望减肥了，八戒走了十万八千里也没见瘦下来。而且，他还吃素！,减肥,佚名,《佚名》
6,减肥，是一场灵魂的肉体的出轨。,减肥,佚名,《微博》
7,鲁迅版：世上本没有路，减的肥多了也就有了路,减肥,佚名,《微博》
8,减掉的脂肪是用多少金钱堆积起来的，不心疼吗？ ​,减肥,佚名,《微博》
9,在沉沦的岁月里，陪伴你的只有肥肉，怎么忍心在你奋发图强时，甩掉这些甘苦与共？ ​,减肥,佚名,《微博》
10,如果你连自己的体重都控制不了，你还能控制谁？,减肥,佚名,《微博》
11,上善若水煮肉片,减肥,佚名,《微博》
12,缘木求鱼香肉丝,减肥,佚名,《微博》
13,大浪淘沙县小吃,减肥,佚名,《微博》
14,干菜烈火烧腰花,减肥,佚名,《微博》
15,妙手回春卷,减肥,佚名,《微博》
16,夏至未至尊汉堡,减肥,佚名,《微博》
17,几次三番茄炒蛋,减肥,佚名,《微博》
18,放下屠刀削面，立地成佛跳墙,减肥,佚名,《微博》
19,床前明月光，鸭血粉丝汤,减肥,佚名,《微博》
20,你那么瘦，那么多吃点。,减肥,佚名,《微博》
21,前男友的现女友比你瘦,减肥,佚名,《微博》
22,胖子是很难爬上人生巅峰的,减肥,佚名,《微博》
23,"A minute on the lips, a lifetime on the hips. 嘴上一时享受，臀上一世肥肉。 ​",减肥,佚名,《微博》
24,还有，因为能量守恒。当一个人瘦了就会有另一个人胖了。为了别人。我就不减肥了。,减肥,佚名,《微博》
25,胖一毫厘，丑一千里,减肥,佚名,《微博》
26,你拥有的东西太少是因为你吃的太多,减肥,佚名,《微博》
27,好看的锁骨千篇一律，有趣的肚腩弹来弹去。,减肥,佚名,《微博》
28,人在吃，称在看,减肥,佚名,《微博》
29,暴食终有报，贪吃少轮回,减肥,佚名,《微博》
30,谁的肚子没有几个褶，谁的人生不是跌宕起伏？,减肥,佚名,《微博》
31,没有隆起的双峰，就站不到人生的巅峰,减肥,佚名,《微博》
32,没有平坦的肚子就没有平坦的人生,减肥,佚名,《微博》
33,你躺下来就可以看到其实你的人生是上坡路 。,减肥,佚名,《微博》
34,你躺下来就可以看到你的人生一波未平一波又起！,减肥,佚名,《微博》
35,一顿只吃七分饱，李洋陪你到终老。,减肥,佚名,《微博》
36,饥饿着入睡是美丽的开始,减肥,佚名,《微博》
37,赘肉和男朋友不可皆得。,减肥,佚名,《微博》
38,女人越重，地位越轻,减肥,佚名,《微博》
39,在感情的世界里，越重的人摔得越惨,减肥,佚名,《微博》
40,月半就没人认识你了。,减肥,佚名,《微博》
41,能穿S码衣服才是S身材,减肥,佚名,《微博》
42,瘦下来才好上位。,减肥,佚名,《微博》
