,text,tag,author,from_book
0,创业的成效往往取决于时机。创业太早，客户还没有准备好。创业太晚，竞争对手太多。,创业,苏世民,《苏世民：我的经验与教训》
1,没有创业者会设想到未来的痛苦，也没有人想要痛苦，但现实就是，新事物的诞生必然伴随着阵痛，这是不可避免的。,创业,苏世民,《苏世民：我的经验与教训》
2,华尔街的人最喜欢幸灾乐祸，他们最大的爱好是观赏他人的失败。我和彼得曾经在雷曼兄弟大权在握，对创业成功深信不疑，我们的失败会让很多人感到高兴。我不能允许这样的事情发生。我不能失败，因此，必须找到一种成功的方法。,创业,苏世民,《苏世民：我的经验与教训》
3,穷爸爸教我怎样写一份出色的简历以便找到一份好工作。富爸爸教我写下雄心勃勃的事业规划和财物计划，进而创造创业机会。,创业,罗伯特·清崎,《富爸爸穷爸爸》
4,只要公司创新，创业就还没结束，一旦创新停止，创业就结束了。,创业,彼得·蒂尔,《从0到1》
5,这个世上不存在「失败的战士」的概念，无论他是牺牲了还是活着（除非他做出了懦夫的行为），同样的，也不存在失败的创业者或失败的科研人员这种说法。但这个世界上存在着成功的胡说八道者、成功的伪哲学家、成功的评论员、成功的顾问、成功的说客，或成功的商学院教授，而他们根本不承担个人风险。（请原谅我这么说。）,创业,纳西姆·尼古拉斯·塔勒布,《反脆弱》
6,我觉得年轻人有梦想，挺好的，应该支持他。其实凤凰男也好，什么其他男也好，创业、事业都难。,创业,刘纯燕,《佚名》
7,成功自是人权贵，创业终由道力强。,创业,梁启超,《饮冰室全集》
8,对未来规划的核心内容就是创业。创业的基本指导思想就是【为人类服务】。人生在世，只有创业成功，你才会有事做，有成就，有所奉献。,创业,,
9,《为人类服务是我们此生唯一要完成的大事》,创业,,
10,创业是一个幸存者的游戏。所有的创业者都可能面临灭顶之灾。这就如同一幢房子，很可能会突然着火，在熊熊烈焰中，你需要冒着生命危险抢出来的唯一财产，不是椅子、电器或账本，而是你的信用。,创业,吴晓波,《把生命浪费在美好的事物上》
11,许多人咬牙奋斗，只盼成功后能快乐。仔细想想，你我一生中大部分时光，都处在“完成ing”中，只有极短的时间，是处于“完成ed”的状态。若等到完成事情才快乐，那你我此生注定与快乐缘浅。真正的情商高手，不是完成事情后才快乐，相反的，是快乐地去完成事情。快乐，刻不容缓。,创业,刘强东,《佚名》
12,创业要想取得成功，关键就一句话：只要你能够解决一个问题，那么你的项目就一定会成功。,创业,刘强东,《佚名》
13,很多创业者留言说他的公司小，担心处于弱势一方，谈不成控制权！其实投资人和创业者永远是平等的伙伴关系，你小的时候不代表弱势；你长大的时候也不代表就可以凌驾于投资人之上！就我接触的大部分投资人其实都是支持创始人的控制权的！坚持底线，积极谈判！,创业,刘强东,《佚名》
