,text,tag,author,from_book
0,假使把他这串浅薄肉麻的情话去对别的女人说，一定是很动听的，可以得一个所谓的爱的心吧。但他却向我，就由这些话语的力，把我推的隔他更远了。他还不知道在他面前的女人是如何的轻蔑去可怜他的使用的这些做作，这些话。,动听,丁玲,《莎菲女士日记》
1,月亮依然残缺着悬挂在浦东的夜空，颜色已渐渐苍白了。月光照在水面上亮晶晶的，黄浦江的昏水在夜中也好像变成了青色一般。江心有几只游船，满饰着彩灯游来游去地回转，想来大约是救月的了但可怜吃月的天狗，才就是我们坐着望月的地球呢！,动听,郭沫若,《郭沫若诗歌》
2,实际上，人们的联合是不可思议的，是一条神奇的“友爱”纽带把所有的人联系在一起。,动听,托马斯·卡莱尔,《佚名》
3,论你是多么亲切，你的话说得多么动听，态度多么和蔼，不论你在日常生活中和休息的时候是多么可爱，但是假如你的工作总是一事无成，总是失败，假如处处都可以看出你不通业务，假如你做出来的成绩都是废品和“一场空”，那末除了蔑视之外，你永远不配得到什么。,动听,马卡连柯,《马卡连柯教育文集》
4,千呼万唤始出来，犹抱琵琶半遮面。,动听,白居易,《长恨歌》
5,战士的歌声，可以休止一时，却永远不会沙哑；战士的眼睛，可以关闭一时，却永远不会昏瞎。,动听,郭小川,《佚名》
6,我从纤道上向它们伸出双手，我还叫不全它们的名字，只觉得跟法国童话里的王子们的名字一样漂亮动听；它们也许是几百年前从亚洲迁来的，但早已在村子里落户定居；它们对清贫的环境很知足，喜欢这里的太阳和河岸，对于远眺所及的车站的不起眼的景色，它们也决无二心，同时它们还象我们某些古画那样在稚拙纯朴中保留着东方的诗意的光辉。,动听,马赛尔·普鲁斯特,《追忆似水年华》
7,“战争就没有不神圣的，”他说，“对有义务去参加战斗的人来说自然是神圣的。如果发动战争的人不把战争说得无比神圣，哪个傻子肯去打这个仗？但是，不管演说家们把战斗口号向参战的傻子喊得多么动听，也不管他们把战争的宗旨标榜得多崇高，实际上战争的动机无非只有一个，那就是钱。一切战争在本质上无不是为了钱。然而自古以来明白这个道理的人太少了。他们满耳听到的都是战鼓号角，以及安坐后方的演说家们的漂亮话。”,动听,玛格丽特·米切尔,《乱世佳人》
8,每个人都在唱着自己那支小小的曲子，相信这是世界从未听过的最动听的声音。,动听,麦卡洛,《荆棘鸟》
9,无暇顾及沿途的风景只因选择了远方只顾风雨兼程。,动听,麦卡洛,《荆棘鸟》
10,不是，所有人来人往间，都能在记忆的窗口，触动那悬挂的记忆风铃，洒落下，串串动听的心音。尘世之间，浮华与喧嚣，多少次淹没了心灵颤动的音，无法真实的聆听，那缕源自心灵深处的音……,动听,秋微,《莫失莫忘》
11,素雅的和服在万绿丛中把你的美貌衬托得更加迷人啦。你要是穿上华丽的衣裳，会更加漂亮的。,动听,川端康成,《古都》
12,纹路其实就是不舍，就是往返迂回，徘徊缱绻，就是把简单直截的线条说成了曲折动听的故事。,动听,张晓风,《星星都已经到齐了》
13,山盟海誓动听，却不及陪伴长情，爱一个人，细节更重要。,动听,佚名,《一禅小和尚》
14,师父说，不要用耳朵谈恋爱，甜言蜜语悦耳，也不如照顾贴心。海誓山盟动听，却不及陪伴长情。所有信誓旦旦的承诺，都不如长相厮守。爱不能只靠感动而是看细节，毕竟对你好的人很多，但始终待你如初的人太少。,动听,佚名,《一禅小和尚》
15,天上枝枝，人间树树。曾何春而何秋，亦忘朝而忘暮。,动听,李汝珍,《镜花缘》
16,世世代代都会记得你的所作所为。,动听,托马斯·肯尼利,《辛德勒的名单》
17,山上的大树是我的伙伴，清澈的泉水是我的镜子。我想大树倾诉我的思想，在泉水里观看我的美貌。我是孤火单剑。,动听,塞万提斯,《唐·吉诃德》
18,旁人是滴水之恩涌泉相报，他简直是滴水之恩喷泉相报。,动听,唐七公子,《三生三世枕上书》
19,如果你习惯有男人这么对待你，将来你会嫁个比较好的男人。,动听,施定柔,《遇见王沥川》
20,鲜活的小花之所以珍贵是因为她开在寒冷的北极圈里，在花丛中她就一钱不值。,动听,江南,《龙族3·黑月之潮》
21,为善最乐，读书便佳。,动听,弘一大师,《格言别录》
22,爱在当下，永远即是当下！,动听,李宫俊,《李宫俊的诗》
23,这个世上动听的情话有好多句。可是对漂泊的人来说，最动听的仍然是这句，撑不住就回来，我一直都在。,动听,夏七夕,《后来我们都哭了II·废墟》
