,text,tag,author,from_book
0,寂寞伤感有何益，枉抛泪珠徒叹息！,反战,玛格丽特·米切尔,《飘》
1,“战争就没有不神圣的，”他说，“对有义务去参加战斗的人来说自然是神圣的。如果发动战争的人不把战争说得无比神圣，哪个傻子肯去打这个仗？但是，不管演说家们把战斗口号向参战的傻子喊得多么动听，也不管他们把战争的宗旨标榜得多崇高，实际上战争的动机无非只有一个，那就是钱。一切战争在本质上无不是为了钱。然而自古以来明白这个道理的人太少了。他们满耳听到的都是战鼓号角，以及安坐后方的演说家们的漂亮话。”,反战,玛格丽特·米切尔,《飘》
2,战场如香槟，能使英雄陶醉，也能麻痹懦夫。,反战,玛格丽特·米切尔,《飘》
3,山河垂泪，日月失辉，宝剑断折，忠魂无路，百万青年撒热血，四亿人民同一哭。,反战,佚名,《佚名》
4,世界大战并不遥远，也许已经开始了，只是并不是原来的样子。,反战,佚名,《佚名》
5,这是战争。战争无所谓羞耻。,反战,卡勒德·胡赛尼,《追风筝的人》
6,如果两个人要同时饿死的话，饿死一个灾民地方还是中国的，如果当兵都饿死了，我们就会亡国,反战,刘震云,《一九四二》
7,如果有百姓向西迁徙，也是为了躲避战争。,反战,刘震云,《一九四二》
8,这儿的人，善良的人，为什么要让他们受到战争、饥荒的折磨，如果斗不过魔鬼，信主有什么用？,反战,刘震云,《一九四二》
9,现在毁灭一个文明我们只需要一秒钟，可是创造文明我们需要好几个世纪。——美国原子弹轰炸日本后,反战,爱因斯坦,《佚名》
10,我不仅是一个和平主义者，而且是一个战斗的和平主义者。我决心为和平而战斗。,反战,爱因斯坦,《佚名》
11,我们的教科书颂扬战争，而又掩饰战争的恐怖。它们把仇恨灌输给孩子们。我却要教他们和平而不教他们战争，向他们灌输爱而不灌输恨。,反战,爱因斯坦,《佚名》
12,“我不知道第三次世界大战是什么样子，但我知道第四次世界大战人们用的是石头和棒子。”,反战,爱因斯坦,《佚名》
13,虎兕出于柙，龟玉毁于椟中，是谁之过与？,反战,孔子,《论语》
