,text,tag,author,from_book
0,七〇后在有了自己一间看得见风景的房间之后，个别人突发奇想，认为真正的牛逼来自虚无的不朽，开始逆潮流而动，抛开现世的名利，一点一点，试着触摸那扇千古文章的窄门。,古文,冯唐,《活着活着就老了》
1,七窍三秋钉，三载赴幽冥。,古文,Priest,《山河令》
2,道冲（盅），而用之或不盈，渊兮似万物之宗。,古文,老子,《道德经》
3,载营魄抱一，能无离乎？,古文,老子,《道德经》
4,海西时，诸公每朝，朝堂犹暗，唯会稽王来，轩轩如朝霞举。,古文,刘义庆,《世说新语》
5,会心处不必在远。翳然林水，便自有濠、濮间想也，觉鸟兽禽鱼自来亲人。,古文,刘义庆,《世说新语》
6,人君居四海之尊，若有亏失，古人以为日月之蚀，人皆见之。,古文,魏征,
7,源不深而望流之远，根不固而求木之长，德不厚而思国之安，臣虽下愚，知其不可，而况于明哲乎？,古文,魏征,
8,习俗移志，安久移质。,古文,荀况,《荀子》
9,凡流言、流说、流事、流谋、流誉、流诉，不官而衡至者，君子慎之。,古文,荀况,《荀子》
10,金璧虽重宝，费用难贮储。学问藏之身，身在则有余。,古文,韩愈,
11,居不幽者志不广，形不愁者志不远。古之圣贤，皆遇困厄之难，蒙不赦之耻，岂独君王哉？,古文,冯梦龙,《东周列国志》
12,桃树有华，灿灿其霞，当户不折，飘而为直，吁嗟复吁！桃树有英，烨烨其灵，今兹不折，证无来者？叮咛兮复叮咛！,古文,冯梦龙,《东周列国志》
13,桃树有华，灿灿其霞，当户不折，飘而为直，吁嗟复吁！桃树有英，烨烨其灵，今兹不折，证无来者？叮咛兮复叮咛！,古文,冯梦龙,《东周列国志》
14,四方之志,古文,冯梦龙,《东周列国志》
15,乐羊尝行路，得遗金，取之以归。其妻唾之曰：‘志士不饮盗泉之水，廉者不受嗟来之食。此金不知来历，奈何取之，以污素行乎？’乐羊感妻之言，乃抛金于野，别其妻而出，游学于鲁、卫。过一年来归，其妻方织机，问夫：‘所学成否？’乐羊曰：‘尚未也。”妻取刀断其机丝。乐羊惊问其故。妻曰：‘学成而后可行，犹帛成而后可服。今子学尚未成，中道而归，何异于此机之断乎？’乐羊感悟，复往就学，七年不返。,古文,冯梦龙,《东周列国志》
16,昭昭有唐，天件方国，列祖应命，四宗顺则。申锡无疆，宗我同德。曾孙继绪，事神配极。,古文,贺知章,
17,天下之事，理胜力维常，力胜理为变。一时之强弱在力，千古之胜负在理。,古文,冯梦龙,《东周列国志》
18,技之不精，由于多心；心之不一，由于多视。,古文,冯梦龙,《东周列国志》
19,欲人勿恶，必先自美；欲人勿疑，必先自信。,古文,冯梦龙,《东周列国志》
20,高飞之鸟，死于美食；深泉之鱼，死于芳饵。,古文,冯梦龙,《东周列国志》
21,谦亨，天道下济而光明，地道卑而上行。天道亏盈而益谦，地道变盈而流谦，鬼神害盈而福谦，人道恶盈而好谦。谦，尊而光，卑而不可逾，君子之终也。,古文,佚名,《易经》
22,坤至柔而动也刚，至静而德方。,古文,佚名,《易经》
23,同声相应，同气相求，水流湿，火就燥，云从龙，风从虎，各从其类也。,古文,佚名,《易经》
24,是故，易有太极，是生两仪， 两仪生四象， 四象生八卦，八卦定吉凶，吉凶生大业。,古文,佚名,《易经》
25,无端饮却相思水，不信相思想杀人。,古文,陈继儒,《小窗幽记》
26,时止则止，时行则行，动静不失其时，其道光明。,古文,佚名,《易经》
27,心静如止水，志刚如磐石，静默守星月之变，怀志付诸行日月乾坤之朗朗。日行千里不言其路之遥，夜跃八百不语其道之艰。故曰，“天行健，君子以自强不息；地势坤，君子以厚德载物。”德，人之本也，学，士之利也。自强而德厚，君子之大宗也。故为君子，当以优学服人，志坚傲人，耐苦强人，高德威人。自强而不息，厚德以载物，是可大成也。,古文,佚名,《易经》
28,乾卦：“天行健，君子以自强不息。”,古文,佚名,《易经》
29,碧沉沉月明满天，凄惨惨哭声一片，墙角新鬼带血来分辩。我与他死同仇，生同冤，黑狱里，半夜作白眼。,古文,孔尚任,《桃花扇》
30,无情哭难笑不易，人欢亦观乃绝技。,古文,孔尚任,《桃花扇》
31,何日归，无处问，夜月低，春风紧。,古文,孔尚任,《桃花扇》
32,天然风韵，映着柳陌斜曛。名姝也须名士衬，画舫偏宜画阁邻。,古文,孔尚任,《桃花扇》
33,从桃叶渡头寻，向燕子矶边找，乱云山风高雁杳,古文,孔尚任,《桃花扇》
34,欢场哪知还剩我，老境翻嫌多此身,古文,孔尚任,《桃花扇》
35,今朝全把绣帘钩，不教金线柳，遮断木兰舟。,古文,孔尚任,《桃花扇》
36,大江滚滚浪东流，淘尽兴亡在渡头，屈指英雄无半个，从来遗恨是荆州。,古文,孔尚任,《桃花扇》
37,锁寒烟，好花枝不照丽人眠,古文,孔尚任,《桃花扇》
38,走出了空林落叶响萧萧，一丛丛芦花红蓼。倒戴着接四离帽，横跨着湛卢刀，白髯儿飘飘，谁认的诙谐玩世东方老。,古文,孔尚任,《桃花扇》
39,夹道朱楼一径斜，王孙初御富平车。青溪尽是辛夷树，不及东风桃李花。,古文,孔尚任,《桃花扇》
40,合于彼而离于此，计谋不两忠，必有反忤。反于是，忤于彼；忤于此，反于彼；其术也。,古文,鬼谷子,《鬼谷子》
41,故终曰言，不失其类，故事不乱。终日不变，而不失其主，故智贵不妄。听贵聪，智贵明，辞贵奇。,古文,鬼谷子,《鬼谷子》
