,text,tag,author,from_book
0,其实也不会在闭眼的时候回忆我走过了谁人的生命，你们又如何怀念我。不会像胶片拉过一样追忆往事画面，譬如一九九九年的某个夜晚，谁问了谁的泪，谁又为谁透支了半生的衷情。生命不及百年，不及宇宙亿万分之一的瞬间。有今生无下世，我只信古词里的“生死两茫茫”，”月夜松冈“。,古词,七堇年,《尘曲》
1,听雨少年听雨歌楼上，红烛昏罗帐。年听雨客舟中，江阔云低.断雁叫西风。而今听雨屋檐下，秋叶已凋零。悲欢离合总无情。伊人在何处。总在零冷清秋。,古词,张恨水,《金粉世家》
2,潇洒江梅，向竹梢疏处，横两三枝。东君也不爱惜，雪压霜欺。无情燕子，怕春寒、轻失花期。却是有，年年塞雁，归来曾见开时。,古词,晁冲之,《晁具茨诗集》
3,与尔三矢，尔其无忘乃父之志！,古词,欧阳修,
4,碧沉沉月明满天，凄惨惨哭声一片，墙角新鬼带血来分辩。我与他死同仇，生同冤，黑狱里，半夜作白眼。,古词,孔尚任,《桃花扇》
5,当年粉黛，何处笙箫？,古词,孔尚任,《桃花扇》
6,平章风月有何关，助你看花对盏。,古词,孔尚任,《桃花扇》
7,似这般冷嘲、热挑，用不着笔抄，墨描。,古词,孔尚任,《桃花扇》
8,（玉芙蓉烽）：烟满郡州，南北从军走；叹朝秦暮楚，三载依刘。归来谁念王孙瘦，重访秦淮帘下钩。徘徊久，问桃花昔游，这江乡，今年不似旧温柔。,古词,孔尚任,《桃花扇》
9,问秦淮旧日窗寮，破纸迎风，坏槛当潮，目断魂消。,古词,孔尚任,《桃花扇》
10,金粉未消亡，闻得六朝香，满天涯烟草断人肠怕催花信紧，风风雨雨，误了春光。,古词,孔尚任,《桃花扇》
11,有时三点两点雨霁，朱门柳细风斜。,古词,欧阳修,
12,明朝车马各西东，惆怅画桥风与月。,古词,欧阳修,
13,九月重阳还又到。东篱菊放金钱小。,古词,欧阳修,
14,寂寞起来褰绣幌，月明正在梨花上。,古词,欧阳修,
15,颜色清新香脱洒，堪长价，牡丹怎得称王者。,古词,欧阳修,
16,关心只为牡丹红，一片春愁来梦里。,古词,欧阳修,
17,更值牡丹开欲遍。酴醿压架清香散。,古词,欧阳修,
18,正是浴兰时节动，菖蒲酒美清尊共。,古词,欧阳修,
