,text,tag,author,from_book
0,一剑横空星斗寒，甫随平北复征蛮。他年觅得封侯印，愿学幽人住此山。,古诗,戚继光,《佚名》
1,你我之间如七律古诗，你挥笔定了首联，我得削砍了我的意志以求对仗你的平仄、意境，末了还要为你压韵。,古诗,七堇年,《尘曲》
2,日出月进云多少，天南地北道东西。,古诗,饶俊,《醉玲珑》
3,自是寻春去校迟，不须惆怅怨芳时。,古诗,饶俊,《我就是这般女子》
4,生活里有些美丽的爱好，那是怎样的一种滋润；人生中有些读不尽的东西，那是怎样的一种财富啊！被古诗滋养的孩子，得到的不仅仅是诗情和文才，实际上也成为被生活和命运多一份垂青的人。在平凡的生活之外，他更有一个“桃花流水窅然去，别有天地非人间”的世界。让孩子多读些诗吧！,古诗,尹建莉,《好妈妈胜过好老师》
5,田夫抛秧田妇接，小儿拨秧大儿插。笠是兜鍪蓑是甲，雨从头上湿到胛。,古诗,杨万里,
6,落红满路无人惜，踏作花泥透脚香。,古诗,杨万里,
7,闭门造句非诗法，只是征行自有诗。,古诗,杨万里,
8,春水初生乳燕飞，黄蜂小尾扑花归。,古诗,杨万里,
9,学而不化，非学也。,古诗,杨万里,
10,岭上芭蕉雪打死，霜雪打死还有心。,古诗,杨万里,
11,绿杨接叶杏交花，嫩水新生尚露沙。,古诗,杨万里,
12,只余鸥鹭无拘管，北去南来自在飞。,古诗,杨万里,
13,月子弯弯照九州，几家欢乐几家愁。,古诗,杨万里,
14,竹深树密虫鸣处，时有微凉不是风。,古诗,杨万里,
15,毕竟西湖六月中，风光不与四时同。接天莲叶无穷碧，映日荷花别样红。,古诗,杨万里,
16,风力掀天浪打头，只须一笑不须愁。,古诗,杨万里,
17,泉眼无声惜细流，树阴照水爱晴柔。小荷才露尖尖角，早有蜻蜓立上头。,古诗,杨万里,
18,奈何今之人，双目送飞鸿。,古诗,张大春,《大唐李白》
19,青松系马鸣风处，黄菊留人藉道边。,古诗,张大春,《大唐李白》
20,重到红楼意惘然,古诗,孔尚任,《桃花扇》
21,当年真是戏,古诗,孔尚任,《桃花扇》
22,只恐输赢无定局，治由人事乱由天.,古诗,孔尚任,《桃花扇》
23,梨花似雪草如烟，春在秦淮两岸边，一带妆楼临水盖 ，家家粉影照婵娟。,古诗,孔尚任,《桃花扇》
24,溅血点作桃花扇，比着枝头分外鲜,古诗,孔尚任,《桃花扇》
25,青溪尽是辛夷树，不及东风桃李花。,古诗,孔尚任,《桃花扇》
26,西湖春色归，春水绿于染。 群芳烂不收，东风落如糁。,古诗,欧阳修,
27,归山深浅去，须尽丘壑美。,古诗,裴迪,
28,吴宫西子不如，楚国南威难塞。,古诗,冯梦龙,《喻世明言》
29,融融日暖乍晴天，骏马雕鞍绣辔联。风细落花红衬地，雨微垂柳绿拖烟。茸铺草色春江曲，雪剪花梢玉砌前。同恨此时良会罕，空飞巧燕舞翩翩。,古诗,冯梦龙,《喻世明言》
30,入帘有韵自飕飕，点水无声空漠漠。,古诗,冯梦龙,《喻世明言》
31,痴心做处人人爱，,古诗,冯梦龙,《喻世明言》
32,腊尽愁难尽，春归人未归。,古诗,冯梦龙,《喻世明言》
33,聪明男子做公卿，女子聪明不出身。若许群钗应科举，女儿那见逊公卿。,古诗,冯梦龙,《醒世恒言》
