,text,tag,author,from_book
0,明月新骨城池畔，夜鸦故旧老桥头。,古风,愤怒的香蕉,《赘婿》
1,音尘脉脉信笺黄，染胭脂雨，落寂两行，故园又风霜。,古风,Priest,《有翡》
2,练得身形似鹤形，千株松下两函经。我来问道无余说，云在青天水在瓶。,古风,梦入神机,《阳神》
3,功夫修德兼修身，拳脚伏虎又降龙。横批，少年宗师。,古风,梦入神机,《点道为止》
4,"浮舟相随,京洛雪浅，阡陌千灯，恍然一梦，长歌命中。",古风,温世仁,《秦时明月》
5,北岭有燕，羽若雪兮。,古风,温世仁,《秦时明月》
6,我是一只雁，你是南方云烟。但愿山河宽，相隔只一瞬间。,古风,温世仁,《秦时明月》
7,庙堂既高，箫鼓老也，烛泪堆红，几人歌吹,古风,江南,《九州·缥缈录》
8,北辰之神，穹隆之帝，其熠其煌，无始无终。,古风,江南,《九州·缥缈录》
9,越千山兮野茫茫，,古风,江南,《九州·缥缈录》
10,为卿采莲兮涉水，,古风,江南,《九州·缥缈录》
11,饮罢青阳，三五骑、策马平川。,古风,江南,《九州·缥缈录》
12,不务天时则财不生，不务地利则仓廪不盈。,古风,管仲,《管子》
13,我做事情没有值不值得，只有情不情愿。,古风,,
14,日暮客愁集，烟深人语喧。,古风,鲁迅,《呐喊》
15,"一枰袖手将置之,何暇为渠分黑白",古风,金庸,《倚天屠龙记》
16,秋日花香随风来，明日宴客一桌菜。,古风,,
17,彼岸烟波流转，可有人寻我。对岸繁华三千，可有人渡我。,古风,张嘉佳,《摆渡人》
18,你小小年纪，就有这般棋道，我看了，汇道禅于一炉，神机妙算，先声有势，后发制人，遣龙治水，气贯阴阳。,古风,阿城,《棋王》
19,孤樽对月悲寂寥，把酒临风沧然笑。,古风,HEHE,《浪漫传说》
20,哀此东篱菊，当年共护持。今秋花上露，只湿一人衣。,古风,紫式部,《源氏物语》
21,不似明灯照，上当不非暗幕张。朦胧春当后夜，美景只在而孩内水双。,古风,紫式部,《源氏物语》
22,把出樱若是多情种，今却水子实边走开墨色花。,古风,紫式部,《源氏物语》
23,人似孤舟离浦岸，渐行渐远渐生疏。,古风,紫式部,《源氏物语》
24,心迹未予格孩家人阅，花枝一束故人香。,古风,紫式部,《源氏物语》
25,愿君化作鸿都客，探得香魂住处来。,古风,紫式部,《源氏物语》
26,时间施虐烝民，民则暴殄天物。,古风,雨果,《巴黎圣母院》
27,山顶云霞一夜开，长桥烟景似蓬莱。,古风,吴桂君,
28,世间好物不坚牢，彩云易散琉璃脆,古风,杨绛,《我们仨》
29,良禽择木而栖，贤女择主而事。,古风,木浮生,《良言写意》
30,花开花谢花化泥,古风,唐七公子,《三生三世枕上书》
31,致志千秋竞功名，温暖世间亿人心。,古风,,
32,千年轮回旱雨灾，贫穷百姓万事哀；,古风,,
33,七月丰收七月书，美酒醉客风醉秋,古风,《佚名》,
34,为君拾莲子，清妖亦可生。,古风,丁墨,《美人为馅》
35,空撇下碧澄澄苍苔露冷，明皎皎花筛月影。白日凄凉任耽病，今夜把相思再整。,古风,王实甫,《西厢记》
36,这钱也难买薪柴，不够斋粮，且备茶汤。,古风,王实甫,《西厢记》
37,似神仙归洞天，空余下杨柳烟，只闻得鸟雀喧。,古风,王实甫,《西厢记》
38,林下晒衣嫌日淡，池中濯足恨鱼腥。,古风,王实甫,《西厢记》
39,何处忘忧?看时节独上妆楼，手卷珠帘上玉钩，空目断山明水秀；见苍烟迷树，衰草连天，野渡横舟。,古风,王实甫,《西厢记》
40,待月西厢下，近风户半开。,古风,王实甫,《西厢记》
41,云敛晴空，冰轮乍涌；风扫残红，香阶乱拥；离恨千端，闲愁万种。,古风,王实甫,《西厢记》
42,月色溶溶夜，花阴寂寂春,古风,王实甫,《西厢记》
43,今宵醉梦明朝，锦衣归故里，锣鼓喧嚣；,古风,佚名,《佚名》
