,text,tag,author,from_book
0,其实当站在人生岔路口的时候，每个人都会做出最终抉择。无论选择哪条路，多年之后回头再看，都会觉得后悔。因为没有人知道选择另一条路会有什么结果，也不可能知道。,后悔,玄色,《哑舍》
1,既然无论选择哪一条路，都会后悔，那还纠结什么？无愧于本心即可。,后悔,玄色,《哑舍》
2,其实当站在人生岔路口的时候，每个人都会做出最终抉择。无论选择哪条路，多年之后回头再看，都会觉得后悔。因为没有人知道选择另一条路会有什么结果，也不可能知道。,后悔,玄色,《哑舍》
3,这漫漫人生，要做的事很多，但最终回想起来做过那些深刻又不后悔的事，原来没有几件，其中一件是认识你。,后悔,白槿湖,《尽余生》
4,这样的沉默将我们拉到各自的思绪里。尽管如此，我们却能清楚地感知对方的思绪，即使有时这会让我们深感疼痛。就好比此刻，我固执地认为，这次发生的事情完全是她一直以来为我做出牺牲的结果，只不过这次变成了可以眼见的事实。而同时，她也有她自己的想法，我明明白白地感应得到，节子一直后悔不迭，觉得是自己太过轻率，才一瞬间打碎了我和她二人一直以来小心又再小心才培育起来的东西。,后悔,堀辰雄,《起风了》
5,当你的瞳孔里那些沉静的优美 和痛苦被熊熊火焰焚烧殆尽的时刻，当你亲手毁灭掉你一生中最珍视的那样东西的时刻，当你回想起自己以稀疏平常的语气接受这个重创你人生的邀约的时刻，你有过哪怕一丝后悔吗?,后悔,独木舟,《一粒红尘》
6,对不起 我是个阻挡男人前途的女人,后悔,金恩淑,《太阳的后裔》
7,人生就像一盒巧克力,后悔,李祐汀,《请回答1988》
8,人生就像一盒各种口味的巧克力一样，打开之前不知道会拿到哪种口味。就算拿到最苦的那一颗，也没有办法。这是我们自己选择的命运，没办法回头…也没办法后悔……,后悔,李祐汀,《请回答1988》
9,开口是需要勇气的，一种承担责任的勇气。因为不说是遗憾，说了就只剩后悔了。,后悔,李木戈,《暗恋橘生淮南》
10,一时冲动，你只会后悔一阵子，但是如果你很怂的过完一生，那么你会后悔一辈子。,后悔,韩延,《滚蛋吧！肿瘤君》
11,我最怕别人为我牺牲，凡是用到这种字眼的人，事后都要后悔的，将来天天有一个人向我提着当年如何为我牺牲，我受不了。,后悔,亦舒,《喜宝》
12,我对我自己做的事情从来没有后悔过，我只是觉得自己不对，归根结底，还是齐大非偶那四个字，我以为你跟我结婚，会牺牲一切，是一个可靠的人，可现在……,后悔,张恨水,《金粉世家》
13,反水不收，后悔无及。,后悔,范晔,《后汉书》
14,我之所以这么待你，是因为我愿意。若能以此换回同样的诚心。固然可喜。若是没有，我也没有什么可后悔的。,后悔,海宴,《琅琊榜》
15,假如我望见了那个人的背影，,后悔,坂元裕二,《东京爱情故事》
16,如果容许我再过一次人生，我愿意重复我的生活。因为，我从来就不后悔过去，不惧怕将来。,后悔,贾平凹,《愿人生从容》
17,唉，人为什么总在失去时，才会去尝试补救呢？,后悔,辰东,《神墓》
18,如果你被抛弃了，是你曾经相信过的一个人，一段感情，被彻底推翻了;但如果，你因为一些你自以为不可抗的原因，去把一个曾经认真爱过的人伤害了，背叛了，那么，在那之后，你都无暇顾及这段感情了，你怀疑的，根本就是你自己这个人，你身上到底有多阴暗的地方，会去亲手毁掉一个人和一段感情，事后再后悔，再挽救，你这个人，也从此变得终生不堪。,后悔,鲍鲸鲸,《失恋33天》
19,少年们的爱的宣言总是那么惊心动魄，仿佛都赌上了生命在宣誓。所以即便他们最终辜负了誓言，也让人觉得，不后悔信了这么一回。,后悔,靡宝,《爱如指间沙》
20,我的一生包括与子离结盟，我都不后悔。我能使的计都使过了。下一世，让我投胎做个男人。要不然，就做个如李青萝一般得到真情的女人。,后悔,桩桩,《蔓蔓青萝》
21,真正的痛原来还不是瞧着她爱上了别人，去后悔当初！真正的痛是成全，笑着去成全。把这种苦果，当做美味，日日吃着还赞它的甜美。,后悔,桩桩,《蔓蔓青萝》
22,游戏里的帮派固然什么都不是，可至少也是一种记忆，为之付出过，因之欢乐过，忽然离开，纵不后悔，也难免怅然。,后悔,顾漫,《微微一笑很倾城》
23,有什么比曾经拥有却无意中错失更令人惋惜和痛苦呢？,后悔,顾漫,《微微一笑很倾城》
24,为之付出过，因之欢乐过，忽然离开，纵不后悔，也难免怅然。,后悔,顾漫,《微微一笑很倾城》
25,不希望明天醒来为今天不够努力而后悔。,后悔,希拉里,《佚名》
26,得失之间，本就没有绝对的规则，所以一个人也最好不必把它看得太认真；一个人若要往上爬，就得要吃苦，要流汗，可是等他爬上去以后，就会发觉他无论吃多少苦，无论流多少汗，都是值得的。,后悔,古龙,《楚留香传奇》
27,我是一个很理智的人，每一个选择，我都想得很清楚，不想自己后悔。,后悔,梅婷,《佚名》
28,有些时候后悔本身就是一种无法偿还的代价。,后悔,温世仁,《秦时明月》
29,要是错过了，肯定会后悔一辈子的,后悔,尾田荣一郎,《海贼王》
30,我不管这个世上的人怎么说我，我只想依照我的信念做事，绝不后悔，不管现在将来都一样！,后悔,尾田荣一郎,《海贼王》
31,诚实的人从不为自己的诚实而感到后悔。,后悔,托·富勒,《佚名》
