,text,tag,author,from_book
0,她从来没有觉得他奇怪，永远尊重他将他当做一个有自己的人。她从不嘲笑他的爱，也没有不把他的爱当真，她接受他所有的赤诚并尊重，所以她值得被爱。,嘲笑,林君阳,《我们与恶的距离》
1,其实你这个人很浪漫。你会美化你身边的事物，不过你这种本质在现在这个社会里，是会被人嘲笑的哦！,嘲笑,琼瑶,《一帘幽梦》
2,人生在世，直到终要咽气的那一天止，都是在体验各种各样的苦和乐，在被幸与不幸的浪潮冲刷中，不屈不挠地努力活着，把这个过程本身当作“去污粉”，不断提高自己的人性，修炼灵魂，带着比初到人世时有更高层次的灵魂离开这个世界。我认为人生的目的除此以外别无他求。,嘲笑,稻盛和夫,《活法》
3,"""要走人应该走的正道""，这简直像小学里的道德说教——有人或许会嘲笑。但是，正因为大人并不遵守小学生也懂的起码的道德，今天这个社会的价值观才会如此混乱动摇，人性才会如此扭曲荒废。",嘲笑,稻盛和夫,《活法》
4,为什么要自卑，为什么考虑别人看你的眼光，做好自己才是最优秀。还有，你足够优秀管别人说什么呢，你又没犯法，何必在意他人，委屈你自己。一个人活着只要自己开心快乐就足够了。,嘲笑,,
5,被大家这样善意嘲笑和幸灾乐祸，其实真的是因为你的强大让我们心服口服。,嘲笑,李木戈,《暗恋橘生淮南》
6,改变自己最快的方式就是嘲笑自己的愚蠢，这样才能对自己的过去释然，并迅速朝着新方向前进。,嘲笑,斯宾塞·约翰逊,《谁动了我的奶酪？》
7,当人们学会自嘲，能够嘲笑自己的愚蠢和所做的错事时，他就在开始改变了。,嘲笑,斯宾塞·约翰逊,《谁动了我的奶酪？》
8,事实上，日本舆论所攻击的对象并不是财阀，而是“成金”大户。所谓“成金”，就是人们通常指的“暴发户”（nouveau riche），但这个词并不能确切代表日本人的感情。在美国，nouveau riche这个词从严格意义上来讲是“新来者”的意思。人们之所以嘲笑他们，主要是因为他们不善交际，没有时间提高自己的教养水平。,嘲笑,鲁思·本尼迪克特,《菊与刀》
9,日本人认为那种轻视别人甚至不希望和别人争吵的人是不真诚的。这种嘲笑是荒唐的，这是这个人不诚恳的最好证明。,嘲笑,鲁思·本尼迪克特,《菊与刀》
10,不清楚小孩多大后会明白大人们的嘲笑是玩笑，但早晚会懂得的。当他懂得了以后，他就会把这种受人嘲笑的感觉与儿童时期害怕失去安全和亲近的恐惧感交织在一起。长大成人之后，在受到别人的嘲笑时，幼儿时期的经历仍然会留有阴影。,嘲笑,鲁思·本尼迪克特,《菊与刀》
11,我总坚信，世界上最大的罪恶就是对人不真诚，而嘲笑他人就是最大的不真诚。,嘲笑,鲁思·本尼迪克特,《菊与刀》
12,我常常原谅别人的发怒，因为脾气坏是人的本性。我一般也能原谅谎言。因为人性是脆弱的，在面对困难时常常不够坚强、不敢讲真话。对于那些无根无据的流言飞语，我也能够原谅。因为对于别人的闲话，人难免会陷进去。但我却无法原谅别人的嘲笑。因为人只有不真诚时，才会嘲笑无辜者。,嘲笑,鲁思·本尼迪克特,《菊与刀》
13,杀人犯:杀害某人肉体的人。,嘲笑,鲁思·本尼迪克特,《菊与刀》
14,你的意见，就像奶牛的叫声，哞，根本没用。,嘲笑,大卫·克拉尼,《老友记》
15,小芹去洗衣服，马上青年们也都去洗；小芹上树采野菜，马上青年们也都去采。,嘲笑,赵树理,《小二黑结婚》
16,eloquent men are ringht every bit as often as imbeciles,嘲笑,乔治·马丁,《权力的游戏》
17,我一生游历四方阅女无数，没有一个是抵得住甜言蜜语的。,嘲笑,乔治·马丁,《权力的游戏》
18,本是相思遮不住。掩落人世惹尘埃。,嘲笑,,
19,嘲笑者,嘲笑,芥川龙之介,《侏儒的话》
20,汤川对石神说：“很可惜，那么优秀的头脑不得不用来做这样的事。”,嘲笑,东野圭吾,《嫌疑人X的献身》
21,笑起来像个死人，一吃饭就活了,嘲笑,余华,《在细雨中呼喊》
22,就像一个都市小孩看见一只蝴蝶，除了大喊“蝴蝶”，此外便没有话可说。许伊纹就是这样：蝴蝶！,嘲笑,林奕含,《房思琪的初恋乐园》
