,text,tag,author,from_book
0,我在纽约找他。事情怎会变成这样呢，我没想到：我自以为试着为他赢得尊敬，可是当《文学回忆录》面世，故居纪念馆落成，我愈来愈牵念的却是僻静的杰克逊高地，是那段岁月里默默无闻的木心。 我曾认定这里是他的孤绝之境，直到他死了——直到这份稿子写到快要完篇——我才幡然醒悟：那阵子无望而嬉笑的日子，最真实，最好玩，电话打过去，老头子穿着家居的棉背心，给我开门。,回忆,陈丹青,《张岪与木心》
1,人怕什么?激情后的陌生，暧昧后的冷漠温柔后的冷淡，牵手过后分手最怕什么？信任后的利用，认真后的痛苦挽留后的回忆，没朋友只有家人背叛之后，想用钱打发走问她要多少？人没了，我还要钱干嘛？你说，我要钱干嘛！十年，一直爱他岁月如初可想而知切肤之痛，至亲至伤....,回忆,刘惠宁,
2,回忆是一种很奇妙的东西，它能够让你瞬间就跳入一条曾经的河流，而且难以自拔。,回忆,雷米,《心理罪》
3,你知道在结婚七个月以后，小孩就出生了，他是个纯粹的白种小孩，长得一点也不像我。做了这样的冤大头，我心里实在是呕极了。还好我的老岳父他是个――他是个满具有正义感的老人，而且他也真心的喜欢我，所以在他的追问之下，伊莎贝拉才承认了，原来那个孩子真正的父亲是她的司机，所以老头子才答应让我们离婚了！结束了这样闹剧式的婚姻！哎~对，我是欠了一大堆的解释，所以我现在跟你解释得这么仔细！因为这段回忆在我的生命里是我的耻辱，也在我以后的感情生活里，弄得我是一团糟！,回忆,琼瑶,《一帘幽梦》
4,男子汉要坚强，要有尊严，我们生来就是忍受痛苦的。时间会冲淡一切，包括那些刻骨铭心的感情和回忆。只要挺住了，一切都会过去的。,回忆,老猪,《紫川》
5,阿秀，记住，男子汉要坚强，要有尊严，我们生来就是忍受痛苦的。时间会冲淡一切，包括那些刻骨铭心的感情和回忆，只要挺住了，一切都会过去的！,回忆,老猪,《紫川》
6,那以要看气民们时各种零零碎碎的回忆，在我的一成地体样并去也那散开蔓延天多心，想不到全成如有用风拥挤到心间，疼痛不已。,回忆,堀辰雄,《起风了》
7,我在想，到了很久很久以后，如果我们能回忆起我们现在的生活，那该是多么的美好。,回忆,堀辰雄,《起风了》
8,再没有什么比幸福的回忆更妨碍幸福的了。,回忆,堀辰雄,《起风了》
9,坐在一个箱子前，像个怀旧的老人，拿起一件崭新的旧物，便开始回忆当时带它回家的缘由，大多想不起来了。只能感慨，原来我还有这个。仿佛有名无实的夫妻，日子久了，连彼此长相都陌生了。旧物归旧物，承载了旧时光。可眼前的不一样，新归新，缺少情感上的共鸣。可它们着实出现了，提醒着我一段经历，让我倒不好意思起来，好像冷落了请回来的客人们，有失礼节。,回忆,祝小兔,《时光不老，我们不散》
10,回想起来，苦，是有一点苦，但或许是因为太年轻了吧，当时我们只觉得快乐。,回忆,独木舟,《万人如海一身藏》
11,回忆是个狠角色，把痛苦的变甘美，把甜蜜的变伤感。,回忆,七堇年,《尘曲》
12,其实也不会在闭眼的时候回忆我走过了谁人的生命，你们又如何怀念我。不会像胶片拉过一样追忆往事画面，譬如一九九九年的某个夜晚，谁问了谁的泪，谁又为谁透支了半生的衷情。生命不及百年，不及宇宙亿万分之一的瞬间。有今生无下世，我只信古词里的“生死两茫茫”，”月夜松冈“。,回忆,七堇年,《尘曲》
13,总有那么一些时年。怀揣着急切渴望被他人认真检阅的悲伤和激情，对路途抱有过分的单纯和过分执拗的回忆。,回忆,七堇年,《尘曲》
14,毫无迷恋地让你离开,回忆,李祐汀,《请回答1988》
15,如果能回到过去的话,回忆,李祐汀,《请回答1988》
16,或许爱情当时并不存在，只因为有了回忆的描摹，爱才以情窦初开的美丽面目示人。,回忆,杜拉斯,《情人》
17,这些记忆，回忆，哪怕是痛，也是要永远铭记的。,回忆,朴智恩,《蓝色大海的传说》
18,在平凡无奇的地方 哭闹 欢笑 喜悦 悲伤 我们的每一天 每一刻 每分每秒的流淌 都在我们静静的凝望之中 对穿越千山万水 终于来到我身边的爱 珍之重之 回忆着那 遥远 美丽 又神秘的 我们的传奇。,回忆,朴智恩,《蓝色大海的传说》
19,死亡，便是天人永隔，这辈子再也见不到，再也摸不到，只能靠着回忆，一点一点描绘着他的容颜，当时光渐渐离去以后，记忆中的容貌也会变化，褪色，最终只会留下一张模糊的人脸。,回忆,饶俊,《我就是这般女子》
20,黄小仙儿：我知道，世上的某处，一定正在进行着更悲壮的生离死别，但是，此刻的我，一个人，四处皆是回忆，因而处处都在凌迟我，这样的极刑，更可怕。,回忆,鲍鲸鲸,《失恋33天》
21,旧人说走便走，背影潇洒，生怕稍一回首便化作了盐柱，所以就算留恋，都不会再回头;而这些旧物，在整个过程中见证了那么多的好时光，自己没有行动力，全凭我来决定它们的去留。回忆是病，附着在这些衣服上，我若是不狠心把它们抛弃，稍不留神，那些病便渗进皮肤融入血液一路高奏凯歌直通大脑，大脑反应不过来，便会让心跟着一起负担，于是我整个人，便会再次陷入自怜自艾的死机状态。,回忆,鲍鲸鲸,《失恋33天》
22,黄小仙儿：对于销毁不了的回忆，我只能找一个毫不相干的人，做些毫无意义的事，东拼西凑，勉勉强强，把那些回忆覆盖起来。不然它永远立着纪念碑，我宁可洒点狗血上去，让它不要美得那么遥不可及。,回忆,鲍鲸鲸,《失恋33天》
23,旧人说走便走，背影潇洒，生怕稍一回首便化作了盐柱，所以就算留恋，都不会再回头;而这些旧物，在整个过程中见证了那么多的好时光，自己没有行动力，全凭我来决定它们的去留。回忆是病，附着在这些衣服上，我若是不狠心把它们抛弃，稍不留神，那些病毒便渗进皮肤融入血液一路高奏凯歌直通大脑，大脑反应不过来，便会让心跟着一起负担，于是我整个人，便会再次陷入自怜自艾的死机状态。,回忆,鲍鲸鲸,《失恋33天》
24,造化有多弄人，你在当时永远都不清楚。那时候看着平静，回头看其实暗流汹涌;那时候觉得隽永，回头看其实已经淡然。那时候你以为可以永远把持住的事，往往会擦肩而过；而那时候你想念的刻骨铭心，回忆起时已成为过眼云烟。,回忆,靡宝,《歌尽桃花》
25,他喊我名字的时候，我觉得福生两个字像是他舌尖上绽开的一朵花，美丽温暖。,回忆,桩桩,《放弃你，下辈子吧》
26,那些回忆并不会因为数据的消失而消失。所以，就算将来这个游戏关闭了，这个世界上也永远会有一处地方——也许我心，也许彼心，白衣红影并肩而立。,回忆,顾漫,《微微一笑很倾城》
27,微微忽然就觉得，自己纠结了半天的问题一点都不重要了。,回忆,顾漫,《微微一笑很倾城》
28,我生平要感谢的师辈和友辈，颇有几位，尽管我对我这一生并不完全满意，但是有了这样的师友，我可以说是不虚此生了。但愿我回忆中那一点最亮的广点，能够照亮我前进的道路。,回忆,季羡林,《季羡林文集》
29,在这一条十分漫长的路上，我走过阳关大道，也走过独木小桥。路旁有深山大泽，也有平坡宜人;有杏花春雨，也有塞北秋风;有山重水复，也有柳暗花明;有迷途知返，也有绝处逢生。路太长了，时间太长了，影子太多了，回忆太重了。,回忆,季羡林,《季羡林文集》
30,或许是在清凉台，或许是在长河边。或许……更早，是我当年小产之后，在你用笛声引我出棠梨宫为我开解心事的时候。,回忆,流潋紫,《甄嬛传》
31,若干年后，回忆起这一段，我说：“你就不能对自己的新同桌友善一点吗？”,回忆,乔一,《我不喜欢这世界，我只喜欢你》
32,人永远无法脱离他旧时的回忆，即使他能完全斩断过去，但“过去”仍会像影子似地依附在他后面，一有机会，就侵向他的心。,回忆,古龙,《飘香剑雨》
33,如果记住就是忘却，我将不在回忆，如果忘却就是记住，我多么接近于忘却。,回忆,艾米莉·狄金森,《艾米莉·狄金森诗选》
34,你不愿回忆的过去已经死亡，就让这一切被黑夜永远地埋葬,回忆,温世仁,《秦时明月》
35,我们的人生也可以如此，我们的人生目标可能是那个快乐的巅峰，但是在这个路途中，能够享受到其中的快乐，上山是快乐，下山也是快乐。这样，人生所积攒下来的全是快乐的相册，而不是痛苦的回忆，这就是幸福的方法。,回忆,樊登,《读书是一辈子的事》
36,"地狱之中,绽放友谊之花;碧波荡漾,满载回忆之瓣;终有一日,定会重新怒放",回忆,尾田荣一郎,《海贼王》
37,"骷髅是死亡的象征,草帽是梦想的信念.剑是儿时的承诺,橘子是亲情的回忆.说谎是心灵的寄托,ALLBULE是两人的梦想.樱花是拯救的良药,历史是一直寻找的答案. 船是超越险阻的证明,音乐是一切美好的记忆！",回忆,尾田荣一郎,《海贼王》
38,人就是有了难忘的回忆，才会变得更强，这就是所谓成长。,回忆,尾田荣一郎,《海贼王》
39,胜利和败北都要品尝，经历了四处逃窜的辛酸，痈苦伤心的回忆，男人才能真正独当一面，就算痛哭流涕也没关系，一定要闯过这一关。,回忆,尾田荣一郎,《海贼王》
40,胜利和败北都要品尝、经历过四处逃窜的辛酸、痛苦和悲伤的回忆、这样才能独当一面、就算痛哭流涕也没关系！,回忆,尾田荣一郎,《海贼王》
