,text,tag,author,from_book
0,极少有人能在首次推介中完成销售。仅仅因为你对一些事物有信念，并不意味着其他人也愿意接受。你需要能够一次又一次坚定地推销你的愿景。大多数人不喜欢改变，所以你需要说服他们为什么要接受改变。不要因为畏惧而不去争取自己想得到的东西。,坚定,苏世民,《苏世民：我的经验与教训》
1,你等着吧，灵儿，钱，对于未来的肖然，只是一个数字。,坚定,刘惠宁,
2,我要给你一个血的教训，让你永远都忘不掉我。,坚定,刘惠宁,
3,我，肖然，会很爱你的，赚很多的钱去爱你。,坚定,刘惠宁,《相爱十年》
4,要抵御痛苦并不难，只需要一颗坚定勇敢的心，可是，要抵御温柔，需要付出的忍耐力，就非人人都能做到了。,坚定,何马,《藏地密码》
5,陈景润证明了1+1，我必须赶在他前头，把最终的证明拿出来。,坚定,马伯庸,《古董局中局》
6,人生并不是一场游戏，Game Over 了后，还可以重启。人生却没有外挂，也没有存档，我有的只能是坚定不移地向前行进。,坚定,玄色,《哑舍》
7,我要为你做一件事，无论付出什么样的代价。,坚定,雷米,《心理罪》
8,是你们让我明白，沉沦可以，跌倒可以，但在那些人间恶魔再次现身时，我必须跌倒在高于他们的上方，我看到的强光必将紧接着他们的黑暗。而我所有强光的来源，都来自我生命中那个无比重要的人，在我犯下大错的那一年，在我还没有完全意识到自己是个胆小鬼，是个懦夫，在我极度沉沦，泥足深陷的那一年，她教会了我一句话，一个活着的道理：每个人都有自己的困境，每个人都有自己的深渊，每个人都有可能摔进去，反反复复，好像永远暗无天日。但只要你一直坚定地攀爬着，攀爬着，不怕摔死，向死而生，你就永远活在光明的这一端，即使你永远不可企及，谢谢你，谢谢大家，也谢谢这个世界，给了我们这么多的美好，谢谢。,坚定,雷米,《心理罪》
9,我向上天为你夺来不老的容颜！,坚定,辰东,《遮天》
10,将来，无论发生什么，你都一定要相信我，正如我相信你。,坚定,辰东,《遮天》
11,你之前觉得人性本善，那不见得对，如果这样的一件事就让你觉得人性本恶，那也只能说明你的狭隘。人性混沌，分不清善恶，但它并不坚定，易受诱惑，会变成什么样子，要看外力。……,坚定,愤怒的香蕉,《赘婿》
12,与我合一，彻底成妖。,坚定,李蔚然,《侍神令》
13,侍神与主人同生共死，绝不背叛。,坚定,李蔚然,《侍神令》
14,紫川秀闭上了眼睛，忍受着心头一阵又一阵传来的刺痛。恍惚中，那个宽厚、坚定的身影浮现眼前，他在对自己温和的微笑：“阿秀，你的前程远大。” 一个伟大而高贵的人格，能给身边的人以如此的影响。虽然离去，但他的身影依然无处不在。,坚定,老猪,《紫川》
