,text,tag,author,from_book
0,人都是在母亲的呵护下长大的，其生也柔软，死而僵硬，外表再坚强的人，内心亦如躲在壳里的蜗牛，总有彷徨和茫然，谁也无法避免,坚强,何马,《藏地密码》
1,只要人的精神不萎缩，血肉之躯就能比钢铁更为坚强。,坚强,老猪,《紫川》
2,男子汉要坚强，要有尊严，我们生来就是忍受痛苦的。时间会冲淡一切，包括那些刻骨铭心的感情和回忆。只要挺住了，一切都会过去的。,坚强,老猪,《紫川》
3,阿秀，记住，男子汉要坚强，要有尊严，我们生来就是忍受痛苦的。时间会冲淡一切，包括那些刻骨铭心的感情和回忆，只要挺住了，一切都会过去的！,坚强,老猪,《紫川》
4,自怜容易泄气，我没有脆弱的资格。,坚强,独木舟,《一粒红尘》
5,大人只是在忍,坚强,李祐汀,《请回答1988》
6,能挺过来变得坚强的理由，是我们还有需要守护的人。,坚强,李祐汀,《请回答1988》
7,小时候家里住着超人，是个能修所有东西的百战天龙，何时何地谁有困难都能解决的万能侠客。他是个不会懦弱的超级英雄的存在。但是当我长大后才发现，只是没有被发现而且超人也是人，有多少肮脏卑鄙累人都从爸爸面前闪过了，他之所以能够坚强地挺过来是因为有要守护的人，不是别的理由。,坚强,李祐汀,《请回答1988》
8,大人们，也会疼,坚强,李祐汀,《请回答1988》
9,无论你遇见谁，他都是对的人。无论发生什么事情，那都是唯一会发生的事情。不管事情开始于哪个时刻，都是对的时刻。已经结束的，就已经结束了。如果事与愿违，请相信这一切都是最好的安排。,坚强,杜拉斯,《情人》
10,我无法体会真正的生离死别，任何人也无法感同身受你的一切。预知是件残忍的事，对自己对亲人都是折磨。感谢你告诉我坚强，即使是在最最苦难的沙漠，也要执着着寻找到巴黎。,坚强,韩延,《滚蛋吧！肿瘤君》
11,再坚强的人，触碰到内心的某一个点，很容易迸发伤感的触角。,坚强,白槿湖,《如果巴黎不快乐》
12,他能给她比她现在拥有的还要好的生活，但他清楚，她不要他给的，她要坚强地自己去争取。,坚强,白槿湖,《如果巴黎不快乐》
13,你不坚强，谁给你勇敢。,坚强,白槿湖,《如果巴黎不快乐》
14,做坚强独立的女子，还给生活最美好的样子。,坚强,白槿湖,《如果巴黎不快乐》
15,这样幼稚的话，这样幼稚的女孩子，可是却又这样的坚强，有着旺盛的生命力。也许，糊涂只是因为年轻，再过几年，她就不会这样了。,坚强,闫宇彤,《阳光之下》
16,这个世界有两种人一种就是为别人而活，表面上看是很怂，其实内心比谁都坚强，在另一种就是为自己而活，表面看上去张牙舞爪，内心啊，无比的脆弱,坚强,李潇,《好先生》
17,人人都讨厌失败，但是一旦失败成了你逃避做事的动机，那么你就会走上失败的道路。我的座右铭是，人始终都是要保持活力的，要永远坚强，不管是遇到了什么样的失败和挫折，这是我唯一能做到的事情。,坚强,约翰·洛克菲勒,《洛克菲勒写给儿子的38封信》
18,谢谢那些曾经让我感到很痛苦的而又不得不去面对的人和事，是你们给了我这么震撼的教育，告诉我，人，就是要这么坚强，没有人可以帮你，没有人，只有你自己!,坚强,钱晶晶,《放弃我抓紧我》
19,我常常原谅别人的发怒，因为脾气坏是人的本性。我一般也能原谅谎言。因为人性是脆弱的，在面对困难时常常不够坚强、不敢讲真话。对于那些无根无据的流言飞语，我也能够原谅。因为对于别人的闲话，人难免会陷进去。但我却无法原谅别人的嘲笑。因为人只有不真诚时，才会嘲笑无辜者。,坚强,鲁思·本尼迪克特,《菊与刀》
20,有思考能力的人靠思考生活，没有思考能力的人靠本能生活，但本能使人坚强，思考却使人软弱。,坚强,张贤亮,《男人的一半是女人》
21,我要对自己残忍，利用恐惧使自己变得坚强。,坚强,迈克尔·道布斯,《纸牌屋》
22,人类的最大的特性便是常常在热情的想像的支配下做种种劳碌，这些劳碌有的增进生活，有的破坏生活，但大半徒然。人们看见一生的辛劳，看见老年的破灭，看见坚强的、森严的、安心立命的老人的心脆弱得像在恋爱的少年，看见他的脆弱的心的最后的幻象怎样燃烧，又怎样熄灭，看见这些是苦恼的。,坚强,路翎,《财主底儿女们》
23,坚强的互相的依恋，除了死亡，任何东西都不能使它终结的。,坚强,狄更斯,《匹克威克外传》
24,"Smiling doesn't always mean you're happy. Sometimes, it simply means that you are a strong person.",坚强,凯文·威廉姆森,《吸血鬼日记》
25,她的脚步不断踏进泥泞，一路上激起的水花、泥浆，溅满了鞋袜，她却一点也不知道。这时。她正全力控制着满怀悲愤，要把永世难忘的痛苦，深深埋进心底。,坚强,杨益言,《红岩》
26,天地为栋宇，屋室为裤衣。,坚强,刘义庆,《世说新语》
27,女人一般来说确实比男人更坚韧，男人可能有力气，坚强。但是耐力往往不如女人，所以我觉得男人和女人在生理方面肯定存在巨大的不同，而这种不同决定了在濒临绝境的情况下，女人比男人更容易有机会存活下来。,坚强,约翰·格雷,《男人来自火星女人来自金星》
28,培养自己坚强的性格。法国大文学家巴尔扎克有句名言：“不幸是天才的脚踏石，是弱者的沉渊。”有自卑心理的男青年应培养自己坚持性、不屈不挠、勇于进取等优秀品质，鼓起自信的风帆，勇敢地驶向成功的彼岸。,坚强,约翰·格雷,《男人来自火星女人来自金星》
29,你好，完治。应该是说晚安吧。我现在要正式地跟你道别。虽然有点令人难过，可是，并不是只有难过。再怎么说，能在同一个季节里，和你走在相同的街道上，对我来说是很值得回忆的。,坚强,坂元裕二,《东京爱情故事》
30,尼采有句名言：“杀不死我的，只会让我更坚强”……但它也可能意味着“杀不死我的，并未使我变得更坚强，但它让我幸存下来，因为我比别人更强壮；由于它杀死了别人，也就是消灭了弱者，我们种群的当前平均素质变强了”。,坚强,纳西姆·尼古拉斯·塔勒布,《反脆弱》
31,一切将会怎样发展？什么时候闪电？什么时候吼雷？什么时候卷起狂风暴雨？,坚强,路遥,《人生》
32,命运总是不如愿。但往往是在无数的痛苦中，在重重的矛盾和艰难中，才使人成熟起来，坚强起来；虽然这些东西在实际感受中给人带来的并不都是欢乐。,坚强,路遥,《人生》
33,一个经历了爱情创伤的青年，如果没有因这创伤而倒下，那就可能更坚强地在生活中站起来。,坚强,路遥,《人生》
34,每个清早，我们明白更多，我们不断重生。,坚强,田维,《花田半亩》
35,生活就是这样，不管再难都要咬着牙挺过去。,坚强,阿耐,《欢乐颂》
36,也许，爱並不完美,坚强,鲍鲸鲸,《失恋33天》
37,什么才算是真正的内心坚强？,坚强,潇湘冬儿,《楚乔传》
38,我不会畏缩也不会哭叫。,坚强,曼德拉,
39,朋友们，在你最悲观最失望的时候，那正是你必须鼓起坚强的信心的时候。你要深信：天下没有白费的努力。成功不必在我，而功力必不唐捐。,坚强,胡适,《胡适文存》
40,因为害怕，所以不得不坚强，不得不成长是吗？,坚强,弃端端,《重生之墨华灼灼》
41,心中很想念丈夫，想念那份彼此知根知底的感觉，想念亲密无间的时光。 关于想念：我也想念那些身边有你的时光。那时我们多勇敢，那时我们多坚强。,坚强,多丽丝·莱辛,《天黑前的夏天》
42,时光，那时我们多勇敢，那时我们多坚强。,坚强,多丽丝·莱辛,《天黑前的夏天》
43,没有人生下来就懂得坚强，真的，这种技能只能在一次又一次的痛哭中催生。,坚强,乔一,《我不喜欢这世界，我只喜欢你》
44,把夜晚看作是白天的归宿，把黎明看作是一切事物的胜利。,坚强,安德烈·纪德,《人间食粮》
45,"在我面前,你可以不用坚强。",坚强,乔一,《我不喜欢这世界，我只喜欢你》
46,我们应当赞美岩石的坚定。我们应当学习岩石的坚定。我们应当对革命有着坚强的信心。,坚强,陶铸,《理想情操精神生活》
47,他双眉浓而长，充满粗犷的男性魅力，但那双清澈的眼睛，却又是那么秀逸，他鼻子挺直，象征着坚强、决断的铁石心肠，他那薄薄的，嘴角上翘的嘴，看来也有些冷酷，但只要他一笑起来，坚强就变作温柔，冷酷也变作同情，就像是温暖的春风，吹过了大地。,坚强,古龙,《楚留香传奇》
48,还有信心，最主要的是信心，人无论在什么时候，都要有活下去的信心，只有生存，才是人类真正的价值。,坚强,古龙,《武林外史》
49,忧愁、顾虑和悲观，可以使人得病；积极、愉快和坚强的意志和乐观的情绪，可以战胜疾病，更可以使人强壮和长寿。,坚强,巴甫洛夫,《佚名》
50,一时的失误不会毁掉一个性格坚强的人。,坚强,车尔尼雪夫斯基,《佚名》
51,人须经受锤炼才能坚强起来，不经历风吹雨打，没有哪棵树能根深蒂固,坚强,塞涅卡,《论幸福生活》
52,我们这些军人，一步都没有退守。,坚强,管虎,《金刚川》
53,在这个世界上，每一个人的心都有裂缝，就算是最坚强的心也一定会有，哪怕这裂缝小到连你自己都无法看见,坚强,温世仁,《秦时明月》
54,我不是想成为海贼王，而是要成为海贼王。,坚强,尾田荣一郎,《海贼王》
