,text,tag,author,from_book
0,如果你足够渴望一件事物，即使没有条件，也总会找到方法达成所愿。只要你努力，只要你坚持，就会变不可能为可能，就会功到自然成。,坚持,苏世民,《苏世民：我的经验与教训》
1,永远要黑白分明、百折不回。你的诚信必须要毋庸置疑。当一个人不需要付出代价或承担后果的时候，坚持做正确的事情并非难事。但当必须得放弃一些东西时，你就很难保持信用记录。要始终言而有信，不要为了自己的利益误导任何人。,坚持,苏世民,《苏世民：我的经验与教训》
2,永远要黑白分明、百折不回。你的诚信必须要毋庸置疑。当一个人不需要付出代价或承担后果的时候，坚持做正确的事情并非难事。但当必须得放弃一些东西时，你就很难保持信用记录。要始终言而有信，不要为了自己的利益误导任何人。,坚持,苏世民,《苏世民：我的经验与教训》
3,如果我是一只飞鸟，我就不会在意青蛙的目光。,坚持,林君阳,《我们与恶的距离》
4,人活在世上，总要坚持一些看起来很蠢的事。,坚持,马伯庸,《古董局中局》
5,我要把一切错误统统纠正！,坚持,雷米,《心理罪》
6,我在聆听自己的葬歌，在路上，我坚持，于飞蛾扑火中见证我的道......我的长生。,坚持,辰东,《遮天》
7,看起来平凡的、不起眼的工作，却能坚忍不拔地去做，坚持不懈地去做，这种“持续的力量”才是事业成功的最重要基石，才体现了人生的价值，才是真正的“能力”。,坚持,稻盛和夫,《干法》
8,专心致志于一行一业，不腻烦、不焦躁，埋头苦干，不屈服于任何困难，坚持不懈；只要你坚持这样做，就能造就优秀的人格，而且会让你的人生开出美丽的鲜花，结出丰硕的果实。,坚持,稻盛和夫,《干法》
9,我们应该迷恋工作、热爱工作、拥抱工作。正因为迷恋工作、热爱工作，所以我就能长期坚持艰苦的工作，一以贯之，无怨无悔，心存感激。,坚持,稻盛和夫,《干法》
10,因果必报，但需要时间。不要因为一时不见效果而焦躁，重要的是平日里不弛不倦，行善积德，坚持不懈。,坚持,稻盛和夫,《活法》
11,我既没有超乎常人的幸福，也并非不幸。那些与幸福有关的各种话题，曾令我们那样地焦虑不安；可现在我想忘掉它们，也随时都能忘得一干二净。我反倒觉得，最近这段日子里的自己更接近所谓的幸福。嗨，硬要说的话，最近我的心离幸福很近，只是比幸福多了一点点悲伤—话虽这么说，可这并不代表我一点都不快乐……现如今我之所以每一天都过的旁若无人，可能与我一直以来尽可能避免与世人交流、坚持一个人独来独往有关。,坚持,堀辰雄,《起风了》
12,一件事情需要坚持才能继续下去，那它本身就是错误。,坚持,独木舟,《一粒红尘》
13,看到在路上抽烟的高中生，就算害怕，也还是会鼓起勇气说教一番； 就算有枪对准太阳穴，也知道坚持是非,坚持,金恩淑,《太阳的后裔》
14,很多时候，因为无奈，因为不公，因为受伤害，很多人放弃了自己从前坚持的信念。,坚持,金恩淑,《太阳的后裔》
15,在利益的斗争中，坚持是一件极为痛苦的事，你得时刻紧绷自己的神经，时刻准备着想即将上战场的士兵一样，这样的事无论是于身体还是心灵都是极为痛苦的事，所以，或许退出才是最好的选择。,坚持,杜拉斯,《情人》
16,明知道是下坡，还是拼死拼活的抓著地，不想掉下去。,坚持,杨熙胜,《举重妖精金福珠》
17,坚持不是胜利，坚持到底才是胜利。我们的人生是有一系列重大的选择组成的.我们的选择组成了我们的人生。,坚持,罗伯特·清崎,《富爸爸穷爸爸》
18,要记住，爱和被爱是这个世界上最重要的事情，要永远坚持。,坚持,韩延,《滚蛋吧！肿瘤君》
19,不管前方的路有多苦，,坚持,,
20,生活坏到一定程度就会好起来，因为它无法更坏。努力过后，才知道许多事情，坚持坚持，就过来了。,坚持,宫崎骏,《龙猫》
21,坚持梦想，就算所有人都不支持你，这条路会很曲折，你也会一度认为是不是自己选择错了，但只要坚持，就算最后没有成功，至少努力了就不会有遗憾。我们怀揣梦想来到大城市，也许它不像我们想象中那么美好，也没有那么“善解人意”，但只要你相信，你爱它，有一天它肯定会回报你，回报你的梦想..nice。,坚持,拜伦·霍华德,《疯狂动物城》
22,我注意到：一个懒惰的人，一个不愿动的人，一旦动起来，就会持之以恒动下去，就跟他坚持待着不动时一样，好像他不喜欢的倒不是动本身，而是开始和停止。好像是有什么事使得开始和停止看起来很难，他倒会感到有些得意的意味。,坚持,威廉·福克纳,《福克纳随笔》
23,只要你坚持的时间足够长，在恐惧之中的某一时刻来到之后，恐惧就根本不再是极端的痛苦，而不过是一种十分讨厌、令人恼火的刺激。,坚持,威廉·福克纳,《福克纳随笔》
24,最重要的是，在关键的时刻能够坚持原则。,坚持,林肯,《佚名》
25,我的孩子，世界上的事情就是这么复杂的，但是复杂并不表示最后结果不好。只要自己冷静，坚持和随机应变，复杂的过程之后，往往会出现一个好结果。 咱们已经习惯别人对自己不好，一旦太好，自己反倒脆弱起来。,坚持,池莉,《立》
26,Never start something you're not willing to finish.,坚持,迈克尔·克莱顿,《西部世界》
27,她坚持说是自己的错，因为她不能想象有哪个孩子一生下来就是邪恶的。如果一个无助的小男孩成长为一个坏人，那一定是母亲的错。,坚持,弗雷德里克·巴克曼,《外婆的道歉信》
28,如果当初我勇敢，结局是不是不一样。如果当时你坚持，回忆会不会不一般。最终我还是没说，你还是忽略。,坚持,岩井俊二,《情书》
29,梦想是什么，梦想就是一种让你感到坚持就是幸福的东西。,坚持,周智勇,《中国合伙人》
30,因为我们都经过儿童时代，儿童时代的梦想，别人不说它自己也会变，梦想你可以坚持，我没有反对她梦想，我只是把梦想未来的可能性都讲清楚。可能孩子在十岁是一个梦想，她自己在十二岁又是一个梦想，一直在变梦想，所以我觉得应当敞开她的所有的选择，坚不坚持是你自己的事，是孩子自己的选择，但是我要 做父母的要跟她分享，两种可能，所以梦想要想清楚，人生成长到某一个阶段，我都在改变着梦想.,坚持,《开讲啦》,
31,坚持自己的选择，不跟风不动摇，一直到成功为止,坚持,佚名,《开讲啦》
32,以后你们面临择业或者就业，或者说在你人生的十字路口的时候，一定要坚持再往前走一步，也许那一步就全成了。一定要坚持下去。,坚持,《开讲啦》,
33,因为初心而坚持，因为理想不放弃。,坚持,《开讲啦》,
34,年轻人就是拼，拼体力拼青春拼时间，必需得拼，不拼就不行，爱拼才会赢。人生当中一定要保持一种自我的不满足，保持着一种好奇心，保持着对未来的期许，坚持非常重要，听从内心的呼唤。,坚持,《开讲啦》,
35,获得冠军只是副产品，重要的是成为更好的自己。坚持自我，坚持对胜利的无限渴望，坚持学习，坚持努力——这就是黑曼巴的精神，是成功的秘诀。,坚持,科比,《开讲啦》
36,千万别相信什么人生别输在起跑线上这样的话，只有百米短跑，才在乎起跑线。人生是一场马拉松，马拉松起跑你看过谁站在起跑线上？大家都一起出发，谁能坚持到最后才最关键。,坚持,撒贝宁,《开讲啦》
37,多少世纪以来，使人类凌驾禽兽之上的，并不是鞭子，而是一种内在的音乐：一种没有武装的真理的不可抗拒的力量，和人们对那些坚持真理的榜样强而有力的向往。,坚持,帕斯捷尔纳克,《日瓦戈医生》
38,海德格尔还认为，不应当沉睡，而应当保持清醒直至死亡。他本人就是在这荒谬的世界里坚持生活，但他特别指明这个世界是没落腐败的。他在残垣断壁中探索着自己的道路。,坚持,阿尔贝·加缪,《西西弗的神话》
39,虽然我们的力量已不如初，远非昔日移天动地的雄姿，但我们仍然是我们。英雄的心尽管被时间消磨，被命运削弱，我们的意志和坚强依然如故。坚持着去奋斗，探索追求，绝不屈服！,坚持,詹姆斯·乔伊斯,《尤利西斯》
40,有罪是符合人性的，但长期坚持不改就是魔鬼。,坚持,乔叟,《坎特伯雷故事集》
41,陆毅（律师）：我们现在来谈一下赡养费的问题，我真的是不懂你们这些女人，什么时代了还谈这个，眼下婚姻自由，男女平等，凭什么要男人来付赡养费？你结婚为什么？要一个男人，养一张长期饭票？这和长期卖淫有什么区别吗？我说的句句实话，你不要以为在爱情里有付出就要有回报，男人也付出了，而且并不比你少。声嘶力竭的大喊，我把青春给了你，你要补偿，这是四十岁以上失态的做法，糟糠坐堂领着一对儿女，这才叫赡养费。女人总是责备男人包二奶可耻，可包养谁都可悲。如果你坚持要钱的话，那也不是赡养费，而是遣散费。,坚持,一丁,《爱情呼叫转移Ⅱ》
42,告诉你使我达到目标的奥秘吧。我唯一的力量就是我的坚持精神。,坚持,巴斯德,《佚名》
43,我就是冬天雪中的一棵竹子，大雪过后，只有两种可能，要么被压断，要么被压的更弯。被压断了，那就没有了任何的希望，只要你坚持下来，雪化后你才会弹的比以前更高。,坚持,姜超,《佚名》
44,游荡在屋外的烟幕中，,坚持,雷蒙德·卡佛,《我们所有人》
45,尽管你说，走开，如果这是你的想法！,坚持,雷蒙德·卡佛,《我们所有人》
46,取得成就时坚持不懈，要比遭到失败时顽强不屈更重要。,坚持,拉罗什夫科,《箴言录》
47,有人坚持，在安息日去教堂做礼拜,坚持,艾米莉·狄金森,《艾米莉·狄金森诗选》
48,如果傻瓜坚持他的愚蠢，他就会变得聪明。,坚持,威廉·布莱克,《布莱克诗选》
49,他在走一个圆圈，弧线是他的决心，没有终点。,坚持,温世仁,《秦时明月》
50,你什么也不肯放弃，又得到了什么？,坚持,温世仁,《秦时明月》
51,失败的人只有一种。就是在抵达成功之前放弃的人,坚持,温世仁,《秦时明月》
52,任何时候都不要放弃啊,坚持,尾田荣一郎,《海贼王》
53,只要坚持自己的想法，持续努力到最后，心愿一定会达成！,坚持,尾田荣一郎,《海贼王》
54,连决斗的决字都不会写的家伙，怎么会了解我眼泪的意义？你懂什么？一个隐瞒自己受伤的事实还要继续奋战的战士，你要叫我羞辱他吗？面对如此坚持奋斗的战士，你能够施以同情吗！,坚持,尾田荣一郎,《海贼王》
55,奇迹只会降临在不言放弃的人身上，不要小看奇迹！,坚持,尾田荣一郎,《海贼王》
56,受尽苦难而不厌，此乃修罗之道。,坚持,尾田荣一郎,《海贼王》
57,如果你坚持了自己的梦想，全世界都会为你让路。,坚持,尾田荣一郎,《海贼王》
58,总是生活中有许多无奈只要你坚持不懈 你会发现你会更无奈,坚持,臼井仪人,《蜡笔小新》
59,要坚持真理-不论在哪里也不要动摇。,坚持,赫尔岑,《佚名》
60,你内心肯定有某种火焰，能把你和其他人区别开来。,坚持,,
61,那我们到地方了，哎呀，我做事的时候有个习惯，就是在做出任何决定之前先冷静的去思考，但是一旦做出任何决定的时候就要义无反顾的坚持到底。,坚持,约翰·洛克菲勒,《洛克菲勒写给儿子的38封信》
62,歧见发生时本当及时刹车，但许多人反而猛踩油门，施加更大压力，为自己找更多理由来圆其说，这都是不够*的表现。 至于缺少安全感的人往往坚持己见，一意孤行，处处要别人顺从与附和。他们不了解，人际关系最可贵的正是接触不同的观点。一致并不代表团结，相同也不意味齐心；团结才能互补，合作应该尊重差异。,坚持,史蒂芬·柯维,《效能人士的七个习惯》
63,"1.兼顾事业与家庭,俩者对我来说都很重要 ；",坚持,《高效能人士的七个习惯》,
64,哲学家若要坚持在我们思想之前必须首先思想我们的思想，他就在这里陷入邪恶的循环；就好像我们竟有另一种能力，可以用它来思想我们的思想！实际上我们用来思想思想的能力，也就是我们用来思想的能力，都是同一种能力。如果我们怀疑我们思想人生、宇宙的能力，我们也有同样的理由，怀疑我们思想思想的能力。,坚持,冯友兰,《中国哲学简史》
65,如果你坚持真理，即使与全世界为敌，也不会发疯。,坚持,乔治·奥威尔,《一九八四》
66,寡头统治的要旨不是父传子，子传孙，而是坚持死者加诸省着的某种世界观和生活方式。只要他能指派自己的后继者，统治集团就永远回事统治集团。党所关心的不是血统上的永存，而是自身的不朽。只要等级化结构永远保持不变，至于是谁掌握权力并不重要。,坚持,乔治·奥威尔,《一九八四》
67,我总愿意有那么一个人能了解得我清清楚楚的，如若不懂得我，我要那些爱，那些体贴做什么？,坚持,丁玲,《莎菲女士日记》
68,我至今坚持认为人们之所以强迫年轻人读书并以光明的前途诱惑他们，仅仅是为了不让他们到街头闹事。,坚持,王朔,《动物凶猛》
