,text,tag,author,from_book
0,立身不求无患，身无患则贪欲必生；处世不求无难，世无难则骄奢必起。,处世,南怀瑾,《佚名》
1,就算是生活得贫穷，过得拮据，我们也还是可以享受生活得快乐的，这是一种处世的态度，只是需要大家开开心心地在一起罢了，或一次大扫除，或一次聚谈，或一次小小的节日活动，甚至每一次的晚餐。生活，本就不应该考虑得那么复杂，简单而贫乏的生活，也可以过得有滋有味。,处世,杜拉斯,《情人》
2,我们本就不应该把围困住我们的沙漠看成是生活的唯一，就算是生活得贫穷，过得拮据，我们也还是可以享受生活得快乐的，这是一种处世的态度，只是需要大家开开心心地在一起罢了，或一次大扫除，或一次聚谈，或一次小小的节日活动，甚至每一次的晚餐。生活，本就不应该考虑得那么复杂，简单而贫乏的生活，也可以过得有滋有味。,处世,杜拉斯,《情人》
3,“你听好了,处世,朴智恩,《蓝色大海的传说》
4,所以，你的生存状态不是病态，用佛教的话说是自性无所挂碍，是自在。自在是什么？就是解脱。参来参去，我不如你。,处世,豆豆,《天道》
5,觉到，悟到，才能做到！,处世,豆豆,《天道》
6,修行以行治性，悟道以性施行。修者以律治心，觉者由心生律。,处世,豆豆,《天道》
7,你的生存状态不是病态，用佛教得话说是自性，无所挂碍，是自在。自在是什么？就是解脱。,处世,豆豆,《天道》
8,过于沉静的外表，恰恰诠释着他内心的沉重。,处世,豆豆,《天道》
9,所谓真经，就是能够达到寂空涅盘的究竟法门。可悟不可修。修为成佛，在求。悟为明性，在知。修行以行制性。悟道以性施行。觉者由心生律；修者以律制心，不落恶果者有信无证，住因住果，住念住心，如是生灭。不昧因果者无住而住。无欲无不欲。 无戒无不戒。如是涅盘。,处世,豆豆,《天道》
10,但知行好事，莫要问前程。,处世,豆豆,《天道》
11,悟，悟道休言天命；修行勿取真经。一悲一喜一枯荣，哪个前生注定。袈裟本无清静，红尘不染性空，幽幽古刹千年钟，都是痴人说梦。,处世,豆豆,《天道》
12,悟，悟道休言天命；修行勿取真经。一悲一喜一枯荣，哪个前生注定。袈裟本无清静，红尘不染性空，幽幽古刹千年钟，都是痴人说梦。,处世,豆豆,《天道》
13,夫虚静恬淡寂漠无为者，万物之本也。,处世,豆豆,《天道》
14,网络的好处是能让所有人都能说话，坏处是能让所有人都能说话,处世,,
15,凡而有进 厉而不魔,处世,萧鼎,《青云志》
16,猫有九命，我不会担心揍它第十下。,处世,简·奥斯汀,《理智与情感》
17,知彼解己——移情沟通的原则。先寻求去了解对方，然后再争取让对方了解已。这一原则是进行有效人际交流的关键。心灵世界自有其理，非理智所能企及。,处世,史蒂芬·柯维,《高效能人士的七个习惯》
18,越来越觉得，有一些人事物，朦着看就行了，因为当你看实了，就虚了。,处世,钱晶晶,《放弃我抓紧我》
19,当你每次犯下不可挽回的错误时，你是想回去修复它，还是接受它，然后向前看。,处世,格里格·伯兰蒂,《闪电侠》
20,唯君子为能通天下之志也。,处世,佚名,《易经》
21,但看花开落，不言人是非。,处世,陈继儒,《小窗幽记》
22,茅斋独坐茶频煮，七碗后，气爽神清；竹榻斜眠书漫抛，一枕余，心闲梦稳。,处世,陈继儒,《小窗幽记》
23,琴觞自对，鹿豕为群；任彼世态之炎凉，从他人情之反复。,处世,陈继儒,《小窗幽记》
24,松间明月，槛外青山，未尝拒人，而人人自拒者何哉?,处世,陈继儒,《小窗幽记》
25,待人而留有余不尽之恩，可以维系无厌人之心；御事而留有余不尽之智，可以提防不测之事变。,处世,陈继儒,《小窗幽记》
26,当场笑语，尽如形骸外之好人；背地风波，谁是意气中之烈士。,处世,陈继儒,《小窗幽记》
27,只怕世事含糊八九件，人情遮盖二三分。,处世,孔尚任,《桃花扇》
28,磊磊落落，独往独来，大丈夫之志也，大丈夫之行也。,处世,梁启超,《饮冰室全集》
29,心口如一，犹不失为光明磊落丈夫之行也。,处世,梁启超,《饮冰室全集》
