,text,tag,author,from_book
0,他比任何一个人都要了解我，我在公司再怎么撒野耍泼，行为在怎么夸张，言辞再怎么恶毒，都不过是为了掩饰心里汹涌而出的委屈。,夸张,独木舟,《一粒红尘》
1,你远在我的童年。模糊，淡漠。因为经过了时间的篡改，记忆不再真实。我宁愿相信你不曾存在过。,夸张,七堇年,《尘曲》
2,她笑得多么好，像黄金一样，死去的人也能被唤醒，谁能听懂小孩的笑语，就能用笑唤醒谁。,夸张,杜拉斯,《情人》
3,对暗恋的人来说，彻底封口不言固然是一种自我保护，然而将一颗真心藏在戏谑夸张的示爱中供人玩笑，其实更是一种安全的宣泄。,夸张,李木戈,《暗恋橘生淮南》
4,庆历中，有一术士姓李，多巧思。尝木刻一“舞钟馗”，高二三尺，右手持铁简，以香饵置钟馗左手中。鼠缘手取食，则左手扼鼠，右手用简毙之。,夸张,沈括,《梦溪笔谈》
5,当一个时代迫切想要顶替另一个时代的时候，一切都会夸张的，一切，从一篇小说到一个处女。,夸张,铁凝,《大浴女》
6,这些杰出的四足动物有许多美德，跟人类的腐化堕落对比一下，使我睁开了眼睛，扩大了眼界.,夸张,乔纳森·斯威夫特,《格列佛游记》
7,穷人要是遇到不痛快的事就哭鼻子，那真要淹死在泪水里了。,夸张,周立波,《暴风骤雨》
8,家中钱过北斗，米烂成仓，黄的是金，白的是银，圆的是珠，放光的是宝，也有犀牛头上角，大象口中牙。,夸张,兰陵笑笑生,《金瓶梅》
9,人身蛇尾，背后七手，胸前双手，双手握腾蛇；是为后土。,夸张,梦入神机,《佛本是道》
10,人面兽身，双耳似犬，耳挂青蛇；是为奢比尸。,夸张,梦入神机,《佛本是道》
11,人面蛇身，全身赤红；是为烛九阴。,夸张,梦入神机,《佛本是道》
12,人面鸟身，耳挂青蛇，手拿红蛇；是为翕兹。,夸张,梦入神机,《佛本是道》
13,人面虎身，身披金鳞，胛生双翼，左耳穿蛇，足乘两龙；是为蓐收。,夸张,梦入神机,《佛本是道》
14,青若翠竹，鸟身人面，足乘两龙；是为句芒。,夸张,梦入神机,《佛本是道》
15,蟒头人身，身披黑鳞，脚踏黑龙，手缠青蟒；是为共工。,夸张,梦入神机,《佛本是道》
16,"八首人面，虎身十尾, 是为天吴。",夸张,梦入神机,《佛本是道》
17,"嘴里衔蛇,手中握蛇。虎头人身,四蹄足,长手肘；是为强良。",夸张,梦入神机,《佛本是道》
18,大多数的科学家，对于最高级的形容词和夸张手法都是深恶痛绝的，伟大的人物一般都是谦虚谨慎的。,夸张,贝弗里奇,《科学研究的艺术》
19,坐地日行八万里，巡天遥看一千河。,夸张,毛泽东,《毛泽东选集》
20,话说杨戬见狂风大作，雾暗天愁，泽中旋起二三丈水头。猛然开处，见一怪物，口似血盆，牙如钢剑。,夸张,许仲琳,《封神演义》
21,身穿金甲亮堂堂，头戴金冠光映映。手举金箍棒一根，足踏云鞋皆相称。一双怪眼似明星，两耳过肩查又硬。挺挺身才变化多，声音响亮如钟磬。尖嘴咨牙弼马温，心高要做齐天圣。,夸张,吴承恩,《西游记》
22,如果主人和宠物的信赖关系，不能比日本海还深，不能比长州力的头发还长的话，就称不上是真正的信赖,夸张,空知英秋,《银魂》
23,"咱大清国有的是金山银山,永远流不完。",夸张,老舍,《茶馆》
