,text,tag,author,from_book
0,我想跟一个可以跟我一起面对事情的人，愿意接受和包容我所爱的人事物的人结婚，倘若他不行，那我不想结。,婚姻,林君阳,《我们与恶的距离》
1,人没了我还要钱干嘛？对于一个婚姻的背叛除了爱人离去其它的还重要吗？,婚姻,刘惠宁,《相爱十年》
2,我自己也不明白，我这个人做了一大堆莫名其妙的事，一错再错，简直不可救药。伊莎贝拉的父亲呢――他在巴黎是有权有势，他扬言如果我不娶伊莎贝拉的话，他会对我的家族事业不利，所以我在百般无奈的情形下，才娶了伊莎贝拉。一个错误的婚姻是维持不了多久的！那次的婚姻大概只维持了八个多月就结束了。,婚姻,琼瑶,《一帘幽梦》
3,你知道在结婚七个月以后，小孩就出生了，他是个纯粹的白种小孩，长得一点也不像我。做了这样的冤大头，我心里实在是呕极了。还好我的老岳父他是个――他是个满具有正义感的老人，而且他也真心的喜欢我，所以在他的追问之下，伊莎贝拉才承认了，原来那个孩子真正的父亲是她的司机，所以老头子才答应让我们离婚了！结束了这样闹剧式的婚姻！哎~对，我是欠了一大堆的解释，所以我现在跟你解释得这么仔细！因为这段回忆在我的生命里是我的耻辱，也在我以后的感情生活里，弄得我是一团糟！,婚姻,琼瑶,《一帘幽梦》
4,我觉得你这个人是不会对强权低头的，即使有人拿着枪逼着你，你也不应该对婚姻这样大的事贸然大意啊！这是你一生的幸福，不过还好你结得快，离得快，如果粘上一辈子的话，你岂不是完蛋！,婚姻,琼瑶,《一帘幽梦》
5,爱情是狗娘。婚姻是狗。狗长大也不认娘。婚礼真是凄惨，每个人都揣着心底的一块秤砣，铅黑色沉沉的，喜酒比黄莲还苦。,婚姻,七堇年,《尘曲》
6,我觉得幸福的婚姻必定是夫妻保持精神的同步，一旦拉开距离，就很危险。,婚姻,王海鸰,《中国式离婚》
7,婚姻的确需要一种智慧、一种情怀、甚至需要一种天赋。,婚姻,王海鸰,《中国式离婚》
8,婚后想改变对方是不可能的。如果不想结束这段婚姻，那么双方要相互作适当的妥协后，磨合。,婚姻,王海鸰,《中国式离婚》
9,人性的弱点是喜新厌旧，所以婚姻要有大智慧，就是难得糊涂。要允许对方一时的心灵背叛。,婚姻,王海鸰,《中国式离婚》
10,婚前男人话多，婚后女人话多。,婚姻,王海鸰,《中国式离婚》
11,结婚不是两个人的事，两个人结合就是两个家庭的结合，他娶了你，就等于娶了你的一切，包你的社会关系你的父母。,婚姻,王海鸰,《中国式离婚》
12,男女间的背叛可分为三种：身体的背叛，心的背叛，身心的背叛。通常人们在意的是第一种离婚不是分手，一方又结婚了才是真正的分手。,婚姻,王海鸰,《中国式离婚》
13,结婚不是有之小个人的物自格，有之小个人结合在真大呢道是有之小个家庭的结合，为他着还娶了你，在真大呢道等于娶了你的一切，包你的社成为师于去说关系你的带大开们带大。,婚姻,王海鸰,《中国式离婚》
14,男女间的背叛可分为后起来并种：小没体的背叛，心的背叛，小没心的背叛。通中我去作人们在意的是第一种离婚不是分手，一作师大呢月而天对外结婚了要声是觉着正的分手。,婚姻,王海鸰,《中国式离婚》
15,一个婚姻是否成功的关键是双方都不要过分地关注对方，而是要更多地关注自己。好多夫妻间的危机是一方无知无觉，或者假装无知无觉才化险为夷的。,婚姻,王海鸰,《中国式离婚》
16,婚姻需要智慧。,婚姻,王海鸰,《中国式离婚》
17,爱情无须刻意去把握，越是想紧紧的抓牢自己的爱情，反而容易失去自我、失去原则、失去彼此之间本来应该保持的宽容和谅解，爱情也会因此而变的毫无美感，每个人都希望自己拥有幸福和美满的婚姻和爱情，但是爱是需要能力的，这个能力就是让你爱的人爱你。,婚姻,王海鸰,《中国式离婚》
18,任何一个处于危机中的婚姻，其中一方或多或少地会向外发展，探索别的领域，其实是向自己的伴侣发出求救的信号。,婚姻,张德芬,《遇见未知的自己》
19,丈夫多做家务，妻子就不会那么抑郁。两人的冲突也会减少，对婚姻生活的满意度自然会提高。当女性在外工作，分担起养家糊口的责任时，夫妻关系也更稳固。事实上，当妻子贡献一半的家庭收入，丈夫分担一半的家务劳动时，离婚的风险概率也会降低一半。,婚姻,雪莉·桑德伯格,《向前一步》
20,一直以为裸婚就是不穿衣服结婚,婚姻,水如天儿,《鬓边不是海棠红》
21,所谓结婚，就是把错误延续一生,婚姻,空知英秋,《银魂》
22,神乐：“阿银，我妈咪说过，结婚只有刚开始的时候才笑得出来，最后会变成鬼婆婆的。不过如果到最后还能保持笑容，那就不枉此生了。”,婚姻,空知英秋,《银魂》
23,婚姻是一条绳索，套上了脖子就打成死结，永远解不开了，只有死神的镰刀才割得断。,婚姻,塞万提斯,《唐·吉诃德》
24,这世上，有一个人，把娶你这件事，不是当做婚姻，而是当做心愿来祈求，来实现。,婚姻,七微,《南风过境》
25,他向我提出结婚申请时，我们也做了半年毫不含糊和的朋友。期间经过无数的考验，最无耻最肆无忌惮的挑拔者也放弃了离间我们关系的企图。可以说这种关系是牢不可破和坚如磐石的，就像没有及时更换药的伤口纱布和血痂粘在一起一样，任何揭开它的小心翼翼的行为都将引起撕皮裂肉的痛楚。,婚姻,王朔,《过把瘾就死》
