,text,tag,author,from_book
0,没有嘲讽、没有嫉妒、没有成人世界的言不由衷和尔虞我诈，只有遍地的欢笑，和漫天的星光,嫉妒,郑执,《生吞》
1,在嫉妒的人眼中，幸福不在于得到，而在于别人得不到。,嫉妒,李木戈,《暗恋橘生淮南》
2,高兴是一种令人愉快的情绪，哪怕只是一点小事我们都会尽情欢乐。因此，不论何时，只要不因嫉妒而抱有偏见，我们就很乐意同情别人的快乐。但是悲伤是痛苦的，甚至在我们自己面临不幸时，内心也会本能地抵制和避开它。我们要么努力不抱这种情感，要么一有这种情绪就立即摆脱它。,嫉妒,亚当·斯密,《国富论》
3,点子（二）,嫉妒,辛波斯卡,《给所有昨日的诗》
4,别嫉妒成功，别怜悯失败，因为我们不知道在灵魂的权衡中，什么算成功，什么算失败。遇事别称其为灾难或欢乐，除非我们已经确定或见证它的用途。永远走自己的路，同时允许别人走他们的路就可以了。,嫉妒,尼尔·唐纳德·沃尔什,《与神对话》
5,别嫉妒成功，别怜悯失败，因为你不知道在灵魂的权衡中，什么算成功，什么算失败。,嫉妒,尼尔·唐纳德·沃尔什,《与神对话》
6,我成功，她不嫉妒，我萎靡，她不轻视，人生得一知己足矣。,嫉妒,秦雯,《流金岁月》
7,我成功，她不嫉妒，我萎靡，她不轻视，人生得一知己足矣,嫉妒,秦雯,《流金岁月》
8,我对我国过去一百年中的重大事件所著的一番历史的叙述另他大为震惊，他断然宣称，那些事不过是一大堆阴谋，叛乱，残暴，愤怒，疯狂，仇恨，嫉妒，淫欲，阴险和野心所能产生的最恶的恶果。,嫉妒,乔纳森·斯威夫特,《格列佛游记》
9,结婚后最可怕的事情不是穷，不是嫉妒，不是打架，而是平淡，无聊，厌烦。两人互相觉得是个累赘，懒得再吵嘴打架，只盼望哪一天天塌了，等死。于是我们先只见面拉长脸，皱眉头，不说话，最后他怎么想法子叫我头痛，我也怎么想法子叫他头痛。他要走一步，我不让他走；我要动一动，他也不许我动。两个人放佛捆在一起扔到水里，向下沉……沉……沉……,嫉妒,阿来,《尘埃落定》
10,我嫉妒那些法国长棍面包。我看着她把它们掰碎，抹上黄油，慢慢的浸在碗里，让它们漂浮，渐渐张开，在深红色的重量下下沉，然后又在她唇齿愉悦的光芒中再次复活。,嫉妒,珍妮特·温特森,《写在身体上》
11,自然,嫉妒,芥川龙之介,《侏儒的话》
12,酸就小嫉妒，甜有小缠绵，苦有舌尖上的微涩，咸是大众的，只有辣，是分外纠缠的小情人。,嫉妒,雪小禅,《那莲那禅那光阴》
13,同情心就是看到别人感受的事情，和自己的一样，彼此休戚相关、互相谅解。所以现行考试制度，最与此点背驰。为争名次之高下、分数之多寡，使同情心日减，嫉妒心大增。,嫉妒,蔡元培,
14,他喜欢听别人哭，他喜欢看别人痛苦。 也不知道为了什么，他从小就喜欢看别人痛苦，他若瞧见别人欢乐幸福，他自己就会痛苦得受不住。但他绝不承认自己在嫉妒别人，当然他更不会承认他自己心底实在充满了自卑，所以对任何人都怀恨，嫉妒。,嫉妒,古龙,《武林外史》
15,如果傻瓜坚持人以个子的愚蠢，人以个子看把物会西外得聪明 辛勤的蜜蜂永认大西外然有时间悲哀。 残酷有一颗人的心，嫉妒有一张人的脸。你能用以个子钱买来的爱，外以上再人也能用以个子钱把它买去。怯于勇一多小往着的人必长于奸诈假使其人以个子人不傻，把时天么傻瓜一定是我们。把时天种一味觉然小往发那上生西外待会用一成如不大要外以上再动的人们，是滋生瘟疫的温床 。,嫉妒,威廉·布莱克,《布莱克诗选》
16,残酷有一颗人的心，嫉妒有一张人的脸。,嫉妒,威廉·布莱克,《布莱克诗选》
17,除了担心，嫉妒也许是不幸福的最大原因之一。除了担心，嫉妒也许是不幸福的最大原因之一。,嫉妒,伯特兰·罗素,《幸福之路》
18,任何东西都敌不过真实。不管愚蠢的人对它如何赞颂，坏的东西总要消逝；尽管无知对它怀疑，嫉妒对它狂吠，好的东西总会存留下去。,嫉妒,狄德罗,《佚名》
19,聪明伶俐自天生，懵懂痴呆未必真。,嫉妒,冯梦龙,《醒世恒言》
20,我们热爱大自然，可能是因为大自然既不憎恨我们也不嫉妒我们。,嫉妒,芥川龙之介,《罗生门》
21,“你气我，是因为外婆和我有共同的秘密吗？”她想到了秘密语言，她们总是用这语言来说话，让妈妈不明白。她想到了不眠大陆，不知道外婆是否曾带妈妈去过。,嫉妒,弗雷德里克·巴克曼,《外婆的道歉信》
22,当你很爱一个人时，要跟别人分享是很难的。时常的生气，那不是不爱，而是嫉妒。,嫉妒,弗雷德里克·巴克曼,《外婆的道歉信》
23,总有一天你会让我嫉妒的。,嫉妒,周智勇,《中国合伙人》
24,不要让嫉妒的蛇钻进你的身体里。要知道，它会腐蚀你的心灵，吞噬你的灵魂。,嫉妒,亚米契斯,《爱的教育》
25,正因为没有一点嫉妒心，因此也就没有任何别扭的气氛。,嫉妒,弗兰兹·卡夫卡,《城堡》
26,我嫉妒沉默，因为我始终喧哗,嫉妒,佚名,《英雄联盟》
27,时间是一把软刀子，可以一刀斩断浓重的爱，同样，也能切断刻骨的恨。年轻的时候所谓的嫉妒甚至是恨，在多年后的她们看来，都是那么幼稚和可笑。,嫉妒,艾小图,《我曾纯粹爱过你》
28,失宠和嫉妒曾经使天神堕落。,嫉妒,海涅,《海涅抒情诗选》
29,如果是我所敬爱的并同我精神相近的人爱上我所爱的那个女人，我便会对他产生一个可悲的手足之情，而不是争吵或竞争，我会怀着完全不同的痛苦感情退让。这种感情不是嫉妒，不是那么火辣辣的和血淋淋的。,嫉妒,帕斯捷尔纳克,《日瓦戈医生》
30,能明白上帝最爱他的教义，能明白上帝最爱善良之心，能明白要为上天国就得甘做傻瓜的人是最聪明的。一个爱基督的穷人比一个恨嫉妒的贵人更富有。,嫉妒,约翰·班扬,《天路历程》
31,折磨我的，时而是嫉妒，时而是羞怯。 愿上帝赐你的人，也似我这般坚贞似铁。,嫉妒,普希金,《普希金诗选》
32,我曾经沉默地、毫无希望地爱过你。我既忍受着羞怯，又忍受着嫉妒的折磨。我曾经那样真诚那样温柔地爱过你，愿上帝赐给你的也像我一样坚贞如铁。,嫉妒,普希金,《普希金诗选》
33,给她幸福。 永远爱着她。 让我永远嫉妒你。,嫉妒,饶雪漫,《秘果》
34,您要留心嫉妒啊；那是一个绿眼的妖魔，谁做了它的牺牲，就要受它的玩弄。,嫉妒,莎士比亚,《奥赛罗》
35,我看透了你的眼睛，你的心里面全是她住过的痕迹。,嫉妒,佚名,《佚名》
36,无论憧憬、羡慕还是嫉妒，都会让人失望。映在自己眼中的别人的优点，常常就是自己的缺点。,嫉妒,渡航,《我的青春恋爱物语果然有问题》
37,嫉妒和挽留一样，都是对一个人最大的肯定。,嫉妒,七堇年,《灯下尘》
38,钱人家的小孩连衣服都没有褶皱，钱就是熨斗，把一切都烫平了，所有褶皱都被烫得平平的。,嫉妒,奉俊昊,《寄生虫》
39,很多年之后，我有个绰号叫做“西毒”。其实任何人都可以变得狠毒，只要你尝试过甚么叫“嫉妒”。,嫉妒,王家卫,《东邪西毒》
40,嫉妒是人性的弱点之一，其根源是因别人胜过自己而产生的忌恨心理。只不过有些人易表露，有些人善于掩饰而已。那么，如何避免别人嫉妒呢?(做人低调不张扬，不炫耀财富，不嘲笑别人，不在背后说别人的闲话，学会忍让和客观回避，一般可避免引起别人的嫉妒和怨恨。),嫉妒,卡耐基,《人性的弱点》
41,一个人总有一天会明白，嫉妒是无用的，而模仿他人无异于自杀。,嫉妒,卡耐基,《人性的弱点》
42,我永远记不住名牌的名字，其实是一种心理抵抗，是一种下等人对上等人的仇视、嫉妒心理的曲折表现。就像我用馒头贬低面包一样，就像我用豆瓣酱贬低奶酪一样。,嫉妒,莫言,《蛙》
43,外面是真实的世界，外面有街道、房子、人、各种设施、图书馆和教室，而这里则是爱和心灵，这里是童话和梦。当然，我们并不是与世隔绝，我们活在思想和对话中，因此活在世界的中心，只不过是在另一块土地上，我们和大多数人没有泾渭分明的区别，我们只是用另一种目光看世界。我们的任务是在世界上建起一个岛屿，或是一个榜样，总之是推出另一种生存的可能性。我是一个久尝孤独的人，此时却进入了团体，这是那些品尝过绝对孤独的人们才能结成的团体。我不再渴望幸福的盛宴和愉快的节日，看到旁人结众扎群时，我也不再嫉妒或想家。我已慢慢体会到了身带,嫉妒,赫尔曼·黑塞,《德米安》
44,我们之所以产生嫉妒的心理，是由于社会的欲望，而不是由于原始的本能。,嫉妒,卢梭,《爱弥儿》
