,text,tag,author,from_book
0,我不想再在过去而挣扎，我不想再为过去而苦郁，我不想再为思念而孤单。,孤单,雷米,《心理罪》
1,也许是那天的光线分外柔和，也许是那天的空气分外清新，也许是冥冥之中有种善意的催化剂，又也许，是她孤单得太久了。,孤单,独木舟,《一粒红尘》
2,很多年来，我一直觉得很孤单，孤单得像是不小心来到这个星球之后，被弄坏了飞船回不了母星的外星人。,孤单,独木舟,《一粒红尘》
3,你以后会不记得我的，可是，我还是会遵守约定，我会去找你的，就算暴风雨来袭，就算烈日炎炎，就算无人陪伴孤单寂寞，就算畏惧那是从未走过的路，我都会撑住，一定会去找你的 我爱你,孤单,朴智恩,《蓝色大海的传说》
4,第一次开始游泳是十一岁那年,孤单,杨熙胜,《举重妖精金福珠》
5,对自己诚实是一件很重要的事情，否则，她只有更孤单。,孤单,李木戈,《暗恋橘生淮南》
6,人还有回忆，才不会孤单。,孤单,白槿湖,《如果巴黎不快乐》
7,哪里有孤单，哪里就有风。,孤单,白槿湖,《如果巴黎不快乐》
8,仿佛越长大越孤单，好久没有开心过了。,孤单,白槿湖,《如果巴黎不快乐》
9,自己疼自己会更来的容易，因为太多的时间里，我们都是一个人。,孤单,白槿湖,《如果巴黎不快乐》
10,我一生从不想拥有任何东西让我无法承受失去之痛，但现在来不及了，这并不是因为你漂亮、聪明或是完美。有了你 我不再感到孤单，你愿意嫁给我吗？,孤单,奥黛丽·尼芬格,《时间旅行者的妻子》
11,I don't want to be alone anymore. 我再也不想孤单一人了。,孤单,凯文·威廉姆森,《吸血鬼日记》
12,我曾长住孤单里，是你出手相救，我生命只有一个你，照亮着我。,孤单,麦九,《我终于失去了你》
13,一霎的轻别，换来半生的凄凉孤单；生命中无法填补的空洞，只是一错手而已。相爱太深是错，没有恶意也可以导演出无法遏止的悲剧。爱的本身无分对错，所以也可以是错。,孤单,梦入神机,《阳神》
14,亲爱的鱼，它也是孤独的，,孤单,雪小禅,《那莲那禅那光阴》
15,我保持着过度的安静。,孤单,雪小禅,《那莲那禅那光阴》
16,今天早晨醒来很早，从床上,孤单,雷蒙德·卡佛,《我们所有人》
17,孤零零的一个人比疼痛还难过！,孤单,尾田荣一郎,《海贼王》
18,一个人诞生在这个世界上，绝对不会是永远孤单的。,孤单,尾田荣一郎,《海贼王》
19,我没法赤裸裸、孤单单地站在世上，我也就是一条可怜巴巴的狗，需要一些温暖和食物，有时也希望有同类相伴。如果有人真的只追随自己的命运，那他就不再有同伴，他会完全孤立，身边是冷漠的世界。,孤单,赫尔曼·黑塞,《德米安》
20,一个人踏上旅途，若觉孤单，那是因为你心中有所缺失！有爱，有情，有牵挂，即使只身一人，也一样快乐悠然。,孤单,蒋欣,《佚名》
21,我离自己的兄弟越来越远，村里的孩子总和哥哥在一起，我同时也远离了他们。,孤单,余华,《在细雨中呼喊》
22,张君宝但觉天地茫茫，竟无安身之处，在师父的火葬堆前呆立了半日，这才举步。走出十余步，忽又回身，挑起师父所留的那对大铁桶，摇摇晃晃的缓步而行。荒山野岭之间，一个瘦骨棱棱的少年黯然西去，凄凄惶惶，说不尽的孤单寂寞。,孤单,金庸,《倚天屠龙记》
23,这三年来到处寻寻觅觅，却始终落得个冷冷清清。终南山古墓常闭，万花坳花落无声，绝情谷空山寂寂，风陵渡凝月冥冥。,孤单,金庸,《倚天屠龙记》
24,上帝你能不能让她知道我如此爱她；让她知道即使世界上没有其他人，她也不会孤单；让她知道只要她闭上眼睛，她就会知道我的心为她存在。,孤单,安德鲁·斯坦顿,《机器人总动员》
25,我真的愿意全心全意的和你分享一切，然而当我睁开眼睛，看到的却是我还是孤单一人。,孤单,安德鲁·斯坦顿,《机器人总动员》
26,不人可能告知你，当时警示你，为了持续活下去该怎么凑合。你清楚吗，这就是孤独。你必需单独应付，孤单就像电荷一样，你能蒙受必定数目而不致失去。,孤单,威廉·福克纳,《福克纳随笔》
27,对汤姆来说，白天是趾高气扬的白天，心旷神怡的白天，而黑夜则是心惊胆战的漫漫长夜 。,孤单,马克·吐温,《汤姆·索亚历险记》
28,每一颗心生来就是孤单而残缺的，多数带着这种残缺度过一生。,孤单,佚名,《佛经》
29,这世上，每个人都是一座孤岛，离得再近也无法连成一片陆地。一座孤岛与另一座孤岛的遥遥相望，才是它们长久矗立于海面的秘密。,孤单,梭罗,《瓦尔登湖》
30,我宁愿坐在一个南瓜上，并且独自拥有它，也不愿挤坐在一个天鹅绒的垫子上。我宁愿在大地上乘坐空气自由流通的牛车，也不愿坐在观光火车的车厢里，一路呼吸着污浊的空气上天堂。,孤单,梭罗,《瓦尔登湖》
31,最难过的是看到你和我在一起，你却显得如此孤单。,孤单,马克·李维,《偷影子的人》
32,我倒是觉得，没有危险、没有伤害却孤孤单单的人生，跟死了没什么两样。一个可以去享受快乐的废柴，比起孤苦伶仃的所谓强者，不知道幸福了多少倍，那种幸福，是有时候你牺牲生命也换不回来的。如果你保护了谁，可她的脸上竟然没有笑容，那也不过证明你是个废柴。,孤单,HEHE,《浪漫传说》
33,大部分人总是表里不一，他们做的往往并非他们内心真正渴望的。他们都有一种群居意识，惧怕被疏离与被排斥，惧怕孤单无依靠。,孤单,阿尔贝·加缪,《局外人》
34,那欢乐的梦，只剩下我孤零零的。,孤单,普希金,《普希金诗选》
35,为什么越长大越孤单？,孤单,佚名,《一禅小和尚》
36,“在你孤单的时候，还有一个我陪着你，把时间的轴走成天荒地老”的人，是你吗？只是，再也没有那么一个人，能把年少的歌唱出天空的颜色，有着广袤蔚蓝的忧郁和飘逸洁白的温暖，轻盈灵动，盖过水帘遮蔽海妖歌。我的脑海浮现起你的博客背景模板，我觉得你就是那只立在青色的山巅眺望远方的白色飞鸟，还未来得及飞到湛蓝色海浪包围的岛屿，就为我折断了羽翼。,孤单,紫堇轩,《听说每颗星都会寂寞》
37,婚姻就是两个成年人决定在一起生活，它是一件“人生小事”。从来就没有什么救世主，婚姻更不是。它无法把你从孤单中拯救出来，也无法把不够好的你变得更好。你要做的是先把自己变成成年人，让自己足够强大，然后和一个同样是成年人、同样内心强大的人一起生活，才会真的快乐。,孤单,杨时旸,《并没有如愿以偿的人生》
38,也许真的，人都是孤单的，没有谁会陪谁一辈子，你记得还是已经忘记都不再重要，重要的是我曾经来过你的世界。,孤单,佚名,《佚名》
39,孤单不是与生俱来，而是由你爱上一个人的那一刻开始,孤单,佚名,《佚名》
40,你啊！,孤单,新海诚,《言叶之庭》
