,text,tag,author,from_book
0,觥筹之后，人散夜阑灯尽羹残，土克火，酒病酒伤可以用杯清茶来治。茶喝多了，君子之间淡如水，可以在酒里体会一下小人之间的温暖以及市井里不精致却扎实亲切的活法。酒要喝陈，只能和你喝一两回的男人是不能以性命相托的酒肉朋友。只能和你睡一两回的女人是婊。茶要喝新，人不该太清醒，过去的事情就让它过去，不必反复咀嚼。酒高了，可以有难得的放纵，可以上天摘星，下海揽月。茶深了，可以有泪在脸上静静的流，可以享受一种情感叫孤独。,孤独,冯唐,《活着活着就老了》
1,她就打着那把只剩伞骨的白蛇伞，凄美的站在雨中。并不像是要面对千万年的孤独，而是像站在烟雨缥缈的西湖断桥畔，傲然执着的等待自己的爱人。,孤独,玄色,《哑舍》
2,他依然在这个世界的某个角落安静的生活着，依旧阴郁，依旧孤独，依旧在洞察一切罪恶的同时心存善念。,孤独,雷米,《心理罪》
3,终于，又是我一个人了。也许，从来就只是我一个人。,孤独,雷米,《心理罪》
4,他依然在这个世界的某个角落安静的生活着，依旧阴郁，依旧孤独，依旧在洞察一切罪恶的同时心存善念。,孤独,雷米,《心理罪》
5,孤独依旧多希望，你能停在我的胸口。,孤独,饶晓志,《人潮汹涌》
6,每个人好似一架孤独的飞机，经历了或长或短，或万里晴空或乌云密布的旅程，尝过百种滋味，停靠在这里。这座宽容的航站楼接纳过无数不知由头、遍体鳞伤的飞机。装载的行李无论多少最终都要卸下，什么也不能真正拥有。不如适时放下，鼓起勇气再出发。,孤独,祝小兔,《时光不老，我们不散》
7,有时我疑心，或许我的一生都将这样下去——自由而孤独。,孤独,独木舟,《一粒红尘》
8,人们绝望的缘由，从来没有新颖的动机。终极的失落，是人类原罪的原罪。哈罗德·布鲁姆说，心灵的自我对话本质上不是一种社会现实，西方经典的全部意义在于使人善用自己的孤独，这一孤独的最终形式是一个人和自己的死亡相遇。,孤独,七堇年,《尘曲》
9,想起来几缕花落叶败的旧事。在而今这个粗鄙的时代，感情常常是种暗无天日，一出一个愿打一个愿挨的闹剧。因了活得拙陋，内心抵御孤独的壁垒不堪一击，所以反反复复地捡起与放下。但若是谙熟人与人之间的维系有多脆弱和徒然，便会心存对涂败结局的默许和平然。,孤独,七堇年,《尘曲》
10,不愿为任何人舍弃骄傲，又巴不得能为某个人放下矜持。孤独的人何其相似。,孤独,七堇年,《尘曲》
11,这夜我的肩头落满星光，站在早已失息的帝国残梦深处，听到罗马骑士的铁蹄声以及古希腊悲剧的咏叹。,孤独,七堇年,《尘曲》
12,"人生本来就是偶然的连系,如果能珍惜每一个偶然,就会成为由美好缘份组成的人生，反之则成为孤独的人生。",孤独,朴智恩,《蓝色大海的传说》
13,虽千万人在侧，却形单影只地孤独。,孤独,饶俊,《醉玲珑》
14,不过（看书）至少让你知道，从古到今跟你有相同烦恼并且同样在寻找答案的人有很多，,孤独,李木戈,《暗恋橘生淮南》
15,这个世界太大了。无论你觉得自己多优秀，多独特，多有个性，或者多变态，多阴暗，多没良心——你永远不会孤独。因为世界上没有独一无二这回事。,孤独,李木戈,《暗恋橘生淮南》
16,完全，永恒的孤独。,孤独,克莱儿·麦克福尔,《摆渡人》
