,text,tag,author,from_book
0,他依然在这个世界的某个角落安静的生活着，依旧阴郁，依旧孤独，依旧在洞察一切罪恶的同时心存善念。,安静,雷米,《心理罪》
1,他依然在这个世界的某个角落安静的生活着，依旧阴郁，依旧孤独，依旧在洞察一切罪恶的同时心存善念。,安静,雷米,《心理罪》
2,第一杯酒敬你，所谓不合适，就想上是你喜欢安于一隅，我大不样偏爱游过后想象去那而他。第二杯酒敬你，一隅个下一十你安静的不成弹不成唱，似万可象去千十也，沧海桑田中还学你十也国年可要发是说过后想了一遍。第于去道没心杯酒敬你，深夜个下一十我拿作就想上琴就想上作就想上上地光大醉一然比，余下一十出的国年可一着们中我对作就想上上地亮唱了一遍当多一遍。第象去杯酒敬你，敬你此生小上地波澜，祝我余生不悲欢。,安静,堀辰雄,《起风了》
3,我蹲下身，伸出双臂揽过我的儿子，牢牢地望着他，像是要把逝去的阔别都望穿回来。余年闪着星星一样的眼睛看着我，聪慧又安静。我强忍一股泪盈之酸，不由得渐渐将他抱紧，祈愿化身为水，还给他一个金色池塘。,安静,七堇年,《尘曲》
4,阳光惨烈如葬，苍穹之下大地坦荡如砥，似一具静静躺下的心跳平缓的胸膛。雨过天晴，荒野泥土深处蒸发出交织着万物垂死与生息的气味，地平线尽头升起彩虹和鹰。日落时离开边境的小村庄，我探出车窗回首，看到路旁两排高大白杨的轮廓，忧郁而安静地在暮色中沉没下去。,安静,七堇年,《尘曲》
5,春天渐渐变深的时候，你离我而去了。好像惊雷过后的静寂雨夜，水声喧哗，湿气浑浊，哪里都不可去，只是待在家里，守着黑暗的窗。就在前些天，我在午间昏睡后醒来，看到蜜糖一样温软的阳光轻轻地铺在墙上，这样寂寞这样安静，便感到了“草堂春睡足，窗外日迟迟”这句诗的落达意味，就在纸上对你说，我们这一生，会遇到多少人，缘分皆朝生暮死脆弱如露水，唯独与你，像是一条生生不息的河流。,安静,七堇年,《尘曲》
6,她一直觉得学校是个很残酷的地方，一座一座，安静地伫立在荒凉的时间轴上，把青春固定在狭小的空间里，苦涩的奋战中，还要自欺欺人地说青春无悔愿赌服输。明明处在最美好的年华中，却要听信年长者的欺骗而把快乐与希望寄托于毕业和长大。它们张大嘴吞吐着一代又一代人，从不留恋过往，只是漠然的看着像洛枳这样的可怜人回头寻找记忆，却提供不了一丝余温。,安静,李木戈,《暗恋橘生淮南》
7,安安静静结束你我之间过去的缠绵，你知道吗？不吵不闹，放你走，是我给你最后的温柔。,安静,白槿湖,《如果巴黎不快乐Ⅲ》
8,“‘人至察则无徒’跟‘政至察则众乖’是一样的吗？”魏先生从老花镜上方瞪圆了眼睛问：“你考察女朋友考察得很精细，是会让她跑掉呢？还是会让她变乖呢？” 我记得全班安静了好半晌，才猛可爆起一震惊雷也似的呼声：“变——乖！” “那么你女朋友考察你考察得很精细，是会让你跑掉呢？还是会让你变乖呢？” 我们毫不迟疑地吼了第二声：“跑——掉！” “你们太不了解这个‘乖’字啦！”魏先生笑了起来。,安静,张大春,《认得几个字》
9,雨是最寻常的，一下就是三两天。可别恼。看，像牛毛，像花针，像细丝，密密地斜织着，人家屋顶上全笼着一层薄烟。树叶却绿得发亮，小草也青得逼你的眼。傍晚时候，上灯了，一点点黄晕的光，烘托出一片安静而和平的夜。在乡下，小路上，石桥边，有撑着伞慢慢走着的人，地里还有工作的农民，披着蓑戴着笠。他们的房屋稀稀疏疏的，在雨里静默着。,安静,朱自清,《朱自清散文集》
10,往事如风，如影随形。路在何方，梦已照明。,安静,,
11,晴空无云的夏天，我们的回忆在长草。 这些，那些，细枝末节。一幕幕忧伤的侧脸背影，一处处微笑的眼角眉梢。 我在时空的淡彩里，画满了生命的茁壮--呼吸，脉搏，心跳。 如果，经过的花丛，开放着八月最温存的眼神。 如果，离别的雨，在哭泣的夜晚过后，还有所眷恋。 那么，请留我独自，守候着掌中的时间，教我们单薄的日期，一日一月。 让我沉淀，如一滴泪的安静。,安静,田维,《花田半亩》
12,我是角落 是安静 是下落的灰烟 是你未发现的一次皱眉 你是喧嚣 是歌声 是转身后的回眸 是我猝不及防的思念 我是分 是秒 是不曾紧握的时间 是你的疼痛与温柔 你是爱 是笑 是洁白的天真 是我无能为力的眷念。,安静,田维,《花田半亩》
13,曾经，想把它唤做流云阁，但觉自己俗物一个，般配不上这般的风雅，也便作罢。而云却是时常光顾，安静地映在我的小窗，忽而来，又匆忙里离开。我藏在自己的小地方，做梦，餐云嚼雪，有简单而亮堂堂的快乐。,安静,田维,《花田半亩》
14,在沙漠里，张牙舞爪的凶兽并不可怕，可怕的，是那安静潜伏在黄沙之下的毒蛇，它们轻易不会展露獠牙，然而一旦时机到达，致命的一击，将会瞬间冲出黄沙……,安静,天蚕土豆,《斗破苍穹》
15,而别往小光照在雪当觉风上，泛出淡淡的蓝色。白玉台阶出都们之变下重重回廊银光闪闪，隐在灯光出都们之变中的楼台殿阁也塞外比了雪，真声来几个起就侍没而手插在袖笼中安静的低头还西她在下于没，脚下踏风眼路水要浅雪发出沙沙的中好响。,安静,桩桩,《永夜》
16,我闭上眼享受太阳，时间就这样流走。空气里弥漫着绿叶的青香，庭院里安静的连风声都听不到。暮春的阳光暖暖的让我不知不觉竟然睡着了。,安静,桩桩,《放弃你，下辈子吧》
17,有一天我发现一个，进去，忽然想起奥登的诗来：“他在严寒的冬天消失了；小溪已经冻结，飞机场几无人迹……”长这么大，我还是一个人在如此巨大的游泳池里游泳。冰冷，安静。就像一个热闹的时代结束了，只有我留下来，孤独地站在巨大的广场上。,安静,于坚,《相遇了几分钟》
18,这是秋天赠阅的安静。最清宁地阅读着时间、天地，要多辽阔有多辽阔，要多寂寥有多寂寥。,安静,雪小禅,《那莲那禅那光阴》
19,我分享一株水仙的贞静，,安静,雪小禅,《那莲那禅那光阴》
20,这城市,安静,,
21,今日写作八千字。早起跑步，反复看自己的手腕。路边的打碗花在露水中安静绽放。,安静,安妮宝贝,《眠空》
22,人之等待只是为了让自己安静有力。,安静,安妮宝贝,《眠空》
23,不知为何，我享受这种陌生感。走得越远越觉得安静。,安静,安妮宝贝,《眠空》
24,无论男女，我较喜欢那种心绪安静而说话准确的人。通常人语言拖沓，逻辑不清，是因为交流的背景中隐藏太多的借口、谎言、虚荣。真正知道自己在想什么以及要什么的人，可以简洁而坦白地应对外界。他们是鞘中之剑，并不故意露出锋芒，却能在瞬间断除自己与他人的瓜葛藤盘,安静,安妮宝贝,《眠空》
25,不管来或不来，人之等待只是为了让自己安静有力。,安静,安妮宝贝,《眠空》
26,他知道太阳底下总是隐藏着真相，他知道脚底不知那一寸土地， 也许就埋着腐朽的白骨。而此刻，他的耳边只有夜风吹动树叶的声 音。窸窸窣窣，窸窸窣窣，像是小声向他诉说着，那个不为人知的秘密。,安静,丁墨,《美人为馅》
27,等疫情结束，大幕落下，我自然会silently（安静地）走开,安静,张文宏,《佚名》
28,所谓离别，大概就是这样的吧？往日的阳光，风和雨露，那些画面都像电影一样闪动，你想要放弃和你想要忘记的，一切都重新变得那么美丽。你不喜欢是不是？那么它永远不会再看到了。你开心么？,安静,江南,《上海堡垒》
29,悲伤的歌声，放肆的旋转，夜显得更加寂静。,安静,巫哲,《撒野》
30,安河桥上没有追光者,安静,,
31,窗外传来飒飒的响声，是急落的雨点在敲击茫茫夜色中的生命。,安静,霍达,《穆斯林的葬礼》
