,text,tag,author,from_book
0,做学问要不怕寂寞、不怕凄凉。要有这个精神，这个态度，才可以谈做学问。,寂寞,南怀瑾,《佚名》
1,我和我追逐的梦一再错过，只留下我独自寂寞却不敢回头。,寂寞,饶晓志,《人潮汹涌》
2,红唇看上去虽然隆重，不那么像个过日子的情态，可我觉得人间烟火总需要一些装饰。有时想，我那么喜欢涂红唇，爱人要心甘情愿吃掉我多少唇膏。红唇是可以有一辈子的。热烈的时候可以有，寂寞的时候可以有，等待的时候可以有。若头发白了，还涂着红唇，是要把这一生的美都凝固在唇齿间了。涂好红唇，与心爱的人约会，他不来，我不老。,寂寞,祝小兔,《时光不老，我们不散》
3,寂寞叫人无所适从，唯有夜行的车轮飞速碾压路面的声音能够证明 我没有失聪。,寂寞,独木舟,《一粒红尘》
4,春天渐渐变深的时候，你离我而去了。好像惊雷过后的静寂雨夜，水声喧哗，湿气浑浊，哪里都不可去，只是待在家里，守着黑暗的窗。就在前些天，我在午间昏睡后醒来，看到蜜糖一样温软的阳光轻轻地铺在墙上，这样寂寞这样安静，便感到了“草堂春睡足，窗外日迟迟”这句诗的落达意味，就在纸上对你说，我们这一生，会遇到多少人，缘分皆朝生暮死脆弱如露水，唯独与你，像是一条生生不息的河流。,寂寞,七堇年,《尘曲》
5,你以后会不记得我的，可是，我还是会遵守约定，我会去找你的，就算暴风雨来袭，就算烈日炎炎，就算无人陪伴孤单寂寞，就算畏惧那是从未走过的路，我都会撑住，一定会去找你的 我爱你,寂寞,朴智恩,《蓝色大海的传说》
6,数尽江湖千万峰，无极浩瀚吾心胸，走遍中原到南疆，看我大翼展雄风。魔道崎岖路难通，明日青山又几重，人生运命各不同，但求屹立天地中。誓死奔雷，威震山河动，剑如白虹，出鞘追元凶。也有情深处，何必相约再相逢，自古英雄多寂寞，将相本无种。好男儿莫错过青春，看风云再变，彩云飞扬。,寂寞,饶俊,《醉玲珑》
7,秋山明月葬花魂，寂寞相思无处存,寂寞,饶俊,《我就是这般女子》
8,这个世界上有些人生来万众瞩目，有些人生来不甘寂寞。如果天性不甘寂寞的那个人恰巧拥有万众瞩目的命运，那自然是两全其美。,寂寞,李木戈,《暗恋橘生淮南》
9,开始的开始总是甜蜜的。大enxue.后来就有了厌倦、习惯、背弃、寂寞、绝望和冷笑。曾经渴望与一个人长相厮守，后来，多么庆幸自己离开了。曾几何时，在一段短暂的时光里，我们以为自己深深的爱着的一个人，后来，我们才知道，那不是爱，那只是对自己说谎。,寂寞,白槿湖,《如果巴黎不快乐》
10,心里荒芜成一片寂寞的沙场。,寂寞,白槿湖,《如果巴黎不快乐》
11,那一夜，寂寞的夜，回首往事，叹息不宜，听首情歌，感动不宜，泪流满面，触动我的心縼！,寂寞,简·奥斯汀,《理智与情感》
12,基本上每个人都寂寞，只不过有些表露出来，有些不。连我自己都不知道我是哪一种。,寂寞,亦舒,《喜宝》
13,但终究他们坐上相反的火车，擦肩而过，沿着历史的轨道，消失在彼此的世界里，两个不一样的人是不可能在一起的，即使葡萄藤上挂满了百合花，葡萄藤上也不是百合的家，如果你的爱情终究是一方的单相思，那么就不要去触动那份相思，以免徒增寂寞。,寂寞,张恨水,《金粉世家》
14,为什么我还会有难以排遣的寂寞心情和压抑不住的强烈怀念？为什么我会如此激动？如此敏感？如此脆弱？平日司空见惯一向无动于衷的风景，乃至树叶的簌响，鸟类的呢喃，一朵云的形状，一枝花的姿态，一个音符，甚或一籁俱寂都会使得我深受感动，动辄热泪盈眶。,寂寞,王朔,《动物凶猛》
15,这时候最热闹的，要数树上的蝉声和水里的蛙声；但热闹是它们的，我什么也没有。,寂寞,朱自清,《朱自清散文集》
16,是不是对生活不满意，很久没有笑又不知为何，既然不快乐又不喜欢这里，不如一路向西去大理。路程有点波折，空气有点稀薄，景色越辽阔，心里越寂寞，不知道谁在何处等待，不知道后来的后来，谁的头顶上没有灰尘，谁的肩上没有齿痕，也许爱情就在洱海，等着，也许故事正在发生着,寂寞,岳小军,《心花路放》
17,寂寞不是因为没人陪，而是因为没有他。,寂寞,坂元裕二,《东京爱情故事》
18,现代人不缺爱情，或者说不缺貌似爱情的东西，但是寂寞的感觉依然挥之不去。我们可以找个人来谈情说爱，但是，却始终无法缓解一股股涌上心头的落寞荒芜。爱情不是便当，它们依然需要你的郑重其事。,寂寞,坂元裕二,《东京爱情故事》
19,是否，在你的青春里，也有一个寂寞的人，在人群之中将你的所有悉心收藏？ 是否，也有一双你从未察举的眼，跟随着你，让你就这么轻易，将他所有关于青春的回忆霸占？,寂寞,田维,《花田半亩》
20,在世上寂寞，在水里怡然,寂寞,三毛,《哭泣的骆驼》
21,不要以为某些人行为怪癖，他们一生离群索居，喜欢寂寞，在下雨和吃硬邦邦的食品时更是如此。,寂寞,若泽·萨拉马戈,《修道院纪事》
22,在章风山她骑在我身上一上一下，极目四野，都是灰蒙蒙的水雾。忽然间觉得非常寂寞，非常孤独。虽然我的一部分在她身体里摩擦，她还是非常寂寞，非常孤独。后来我活过来了，说道：换换，你看我的。我就翻到上面去。她说，那一回你比哪回都混蛋。,寂寞,王小波,《黄金时代》
23,寂寞就是可以做一切事的自由。,寂寞,王小波,《黄金时代》
24,寂寞的城市里开了一串串寂寞的灯光，鸢尾再绚烂也只是寂寞地开放。,寂寞,王小波,《黄金时代》
25,这寂寞又一天一天地长大起来，如大毒蛇，缠住了我的灵魂了。,寂寞,鲁迅,《呐喊》
26,所谓回忆者，虽说可以使人欢欣，有时不免也使人寂寞，使精神的丝缕还牵着已逝的时光，又有什么意味呢，而我偏苦于不能全忘却，这不能全忘的一部分，到现在便成了呐喊的来由,寂寞,鲁迅,《呐喊》
27,所为回忆者虽说可以使人欢欣，有时却不免使人寂寞，使精神的丝缕还牵挂着以逝的寂寞的时光又有什么意味呢？,寂寞,鲁迅,《呐喊》
28,凡有一个人的主张，得了赞和，是促其前进的，得了反对，是促其奋斗的，独有叫喊于生人中，而生人并无反应，既非赞同，也无反对，如置身毫无边际的荒原，无可措手的了，这是怎样的悲哀呵，我于是以我所感到者为寂寞。,寂寞,鲁迅,《呐喊》
29,有时候仍不免呐喊几声，聊以慰藉那在寂寞里奔驰的猛士，使他不惮于前驱,寂寞,鲁迅,《呐喊》
30,在我自己，本以为现在是已经并非一个迫切而不能已于言的人，但或者也还未能忘怀于当日自己的寂寞的悲哀罢了，所以有时候仍不免呐喊几声，聊以慰藉那在寂寞里奔驰的猛士，使他不惮于前驱。,寂寞,鲁迅,《呐喊》
31,要是孤独和寂寞同时来找我，我会选择做事——做自己喜欢的事。,寂寞,,
32,唯有结交几个思想相通、灵魂相近的朋友，你才可以在苦闷彷徨的时候一吐为快；唯有心中装着蓝天和风景人，才不会感到孤独与寂寞！,寂寞,,
33,我祖父在失去妻子的最初几年里，寂寞和忧伤使他对祖母的往事充满热情，当他灰暗的眼睛闪闪发亮时，我祖母就在他的话语里复活了。,寂寞,余华,《在细雨中呼喊》
34,痛苦的顶点不是被拘押在旅馆里没有书看、没有合适的谈话伙伴，而是被放在外面，感到天地之间同样寂寞，面对和你一样痛苦的同伴。,寂寞,王小波,《沉默的大多数》
35,我相信这不是我一个人的经历：傍晚时分，你坐在屋檐下，看着天慢慢地黑下去，心里寂寞而凄凉，感到自己的生命被剥夺了。当时我是个年轻人，但我害怕这样生活下去，衰老下去。在我看来，这是比死亡更可怕的事。,寂寞,王小波,《沉默的大多数》
36,两人刀剑相交，各自退开一步，不禁一怔，心下均佩服对方这一招的精妙。两人派别不同，武功大异，生平从未见过面，但一招之下，发觉自己这套武功和对方若合符节，配合得天衣无缝，犹似一个人一生寂寞，突然间遇到了知己般的欢喜。,寂寞,金庸,《倚天屠龙记》
