,text,tag,author,from_book
0,“家里的老眠床，八仙桌，角角落落，暗沉沉，小时候觉得永远会这样过下去，地久天长呢。” 先生几次对我说。在我幼年，沪上人家也还多有这份江南旧宅的暗沉沉。二〇〇六年先生回来后，每与他客厅对坐，室中冥暗，轩窗外庭树寂寂，也是天长地久的神情，好似故家从来就在，只是少爷老了。,寂静,陈丹青,《张岪与木心》
1,这些漫长的，厚重的，令人窒息的一分钟又一分钟，比死亡还要寂静的一分钟接一分钟，我感觉到——如果还有感觉的话——身体里有什么东西在迅速的溃烂，像是被灌进了某种腐蚀性的液体从喉咙开始一直往下，胸腔，腹腔，然后由内而外渗出来，四肢无力，头脑发蒙……,寂静,独木舟,《一粒红尘》
2,思念那种痛，会蛰伏在每一个寂静的夜晚里，会趁人不备跑出来，刺痛你。,寂静,白槿湖,《如果巴黎不快乐》
3,当我说“未来”这个词，第一音方出即成过去。,寂静,辛波斯卡,《辛波斯卡诗选：万物静默如谜》
4,那种很多人聚在一起而形成的沉默不是一般的寂静，可以使人感到它巨大的压力。,寂静,阿来,《尘埃落定》
5,一路都是落不定的尘埃。你是谁？你看，一柱光线穿过那些寂静而幽暗的空间，便照见了许多细小的微尘飘浮，像茫茫宇宙中那些星球在运转。,寂静,阿来,《尘埃落定》
6,旋风越旋越高，最后，在很高的地方炸开了。里面，看不见的东西上到了天界，看得见的是尘埃，又从半空里跌落下来，罩住了那些累累的乱石。但尘埃毕竟是尘埃，最后还是重新落进了石头缝里，只剩寂静的阳光在废墟上闪烁了。,寂静,阿来,《尘埃落定》
7,在黑暗与寂静中，我们彼此相爱。我用手掌测量她的骨头，猜想着时间会对这于我来说如此新鲜的皮肤做些什么。我对这具身体的感觉会不会减少？为什么热情会过去？使你枯萎的时间也会使我枯萎。我们会像熟透的水果一样掉落，一起滚入青草中。亲爱的朋友，让我躺在你的身边，看着云朵，直到泥土将我们覆盖，直到我们死去。,寂静,珍妮特·温特森,《写在身体上》
8,是否，在你的青春里，也有一个寂静的人，在人群之中将你的所有悉心珍藏？是否，也有一双你从未察觉的眼，跟随着你，让你就这么轻易，将他所有关于青春的回忆霸占？就让这寂静的爱成为一生的秘密，归于尘土。或者，直到某天，时光老去，有什么人对你说起，他曾经爱你。,寂静,田维,《花田半亩》
9,就让这份寂静的爱成为一生的秘密，归于尘土。或者，直到某天，时光老去，有什么人对你说起，他曾经爱你。,寂静,田维,《花田半亩》
10,那一年，我们一起痴迷聂鲁达的诗《我喜欢你是寂静的》： 我喜欢你是寂静的，仿佛你消失了一样， 你从远处聆听我，我的声音却无法触及你。 好像你的双眼已经飞离远去， 如同一个吻，封缄了你的嘴。,寂静,田维,《花田半亩》
11,一片光辉周法界，虚空朗彻天地耀，双忘寂静最灵虚……,寂静,辰东,《完美世界》
12,天上有星几点，残月如勾，雪地寂静无声。,寂静,桩桩,《永夜》
13,好像极度的寂静，又好像极度的喧嚣，这一刻宇宙洪荒时间停止，在唯一的怀抱中，微微听到了来自彼方的心跳的震动。,寂静,顾漫,《微微一笑很倾城》
14,军人是最不喜欢寂静的，因为战场上的寂静往往包含着更大的危险，预示着更激烈的战斗。,寂静,都梁,《亮剑》
15,冬季日短，又是雪天，夜色早已笼罩了全市镇。人们都在灯下匆忙，但窗外很寂静。雪花落在积的厚厚的雪褥上面，听上去似乎瑟瑟有声，使人更加感得沉寂。,寂静,鲁迅,《彷徨》
16,四围是广大的空虚，还有死的寂静。死于无爱的人们的眼前的黑暗，我仿佛一一看见，还听得一切苦闷和绝望的挣扎的声音。,寂静,鲁迅,《彷徨》
17,“有一种幽静的美，是不是？”他对我说，“正如一位小说家所说，对我这样心灵受过创伤的人来说，只有幽暗与寂静最为相宜。你以后会读到他的作品的。你知道吗，孩子？一个人在一生之中会遇到那样的时候，你现在还体会不到，那时候眼睛只能容忍一种光明，那就是在这样月白风清的夜晚以幽暗提炼出来的光明；耳朵也只能听到一种音乐，那就是月光用寂静的笛子奏出的音乐。”,寂静,马赛尔·普鲁斯特,《追忆似水年华》
18,一只不见踪影的鸟不知在丈量哪棵树的梢头，它千方百计地要缩短白昼的长度，用悠长的音符来探测周遭的僻静，但它从僻静中得到的却只是调门一致的反响，使周遭更安定、更寂静，仿佛它本来力求使一瞬间消逝得更快，结果反使那一瞬间无限延长了。,寂静,马赛尔·普鲁斯特,《追忆似水年华》
19,对我这样心灵受过创伤的人来说，只有幽暗与寂静最为相宜,寂静,马赛尔·普鲁斯特,《追忆似水年华》
