,text,tag,author,from_book
0,我想讲下去，但喉咙却不知怎么吞了口东西，我不知道我吞了什么，除非是我硬压下去的一小团感情，因为我脸上已经放不下了。,尴尬,阿瑟·高顿,《艺伎回忆录》
1,尴尬是仍然在意别人如何看待自己的人才会有的反应。,尴尬,尼尔·唐纳德·沃尔什,《与神对话》
2,勖聪恕并不讨厌，只是我与他没有什么好说的。有些男人给女人的印象就是这么尴尬。相反地，又有一些男人一看便有亲切感，可以与他跳舞拥抱。韩国泰不是太困难的男人，相处一段时间之后，可以成为情侣，但渐渐会觉得疲倦，真可惜。,尴尬,亦舒,《喜宝》
3,钱德勒向莫妮卡求婚，钱德勒说：“我以为我开口的时间和地点很重要，但其实最重要是你。你让我得到了超乎我想象的幸福，我愿意用我的下半辈子让你和我一样幸福。”,尴尬,大卫·克拉尼,《老友记》
4,你不是一个善于聊天，会调气氛的人，别老没话找话了，我都替你尴尬。,尴尬,王伟,《隐秘而伟大》
5,他说，四处都笼罩着拉帮结派的气息，却感觉不到一丝自由和爱。所有这些联同行为，从大学社团、合唱团到国家，完全是被迫的结合，人们出于恐惧、担忧、尴尬才构建的共同体，他们的内心其实正在腐化，濒临崩溃。,尴尬,赫尔曼·黑塞,《德米安》
6,如果没有道德，法律 那些老实人才是最凶狠的，剩下的凶狠的人就知道跑得有多快了,尴尬,,
7,我希望起身时，你会轻轻帮我掸掉衣服上不容易发现的灰尘。,尴尬,张嘉佳,《从你的全世界路过》
8,我希望沉默时，你一言不发在身边我们却不会觉得尴尬。,尴尬,张嘉佳,《从你的全世界路过》
9,“我没法说——我真的没法说。自从第一次拜访之后，她央求我再来，向我诉说了自己的孤独和不快乐。她这么做让我很难拒绝。她如此明显地向我表达自己的恋慕和喜爱之情，这让我处于一种尴尬的境地。你知道，梅亨先生，我天生就有这样的弱点——我会犹豫不决——我是那种不会说‘不’的人。而且不管你相不相信，拜访她三四次后，我发现自己渐渐有点喜欢上了这位老夫人。在我很小的时候，我妈妈就去世了，姨妈抚养我长大，但在我十五岁之前她也去世了。如果我告诉你，我渐渐开始享受那种被溺爱、被纵容的感觉，我敢说你肯定会笑话我。”,尴尬,阿加莎·克里斯蒂,《控方证人》
