,text,tag,author,from_book
0,有人搭金色马车而来，,怀古,辛波斯卡,《给所有昨日的诗》
1,先帝不以臣卑鄙，猥自枉屈，三顾臣于草庐之中，咨臣以当世之事,怀古,诸葛亮,《出师表》
2,人不见，烟已昏，击筑弹铗与谁论。,怀古,孔尚任,《桃花扇》
3,遥看晴川树底，芳草洲边，万民欢歌，三军嬉笑，好一段太平景象,怀古,孔尚任,《桃花扇》
4,大江滚滚浪东流，淘尽兴亡在渡头，屈指英雄无半个，从来遗恨是荆州。,怀古,孔尚任,《桃花扇》
5,一国亡来一国亡，六朝兴废太匆忙。,怀古,郑板桥,
6,已破章邯势莫当，八千子弟赴咸阳。,怀古,郑板桥,
7,西楚有青衣，国士无双。,怀古,烽火戏诸侯,《雪中悍刀行》
8,太玄山上，奇缘洞天，玄天之镜，一切尽显。缘也命也，各有机缘，神镜之中，生死各半！,怀古,,
9,惟宽可以容人，惟厚可以载物。,怀古,,
10,——先生也曾意气风发 指点江山,怀古,孙皓晖,《大秦帝国》
11,“魏晋风度”宁是最令人三唱九叹的了；所谓雄汉盛唐，不免臭脏之讥；六朝旧事，但寒烟衰草凝绿而已；韩愈李白，何足与竹林中人论气节。来元以还，艺文人士大抵骨头部软了，软之又软，虽具须眉，个个柔若无骨，是故一部华夏文化史，唯魏晋高士列传至今掷地犹作金石声，投江不与水东流，固然多的是巧累于智俊伤其道的千古憾事，而世上每件值得频频回首的壮举，又有哪一件不是憾事。,怀古,木心,《哥伦比亚的倒影》
12,古老的国族，街头巷尾亭角桥堍，无不可见一闪一烁的人文剧情，名城宿迹，更是重重叠叠的往事尘梦，郁积得憋不过来了，幸亏总有春花秋月等闲度地在那里抚恤纾解，透一口气，透一口气，已是历史的喘息。,怀古,木心,《哥伦比亚的倒影》
13,“项王军壁垓下，兵少食尽，汉军及诸侯兵围之数重。夜闻汉军四面皆楚歌，项王乃大惊，曰:‘汉皆已得楚乎?是何楚人之多也。’”,怀古,司马迁,《史记》
14,王曰：“去‘泰’，著‘皇’，采上古‘帝’位号，号曰‘皇帝’。他如议。”制曰：“可。”,怀古,司马迁,《史记》
15,天安门紫禁城，永乐大钟，千古鸣。十三陵大前门，香山红透，枫叶林,怀古,烽火戏诸侯,《陈二狗的妖孽人生》
16,三分虽然天数定，神机妙算亦刻图；倘若当年奉孝在，岂容西蜀与东吴。,怀古,罗贯中,《三国演义》
17,一凤并一龙，相将到蜀中。才到半路里，凤死落坡东。风送雨，雨随风，隆汉兴时蜀道通，蜀道通时只有龙,怀古,罗贯中,《三国演义》
18,子治世之能臣，乱世之奸雄也,怀古,罗贯中,《三国演义》
19,"‌最广泛流传的三国武将排名是“一吕二赵三典韦，四关五马六张飞。黄许孙太两夏侯,二张徐庞甘周魏。枪神张绣和文颜,虽勇无奈命太悲。三国二十四名将,打末邓艾和姜维。”",怀古,罗贯中,《三国演义》
