,text,tag,author,from_book
0,今年春，诸事忙过，我从柜子里取出五本笔记，摞在床头边，深宵临睡，一页一页读下去，发呆、出神、失声大笑，自己哭起来：我看见死去的木心躺在灵床上，又分明看见二十多年前大家围着木心，听他讲课……我们真有过漫漫五年的纽约聚会么？瞧着满纸木心讲的话，是我的笔记，也像是他的遗物。,怀念,陈丹青,《张岪与木心》
1,相见不如怀念，距离有美有朦胧，真如相守，也许只会剩下平凡，归于平淡。,怀念,辰东,《遮天》
2,那些被偷走时光中的际遇，那些不散场的人们，都留在了这本书中。最终，我们不断告别，偶尔怀念。,怀念,祝小兔,《时光不老，我们不散》
3,我怀念的并不是青春本身，而是在那个时间段里，你以为自由是永远的，你可以去任何地方。,怀念,独木舟,《万人如海一身藏》
4,其实也不会在闭眼的时候回忆我走过了谁人的生命，你们又如何怀念我。不会像胶片拉过一样追忆往事画面，譬如一九九九年的某个夜晚，谁问了谁的泪，谁又为谁透支了半生的衷情。生命不及百年，不及宇宙亿万分之一的瞬间。有今生无下世，我只信古词里的“生死两茫茫”，”月夜松冈“。,怀念,七堇年,《尘曲》
5,我离开伊宁,怀念,七堇年,《尘曲》
6,八八年,怀念,李祐汀,《请回答1988》
7,南京的七月热得不像话，我窝在房间里，赤着脚，在地板上跑来跑去，给花浇水，那些花是我在春风吹拂着的季节里种下的。,怀念,白槿湖,《如果巴黎不快乐》
8,为什么我还会有难以排遣的寂寞心情和压抑不住的强烈怀念？为什么我会如此激动？如此敏感？如此脆弱？平日司空见惯一向无动于衷的风景，乃至树叶的簌响，鸟类的呢喃，一朵云的形状，一枝花的姿态，一个音符，甚或一籁俱寂都会使得我深受感动，动辄热泪盈眶。,怀念,王朔,《动物凶猛》
9,秦淮河的水是碧阴阴的;看起来厚而不腻，或者是六朝金粉所凝么?我们初上船的时候，天色还未断黑，那漾漾的柔波是这样的恬静，委婉，使我们一面有水阔天空之想，一面又憧憬着纸醉金迷之境了。,怀念,朱自清,《朱自清散文集》
10,你我舍不得那首老情歌，听它的人是否怀念过,怀念,赵晨阳,《漂亮的李慧珍》
11,往事如风，如影随形。路在何方，梦已照明。,怀念,,
12,我们都有过去，我们一样怀念着过去的那一半。只是，人要活下去，要再寻幸福，这并不是否定了过去的爱情。,怀念,三毛,《稻草人手记》
13,红尘万里，很多人遇到了，散失了，误解了，错过了，所以，到年老仍是赤心怀念的人，不是每个人都可以拥有的。,怀念,梦入神机,《阳神》
14,忘不了就不要忘记，但有些人注定只能怀念。,怀念,辰东,《神墓》
15,即使早已成为过去，也会一直在生命里息息纠缠，控制不了的苦苦怀念使一颗心长年沉溺在追忆里，不肯浮出来与现实面对。曾到过美得无法形容的彼岸，所以在尘世里耿耿于怀，经历那样的深刻，让人不但难以割舍反而渴望继续追寻。然而这世上消逝得最快的永是最美的时光，一去不返后只余午夜梦回，醒来时让人肝肠寸断。,怀念,安宁,《温暖的弦》
16,越成功就越觉得原来这些都不是自己想要的，反而会怀念以前没有被功利心污染的岁月。有时候午夜梦回，醒来后总觉得心口有个洞，开始不知道是什么，随着一年一年过去，有一天终于明白，原来心底一直有着一个歉疚很深的结。,怀念,安宁,《温暖的弦》
17,有相聚就有离别，人生的百转千回中，有些人值得永远怀念，谢谢他陪著走一程。,怀念,尾田荣一郎,《海贼王》
18,失去的爱情，总是令人怀念的，这三个外国人，开始天天想念饺子，想一群失恋的人般曾经沧海起来，做什么菜伺候都难为水哦。,怀念,三毛,《温柔的夜》
19,我就是这样一天天老下去了。从这个样子你决看不出我每天每夜每小时每一分钟都在想入非非，怀念着十七岁时见到的紫色天空，岸边长满绿色芦苇的河流，还有我的马兄弟。,怀念,王小波,《绿毛水怪》
20,你走了真好，不然总担心你什么时候还要走。 你来过了一下子，我怀念了一辈子,怀念,佚名,《一禅小和尚》
21,一禅：师父,怀念,佚名,《一禅小和尚》
22,天上的风雨来了，鸟儿躲在它的巢里，心中的风雨来了，我只躲到你的怀里。,怀念,冰心,《繁星·春水》
23,小小的花 也想抬起头来 感谢春光的爱 然而深厚的恩慈 反使他终于沉默 母亲呵! 你是那春光么。,怀念,冰心,《母亲》
24,父亲呵！出来坐在月明里，我要听你说你的海。,怀念,冰心,《繁星·春水》
25,母亲，倘若你梦中看见一只很小的白船儿， 不要惊讶他无端入梦。 这是你至爱的女儿含着泪叠的， 万水千山，求他载着她的爱和悲哀归去。,怀念,冰心,《佚名》
26,母亲啊！你是荷叶，我是红莲，心中的雨点来了，除了你，谁是我在无遮拦天空下的荫蔽？,怀念,冰心,《佚名》
27,我的心是一座浸泡在海水中的宫殿。多年之后，你会记得它，也许忘却它。最终，你会怀念它。这种悲哀与击伤。这种怜悯与温 柔。这空无而充盈的力量。,怀念,安妮宝贝,《眠空》
28,男女之间，若只以好奇和欲望来做动力，一旦占有或产生厌倦之心，关系就失去行进的动力。如同被嚼过的甘蔗渣滓，榨取完尽甜美可见的汁液，只能被丢弃。所以人常说，分手之后，相见不如怀念。,怀念,安妮宝贝,《眠空》
29,曾经发生过的事情不可能忘记，只不过是想不起而已。,怀念,宫崎骏,《千与千寻》
30,在大多数人心中，自己的故乡后来会成为一个点，如同亘古不变的孤岛。,怀念,紫式部,《源氏物语》
31,心迹未予外人阅，花枝一束故人香。,怀念,紫式部,《源氏物语》
32,当你抬头仰望星空，当你俯瞰着苍茫如同群兽蛰伏般的大地。 你可曾看到了我？,怀念,丁墨,《美人为馅》
33,宇宙最简单的存在， 交错复转。 生命最繁复的形式， 朝失暮得。 可以覆盖每一天， 可以占据每一年。 错失依旧会复得。 于我虚无的梦境中， 他的名字， 终不会被时光掩盖。,怀念,丁墨,《美人为馅》
34,"“Did I scare you?"" “No."" “Can I kiss you?"" “Yes.""",怀念,施定柔,《遇见王沥川》
