,text,tag,author,from_book
0,现在，读过大学、研究生、博士生、洋学位，转眼就到了中学时想象不出的之后的将来。忽然觉察到老师们的狡诈：现在再读保尔—柯察金的名言，语句不通，没有定解。金多伤神，酒多伤肝，小媚眼长出皱纹，大波波像小区门口花坛里的大芍药花一样渐渐枯萎。到底如何不因为虚度年华而悔恨，也不会因为碌碌无为而羞愧？,悔恨,冯唐,《活着活着就老了》
1,我当你一回女儿，连让你高兴一次都没做到。,悔恨,贾玲,《你好，李焕英》
2,妒意好过悔恨，燃烧着的占有欲好过茫然四顾的空落落。,悔恨,李木戈,《暗恋橘生淮南》
3,谢绝你的爱，痛恨他还在。,悔恨,简·奥斯汀,《理智与情感》
4,曾经生离死别的恋人，从此擦肩而过，他们带着伤感和悔恨，随着南来北往的滚滚车轮，沿着各自的人生轨迹，融入时代的洪流。,悔恨,张恨水,《金粉世家》
5,以为远方很美，却不知道那里并不适合你。,悔恨,张恨水,《金粉世家》
6,我害了你，我害了你。早知道如此，不如让你在先农坛唱一辈子大鼓啊！,悔恨,张恨水,《啼笑因缘》
7,没有什么比不能保护你爱的人更让人悔恨。,悔恨,乔治·马丁,《权力的游戏》
8,结婚也不过是另外一种生活方式，千头万绪，恶口不简单，少女中了童话的毒，总以为结婚是一个结局，等发觉是另一个开头时，难免叫苦连天。,悔恨,秦雯,《流金岁月》
9,现在想来，她当时的姿态不是很自然，颇带几分卖弄和搔首弄姿，就像那些电影小明星在画上上常干的那样。 但当时我就把这种浅薄和庸俗视为美！为最拙劣的搔首弄姿倾倒，醉心，着迷，丧魂失魄！,悔恨,王朔,《动物凶猛》
10,如果谁专心一致追逐欢乐，只为我向而只把觉破坏了适意的生便如开然对；如果只为我向而伺机把欢乐摘取，只为我向而便如开真才只出永并阮生便如开然对在晨曦别便样把别便样。如果在时机成熟前强趁时机，你用年疑真才只出洒下悔恨的泪滴；年地会如你一旦把成熟的时机错过，用年尽的痛苦真才只出使你终再并作哭泣。,悔恨,威廉·布莱克,《布莱克诗选》
11,要是向力量屈服，那我身为男人就没有任何意义。我绝不会在人生中留下悔恨。,悔恨,尾田荣一郎,《海贼王》
12,当我们为一去不复返的青春叹息时，我们应该考虑将来的衰老，不要到那时再为没有珍惜壮年而悔恨。,悔恨,拉布吕耶尔,《佚名》
13,如此卑微而沉寂得爱着你，我不善表达，我更没有虚伪做作，做的永远比想得少，我眼里流露出来的绝不是空洞，除去发自内心的爱意还有对上苍的感谢，我就此去了也绝不会有任何悔恨，仍然是深深的眷恋与不舍。,悔恨,毛姆,《面纱》
14,我不想用人们的欢乐将我心中的忧伤换掉；也不愿让我那发自肺腑怆然而下的泪水变成欢笑。我希望我的生活永远是泪与笑：泪会净化我的心灵，让我明白人生的隐秘和它的堂奥；笑使我接近我的人类同胞，它是我赞美主的标志、符号。泪使 我借以表达我的痛心与悔恨；笑则流露出我对自己的存在感到幸福和欢欣。,悔恨,纪伯伦,《泪与笑》
15,对过去的悔恨和对将来的担忧，让我们将现在美好时光拒之门外，或者糟蹋了它，是非常愚蠢的。,悔恨,叔本华,《人生的智慧》
16,她躲在自己心灵的一个遥远角落，没有希望，也没有哀伤；没有梦想，也没有幻灭。无所谓未来，往昔只留下这个教训：爱是使人遍体鳞伤的错误，而它的帮凶，希望，则是令人悔恨莫及的幻想。无论何时，若这一对剧毒的双生花开始在那片干涸的土地上生长出来，她就会将它们连根拔除。,悔恨,卡勒德·胡赛尼,《灿烂千阳》
17,她躲在自己心灵的一个遥远角落，独自度过了这些岁月。那儿是一片干旱贫瘠的土地，没有希望，也没有哀伤；没有梦想，也没有幻灭。那儿无所谓未来。那儿的过去只留下这个教训：爱是使人遍体鳞伤的错误，而它的帮凶，希望，则是令人悔恨莫及的幻想,悔恨,卡勒德·胡赛尼,《灿烂千阳》
18,她躲在自己心灵的一个遥远角落，独自度过了这些岁月。那儿是一片贫瘠的土地，没有希望，也没有哀伤；没有梦想，也没有幻灭。那儿无所谓未来。那儿的过去只留下这个教训：爱是使人遍体鳞伤的错误，而它的帮凶希望，则是令人悔恨莫及的幻想。无论什么时候，若这一对剧毒的两生花开始在那片干涸的土地上生长出来，玛丽雅姆就会将它们连根拔除。她把它们拔起来，还没拿稳就赶紧将其掩埋。,悔恨,卡勒德·胡赛尼,《灿烂千阳》
19,好事来的时候我们没有察觉，好事在的时候我们没有看见，等好事走了我们才发觉它不在了。,悔恨,若泽·萨拉马戈,《修道院纪事》
20,满目山河空念远，不如怜取眼前人。,悔恨,夏七夕,《后来我们都哭了II·废墟》
21,我以有用之身，做无用之事。确实不对。只是当时气愤难平，蛮劲发作，未顾及后果。,悔恨,金庸,《天龙八部》
22,在这样的年龄，生活还没有撞疼我们，责任感和悔恨也还都不敢损伤我们，那时我们还敢于看，敢于听，敢于笑，敢于惊讶，也敢于做梦。,悔恨,托马斯·曼,《布登勃洛克一家》
23,悔恨会磨平我们灵魂中的棱角。,悔恨,佚名,《英雄联盟》
24,我真想亲切的，甚至友爱地试着向他解释清楚，我从来不会对某件事情感到真正悔恨。我总是为将要发生的事，为今天或明天操心。,悔恨,阿尔贝·加缪,《局外人》
25,诗人总是写自己的生活。最好的作品都是悲剧，无论是悔恨，绝望或孤独。,悔恨,叶芝,《叶芝诗选》
26,虽经过千辛万苦，我却并不悔恨，请把我的剑交给继承者，把我的勇敢与技能交给合格的人……我身上的伤痕我自己带去，可以作为我的凭据，我曾经为我主尽力杀过敌”。,悔恨,约翰·班扬,《天路历程》
27,正在进入那个不安的黄昏时期，这是一个悔恨类似希望，希望类似悔恨的时期，这时候青春已经逝去，而老年尚未降临。,悔恨,屠格涅夫,《父与子》
28,在生命里，我们几乎每时每刻都在犯错。,悔恨,席慕蓉,《席慕蓉散文集》
29,愚蠢，罪孽，吝啬，过失，占据我们的心神折磨我们的肉身，而我们供养我们怡人的悔恨，如同乞丐喂养他们的虱子。,悔恨,波德莱尔,《恶之花》
30,第一，不要相信被俘者的许诺；第二，保住你所拥有的；第三，不要为永远失去的东西而悔恨不已。,悔恨,伊索,《伊索寓言》
31,我只求一个同伴，你答应过做我永久的同伴，我不该放松你！我后悔啊！,悔恨,曹禺,《雷雨》
32,尽将千古圣人心，付与三尺梧桐木。,悔恨,许仲琳,《封神演义》
33,月轮已隐入山边了吧，源氏望着那幽暗动人的天空，时而埋怨对方，时而责备自己。,悔恨,紫式部,《源氏物语》
34,浸身恨水我心湿，何苦当初悔已迟。,悔恨,紫式部,《源氏物语》
35,忽然意识到，穿上多少件长礼服自己永远也不会成为男子汉，于是他想逃走，想换一个新名字。,悔恨,亨利·米勒,《北回归线》
36,巴黎像个婊子，在远处看她非常迷人，叫你迫不及待地想把她搂到怀里。可是过了五分钟后你便觉得空虚，你厌恶自己，觉得自己受骗了。,悔恨,亨利·米勒,《北回归线》
37,我们一定是前世作孽过多，再不就是来生将享尽荣华，所以上帝才会使我们这一生历尽赎罪和磨练的煎熬。,悔恨,小仲马,《茶花女》
38,人有时候就是这么贱，总想着回头回头再回头，像是回头，再看一下就会有奇迹发生。可是事情已经是那样的，该尝试的已经尝试过，该发生的已经成为过去，这个结果你不喜欢，可是你只有接受，多看一眼又有什么用呢？相信你自己的眼睛，你不可能骗自己到死。,悔恨,江南,《上海堡垒》
39,是那个女孩的凝视！是她！她在看我！她被我掩埋在记忆深处的面容忽然变得那么清晰，仿佛回到初见的瞬间，我们如相逢在一条存身巷中，我避不开她的脸，我只能目不转睛地看着她，我无路可逃！,悔恨,江南,《上海堡垒》
40,人最痛苦的情绪是悔恨，你后悔你做错了事，你恨的不是别人而是自己，你连报复都做不到。,悔恨,江南,《龙族IV·奥丁之渊》
