,text,tag,author,from_book
0,像那种掏心挖肺的感情一辈子可能只有一次，再也不会有第二次了！,悲伤,刘惠宁,
1,知己即去，何若玉碎。,悲伤,Priest,《山河令》
2,说过不会再流泪，为什么，那热滚滚的液体，仍从眼眶中淌落，流经颤抖的唇，带来咸湿的感觉，心中的酸痛，是自己的心，在流泪！,悲伤,何马,《藏地密码》
3,雨打在她身上，又冷又痛 她却没有一点要躲雨的意思，冰冷的雨水顺着她的头发，流过脸颊，混合脸上的泪，再流进脖子里。,悲伤,玄色,《哑舍》
4,他每天都点燃无数根香烛，看着这无数根香烛静静的燃烧。熄灭，却独独没有他那一根。,悲伤,玄色,《哑舍》
5,你那些所谓的倒霉事，在我看来只不过是一些轻烟轻雾，只要风这样子轻轻一吹，就全部吹散了。,悲伤,琼瑶,《一帘幽梦》
6,我懂你的意思了。现在心情好多了，谢谢你带我逃出那个宴会！谢谢你带我来看灯海！谢谢你说故事给我听！并且这么委婉的开导我。,悲伤,琼瑶,《一帘幽梦》
7,心至伤时难落泪，恶既深测犹天真,悲伤,愤怒的香蕉,《赘婿》
8,我和她之间的故事，就如同生命本身一样，永无止境。于是，这个故事也就不知不觉地开始凭借自己的力量生长，自由地铺陈开来，不再依靠我的意志。它甚至有了自己明确的目标，将容易在某处停滞不前的我抛下，兀自奔向病魔缠身的女主人公悲惨的离世这一结局。——这个姑娘预见到自己的生命即将走到尽头，她竭尽自己不断流失的力量，想要开心地活下去、有尊严地活下去——她在恋人的怀抱中，只悲伤着生者的悲伤，却无比幸福地走...,悲伤,宫崎骏,《起风了》
9,我既没有超乎常人的幸福，也并非不幸。那些与幸福有关的各种话题，曾令我们那样地焦虑不安；可现在我想忘掉它们，也随时都能忘得一干二净。我反倒觉得，最近这段日子里的自己更接近所谓的幸福。嗨，硬要说的话，最近我的心离幸福很近，只是比幸福多了一点点悲伤—话虽这么说，可这并不代表我一点都不快乐……现如今我之所以每一天都过的旁若无人，可能与我一直以来尽可能避免与世人交流、坚持一个人独来独往有关。,悲伤,堀辰雄,《起风了》
10,我经常在深夜里突然惊醒过来，没有缘由地睁大双眼，警惕地盯着一无所有的黑暗，感觉到自己像是往一条没有尽头的黑色隧道里慢慢下滑。,悲伤,独木舟,《一粒红尘》
11,好素好平凡的女子，如一张陈旧的床单，已洗得褪色而光滑，纤维深处浸透着一个家的独有气味，日日夜夜，那气息都铺开在固定位置，等你归来。,悲伤,七堇年,《尘曲》
12,窗外是日落西山，残阳赭红……如同你失血浸透了西天。好静，什么时候变得这么静，我以为你死了。,悲伤,七堇年,《尘曲》
13,你也是知道，这个世界可以有多冷。冷到你收到一个人的短信，看到对方这样对自己说起——“昨夜做梦并肩与你静默着走了一段清晨的路。醒来后觉得十分安心”——心底便温如春熙，似乎觉得有泪在即。,悲伤,七堇年,《尘曲》
14,至杰已不爱，而我不相信，岛屿南北，奔波求证。渐渐，冀望于背叛者的良心，但良心竟比水中之月可捞拾。,悲伤,七堇年,《尘曲》
15,我只是有点替你可惜，你没我了。你真的没我的。,悲伤,七堇年,《尘曲》
16,而今眷恋生世，朝朝夕夕孑然又繁华，有几滴好酒般的故人之谊，有几曲骊歌般的殷切思恋，来人照我笑靥，去者不引我悲痛。,悲伤,七堇年,《尘曲》
17,在秋日的山林间，在远镇的灯光里，安然忍受毫无指望的等待。要在惨烈如葬的七月骄阳下走马，要在旷地上迎着大风歌唱和舞蹈，把生命的模样勾勒得兴高采烈。,悲伤,七堇年,《尘曲》
18,总有那么一些时年。怀揣着急切渴望被他人认真检阅的悲伤和激情，对路途抱有过分的单纯和过分执拗的回忆。,悲伤,七堇年,《尘曲》
19,我不是因为悲伤才哭泣的，是因为风吹的，因为眼睛酸。,悲伤,文熙贞,《想你》
20,她把他当人来对待，在这片荒原上，这可是很稀罕的事情。灵魂们都沉浸在自己消亡的悲伤中，甚至不曾想过他们的向导也是人。,悲伤,克莱儿·麦克福尔,《摆渡人》
21,他把她当人来看待，在这片荒原上，这可是很稀罕的事情。灵魂都沉浸在自己消亡的悲伤中，甚至不曾想过他们的向导也是人。她是个值得他保护的、值得他关怀的灵魂。他愿意为了这个灵魂献出身体的一部分。,悲伤,克莱儿·麦克福尔,《摆渡人》
22,迪伦，你不是事故中的唯一幸存者。你是唯一一个没有逃出来的人。,悲伤,克莱儿·麦克福尔,《摆渡人》
23,我在你身后哭,悲伤,白槿湖,《如果巴黎不快乐》
24,你见过一个穿着高跟鞋的女子在马路上飞奔吗？那样的女子，大概是在爱中受了伤害的。,悲伤,白槿湖,《如果巴黎不快乐》
25,一地荼蘼两相忘。,悲伤,白槿湖,《如果巴黎不快乐》
