,text,tag,author,from_book
0,祝自己继续困惑，继续不知死之将至。,悲哀,冯唐,《活着活着就老了》
1,我是不想要我的小孩生出来要面对这个众生皆有病的社会。,悲哀,林君阳,《我们与恶的距离》
2,很多人都会因为高兴，喝多的时候，但是酒醒了，却不一定笑得出来。,悲哀,刘惠宁,
3,原来打胎是件那么幸福的事！,悲哀,刘惠宁,
4,深圳真是一个神奇的地方，这么小个玩意，都知道拿身份证来挣钱，你说咱们仨，怎么就活得这么惨。,悲哀,刘惠宁,
5,我把一切都计划好了，可就是没想到，你根本就不在我的计划里。,悲哀,刘惠宁,
6,如果你爱他，送他去深圳，他可能会发财；如果你不爱他，送他去深圳，他肯定会背叛。,悲哀,刘惠宁,
7,烈酒麻醉的只是神经，不是精神；生活只能起到调节的作用，而不能解决，当困难超过了能承受的极限，人的意志，就会崩溃。,悲哀,何马,《藏地密码》
8,我以为已经握住了幸福，可是一转眼却发现手心空无一物。,悲哀,玄色,《哑舍》
9,他宁愿当个闲散的太上皇，搬离这囚禁他前半生的皇宫，外面天高云阔。他又何必纠结于本就不属于他的东西呢?人从爱欲生忧，从忧生怖，若离于爱，何优何怖？,悲哀,玄色,《哑舍》
10,罢了，千百年都这样熬过来了，没成想竟被越王剑误伤了金缕玉衣。,悲哀,玄色,《哑舍》
11,哑舍里的古物，每一件都有着自己的故事，承载了许多年，无人倾听。因为，它们都不会说话.......,悲哀,玄色,《哑舍》
12,它上知天文下知地理，通晓过去和未来，怎么就算不到它自己悲惨的结局呢？,悲哀,玄色,《哑舍》
13,他永远只是个替身，永远是个人偶，永远是个戏子，演一场只有一个人所能看到的戏。,悲哀,玄色,《哑舍》
14,他只能扮演她深爱的那个人的一言一行，一举一动，却永远也演不来那个人的心。,悲哀,玄色,《哑舍》
15,天使一定要从地狱里诞生，要杀死恶魔，就必须成为恶魔，要成为比他们更强大更残忍的恶魔。,悲哀,雷米,《心理罪》
16,前方总是未知，而背后又总是不堪回首。,悲哀,雷米,《心理罪》
17,再见，再相见。,悲哀,辰东,《遮天》
18,一股冰寒刺骨的冷意一息间弥漫天上地下，冻结了永恒。,悲哀,辰东,《遮天》
19,你在星空的一头，我在星空的另一头。相隔很远，这很远代表着永恒，永远不能相见。,悲哀,辰东,《遮天》
20,没有久别重逢后的喜悦，有的只是平淡如水，甚至有些云淡风轻的味道。,悲哀,辰东,《遮天》
21,拈花一笑的风情，十世、百世后的相见，佛说的有缘，是回眸的一瞬间，还是无尽的遥远？,悲哀,辰东,《遮天》
22,还是原来的那座城市，还是原来的那些人，但是再次相聚后众人的的心境却大不相同。,悲哀,辰东,《遮天》
23,我和我追逐的梦擦肩而过，永远也不能重逢。,悲哀,饶晓志,《人潮汹涌》
24,喜乐和哀愁今生不能由我，任风带我停停走走。,悲哀,饶晓志,《人潮汹涌》
25,自古人生伤离别，一个现代人是体会不到古人的悲哀，一次分别很有可能是永诀。,悲哀,李蔚然,《侍神令》
26,紫川宁认真地说：“如果是为了你，我能够放弃我家族继承人的地位。” 紫川秀轻轻摇头：“我却不能。”,悲哀,老猪,《紫川》
27,以野蛮征服文明，以暴力战胜文明，这是历史的倒退，全人类的悲哀。,悲哀,老猪,《紫川》
28,用尽我生平掌握的所有词汇，也没法准确地形容出那种笑，是悲哀到了极致的笑，是哀莫大于心死的笑，是我欠你的都还给你，从今往后生死两讫的笑。,悲哀,独木舟,《一粒红尘》
29,而后漫长的一生中我再也没有机会与我失去的事物重逢。,悲哀,独木舟,《一粒红尘》
30,但我臆想中的那一切都没有发生，在餐厅暖黄色的灯光下，我慢慢地吃着那碗逐渐变冷的即食面，影子投射在墙上。,悲哀,独木舟,《一粒红尘》
31,我跟你的情况不一样，我不为自己打算，这个世界上不会有人为我打算。,悲哀,独木舟,《一粒红尘》
32,死的仅仅是我的日记，它赫然折断在送你回茅屋的第一夜，再没写过。那夜之前的一切自语自怜或者表意抒情，在后来发生的事情面前，显得多么无力与可笑。,悲哀,七堇年,《尘曲》
33,可是就像谁也不知道自己的运气会好还是不好那样，他沉溺于赌桌前身心紧绷的刺激当中，对于即将到来的教训一无所知，或者熟视无睹。,悲哀,七堇年,《尘曲》
34,彼时入夜已深，停车熄火，爸打开一点儿窗缝抽烟，雨声顿时真实了。雨刷一停，滂沱雨水如渔网般一层层地铺开在挡风玻璃上，带着华灯流光呈菱形流淌下来，很是迷离——我更迷离——同他一起静坐犹如落入枯井等待求助。,悲哀,七堇年,《尘曲》
35,我的生活陡然换了天地，顺其自然地又照顾起妻儿来，老好人的样子，然而我的善良是由于无可选择。,悲哀,七堇年,《尘曲》
36,钱的作用，能够让人免去这样的遗憾。但是我反过来想，一个人最悲哀的，莫过于无所不能得到吧，如同年老体衰失去味觉，面对一大桌山珍佳肴无动于衷。,悲哀,七堇年,《尘曲》
