,text,tag,author,from_book
0,世人皆负我，举世皆可杀。,悲壮,Priest,《山河令》
1,阿宁，将来，你也会有这么一天，像卡丹一样嫁为人妇吗？那时候，你心里牵挂的，究竟是谁呢？别了，我爱的姑娘。别了，我爱的姑娘。我们来生再见了。,悲壮,老猪,《紫川》
2,报效祖国有多样的方式。这些人在这里辛苦劳作，奉献了青春年华和幸福生活，几十年如一日地与世隔绝，抛妻弃子。比起战场上慷慨杀敌，这同样是一种牺牲，一种默默无声但却同样悲壮的牺牲。,悲壮,老猪,《紫川》
3,故事里杀生罪无可恕，杀妖七级浮屠。,悲壮,,
4,故事里杀声罪无可恕，杀妖七级浮屠。,悲壮,,
5,可是一句“我愿意”，永远包含着或幸福或悲壮的勇气。,悲壮,李木戈,《暗恋橘生淮南》
6,一朝马死黄金尽，亲者如同陌路人。,悲壮,兰陵笑笑生,《金瓶梅》
7,恨天夺我一万年！,悲壮,辰东,《神墓》
8,黄小仙儿：我知道，世上的某处，一定正在进行着更悲壮的生离死别，但是，此刻的我，一个人，四处皆是回忆，因而处处都在凌迟我，这样的极刑，更可怕。,悲壮,鲍鲸鲸,《失恋33天》
9,出师未捷身先死，长使英雄泪满襟。,悲壮,杜甫,《杜工部集》
10,把自己变成野兽的人彻底摆摊了做人的痛苦。,悲壮,塞缪尔·约翰逊,《诗人传》
11,人类在永恒的斗争中壮大，在永恒的和平中毁灭。,悲壮,希特勒,《我的奋斗》
12,苍山如海，残阳如血！,悲壮,毛泽东,《毛泽东选集》
13,昨日青丝，冢间红骨。,悲壮,江南,《九州·缥缈录》
14,大凡新命之诞生，新运之创造，必经一番苦痛为之代价。,悲壮,李大钊,《佚名》
15,模糊的灯光,悲壮,金恩淑,《孤单又灿烂的神-鬼怪》
16,男人不用选择死的地方，但应当选择怎样死。,悲壮,若泽·萨拉马戈,《修道院纪事》
17,“这些孩子，个个都是爹娘生的”,悲壮,管虎,《八佰》
18,山河破碎，男儿许国。,悲壮,管虎,《八佰》
19,“若国人皆如此，倭寇何敢”,悲壮,管虎,《八佰》
20,在爱的极致一起死去。一起死去的话，爱的纽带就再也不会松懈了。,悲壮,渡边淳一,《失乐园》
21,从母狼心底深处发出的、天下最深痛的母性哀歌，呜呜咽咽，悲凉凄婉，穿透悠远的岁月，震盪在荒凉古老的原始草原上。,悲壮,姜戎,《狼图腾》
22,泪不会浇灭火，但是却能使洪水更大。,悲壮,高尔基,《在人间》
