,text,tag,author,from_book
0,挣不脱过去，怕极了以后，像个幽灵一样，徘徊在无尽的黑暗里。,悲观,雷米,《心理罪》
1,乐观地设想、悲观地计划、愉快地执行。,悲观,稻盛和夫,《活法》
2,“成为一个比降临人世之初更好的人”。 乐观地设想、悲观地计划、愉快地执行. 1） 人生公式 = 思想观念 * 个人能力 * 努力程度 2） 人生经纬线 = 命运 + 因果循环,悲观,稻盛和夫,《活法》
3,只有将死之人眼中才觉得自然很美，觉得自然真的很美。刚才的美景让我不由得也有了这样的感受。,悲观,堀辰雄,《起风了》
4,我经常站在那些仿佛一夜之间拔地而起的高楼大厦的阴影里，凝望着这座城市越来越陌生的轮廓，有时我会觉得紧张，也会害怕，那是一种莫名的疏离感，虽然我不知道具体是因为什么。后来我想，或许是因为我能够掌控的东西实在太少，太少了。,悲观,独木舟,《一粒红尘》
5,外面灯火通明，室内无边无际无形的黑暗包裹着我，很快我就成为黑暗的一部分——我就成了黑暗本身。没有人知道我在干什么，没有人找我，一切喧嚣都以光速远离我，整个世界都清静了。谁知道以后还会发生什么?,悲观,独木舟,《一粒红尘》
6,把夜空中澎湃的焰火，想象成一场自我的葬礼，癫狂，战栗，窃喜，哀鸣……,悲观,七堇年,《尘曲》
7,最厉害靠谱的回血导师9595087_等我熬过这段时间，我来娶你！,悲观,,
8,不朽就是朽，不死就是死不死也可以死去，这是已经发生并继续还在发生的事实。,悲观,杜拉斯,《情人》
9,每朵云都下落不明，每盏月亮都不知所终。,悲观,李木戈,《暗恋橘生淮南》
10,世态炎凉，一腔怨恨平摊到世间众人的头上，每个人得到的责问都轻得不如一声叹息。,悲观,李木戈,《暗恋橘生淮南》
11,执子之手太容易，与子偕老又太艰难。那么多人随意说着这八个字，终是只做到了前面四个字。,悲观,白槿湖,《如果巴黎不快乐Ⅲ》
12,所以如果一个人充满了快乐、正面的思想，那么好的人、事、物都会和他起共鸣，而且会被他吸过来。同样的，如果一个人老带着悲观、愤世嫉俗的思想频率，那么难怪这个人常有倒霉的事发生在他身上了。,悲观,张德芬,《遇见未知的自己》
13,我徒然学会了抗拒热闹，却还来不及透悟真正的冷清。,悲观,张大春,《四喜忧国》
14,哪怕是恩同骨肉，哪怕是亲如兄弟，也无法把握那薄薄一层皮囊之下，藏的是怎样的一个心肠。,悲观,海宴,《琅琊榜》
15,一声喟叹之后，谁知，又是多少的此去经年。,悲观,田维,《花田半亩》
16,而我，只有疾病，没有爱情。,悲观,田维,《花田半亩》
17,悲观也没用。谁都想生在好人家，可无法选择父母。发给你什么样的牌，你就只能尽量打好它。,悲观,东野圭吾,《时生》
18,我每个月的工资很少，它根本没办法让我在上海这样的地方生存下去。,悲观,阿耐,《欢乐颂》
19,童话里王子永远只爱公主一个人，那是童话，要保留纯净。现实是，公主和王子都已经慢慢长大，人和人之间会渐行渐远。城堡已经凋敝，粉红的玫瑰早就开始败色。,悲观,梦入神机,《阳神》
20,君子不信命。天行健，君子以自强不息。若有命运，那自强不息，又有何用？,悲观,梦入神机,《阳神》
21,求长生，羡不死，可有谁知，生死相依，转瞬互换，苦求一生，也许刹那逆转。天堂地狱一线间，这世间何为道？何为魔？又有哪人真能知，又有哪人真能晓？,悲观,辰东,《神墓》
22,朋友们，在你最悲观最失望的时候，那正是你必须鼓起坚强的信心的时候。你要深信：天下没有白费的努力。成功不必在我，而功力必不唐捐。,悲观,胡适,《胡适文存》
23,即使景再好，情再深，呼朋唤友或树仇立敌，再怎么投入，若注定无福消受，所谓良辰美景也不过是一场镜花水影。,悲观,安宁,《温暖的弦》
24,不管怎样，在那遥远的过往，曾有一个小女孩，为了一只猫咪顽强抗争到底，终于为自己赢得了一位日夜相伴的贴心伙伴，但到了最后，她终究还是失去了他。,悲观,多丽丝·莱辛,《特别的猫》
25,他坚信人的存在是彻头彻尾的荒谬，有钱有势绝对不是什么好事。,悲观,萨特,《存在与虚无》
26,人是被判了自由这样一种徒刑。,悲观,萨特,《存在与虚无》
27,我只是存在着，仅此而已，而且我觉得恶心。,悲观,萨特,《存在与虚无》
