,text,tag,author,from_book
0,于是，谢谢你容忍过我那些，野心很大却力不从心的时年。,感恩,七堇年,《尘曲》
1,感恩是一个社会必备的要素，因为即便在没有经济和法律义务的约束时，它也能激发帮助行为在社会各方之间互惠发生。,感恩,亚当·斯密,《国富论》
2,当日本人说“我受某人之恩”时，意思实际是说“我对某人负有很多义务”，因而他们把这位债主、行善的人称做“恩人”。,感恩,鲁思·本尼迪克特,《菊与刀》
3,谁言寸草心，报得三春晖。,感恩,孟郊,《孟东野诗集》
4,小人专望受人恩，受过辄忘；君子不轻受人恩，受则必报。,感恩,金缨,《格言联璧》
5,施必有报者，天地之定理，仁人述之以劝人。施不望报者，圣贤之盛心，君子存之以济世。,感恩,金缨,《格言联璧》
6,生活中所经历的一切，无论好坏，都要怀着一颗感恩的心去面对。因为最终，它们将会让你越变得越来越好。,感恩,王凯,《佚名》
7,非常感谢这个美好的时代，让我拥有这么好的机会站到绚丽的舞台上尽情歌唱。我是个幸运儿，现在只想唱好每一首歌曲，来表达对时代的感恩。,感恩,阿鲁阿卓,《佚名》
8,如果你要当懒猪，就要学会感恩,感恩,,
9,在这个世界上善有善报，只要有机会，我会报答您的。,感恩,卡洛·科洛迪,《木偶奇遇记》
10,大地恩赐我们健康的体质与诗画般的境界，还供给我们去穷无尽的财富。我们是必须要酷爱土地的，大地经常以百来偿一，精神是何其伟大啊！,感恩,亚米契斯,《爱的教育》
11,在遇到梦中人之前，上天也许会安排我们先遇到别的人;在我们终于遇见心仪的人时，便应当心存感激。,感恩,狄更斯,《双城记》
