,text,tag,author,from_book
0,成年的黑人，从小受逆来顺受的教育，由于多少年没有别的办法，只能接受这个制度，他们一般都趋于内向，本来应该理直气壮地感到愤怒，却为绝望的心情所代替。当101空降师在阿肯色去的胜利是，如有一个美国黑人感到欢欣鼓舞，就至少有几十个黑人因此而担心——完全情有可原——这将引起白人的愤怒。他们读到有关贾奇·阿伦时间的报道，因此知道，要不是上帝慈悲为怀，他们也会遭到阿伦的下场。但是，他们的子女一代的反应就不同了。发生在蒙哥马利地址公共汽车的斗争和最高法院宣告种族歧视非法的决定之后，阿肯色中心中学的对抗增强了他们的希望，使他们感到过去的陈规陋习可能会打破了。正是在这个意义上，在1957年的秋天，小石城时间在一些黑人青少年的心中留下了深刻的印象。,慈悲,威廉·曼彻斯特,《光荣与梦想》
1,为着她的缘故，我会尽量不让你送命。说起来只有笨蛋才会这么做，但我就是没法拒绝你老婆的任何请求。,慈悲,乔治·马丁,《权力的游戏》
2,在这片土地上，没有任何土司会把希望寄托在别人发慈悲上。只有可怜的百姓，才会有如此天真的想法。,慈悲,阿来,《尘埃落定》
3,世事正如两分，有阴便有阳。有善便有恶，有仁义，便有伪诈。你教标榜慈悲，要灭尽大恶大魔一般，实乃妄谈。也正如阴阳消长，吾只知阴盛阳衰，或是阳胜阴衰。不曾闻得阴胜阳灭，阳胜阴灭之说。立大仁义，必有大伪诈。立大慈悲，必有大魔。,慈悲,梦入神机,《佛本是道》
4,生命中沉重的背弃，救赎，认知，皈依，,慈悲,雪小禅,《那莲那禅那光阴》
5,把自己活成一朵残荷，不为懂得，只为慈悲。,慈悲,雪小禅,《那莲那禅那光阴》
6,那些在语文与艺术上久已受到这种陶冶的人们，他们又有几个知道自己应该成为世上其余的人们实行节制、仁爱、谦逊、慈悲、严肃、忍耐与克制的榜样呢！,慈悲,夸美纽斯,《大教学论》
7,但是，如果认为朱德不会由于“革命需要”而下枪决的命令，那就不免过于天真了。要完成他的任务，他必须完全忠于贫苦无依的人，在这个地位上，他不可能比他要授予权力和服从的群众更加慈悲。,慈悲,埃德加·斯诺,《红星照耀中国》
8,在我的姨妈病重不起的最后十五天中，弗朗索瓦丝日夜守护在她的身边，她不脱衣睡觉，也不让任何人去帮忙照料，直到姨妈下葬，她才与她分手。原来姨妈对弗朗索瓦丝疾言厉色，怀疑她居心叵测，对她常发脾气，使弗朗索瓦丝成天提心吊胆，过去我们以为她对姨妈一定暗怀恨心，此刻我们才知道，她怕姨妈其实是敬畏，是爱慕。那是她的真正的女主人，她在世时，尽打让人无法预料的主意，施让人难以抵挡的花招，但她天生的慈悲心肠，容易动情。如今，这样的女王，这样神秘莫测、至高无上的君主离开了人世，同她相比，我们在弗朗索瓦丝的心目中太渺小了。,慈悲,马赛尔·普鲁斯特,《追忆似水年华》
9,“侨文达，我感觉爱是世上最重要的。研究这个世界，解释它或是鄙弃它，对于大思想家或许很重要；但我以为唯一重要的就是去爱这个世界，而不是去鄙弃它。我们不应彼此仇视，而应以爱、赞美与尊重来善待世界，善待我们自身以及一切生命。”,慈悲,赫尔曼·黑塞,《悉达多》
10,神说：,慈悲,金恩淑,《孤单又灿烂的神-鬼怪》
11,慈悲，这是个无情的陷阱，给得太多他们说你软弱无能，给得太少你便成了残暴野兽。,慈悲,乔治·马丁,《冰与火之歌》
12,佛法在求渡世，武功在求杀生，两者背道而驰，相互克制。只有佛法越高，慈悲之念越盛，武功绝技方能练得越多，但修为上到了如此境界的高僧，却又不屑去多学诸般厉害的杀人法门了。,慈悲,金庸,《天龙八部》
13,不争是慈悲，不闻是智慧。,慈悲,《开讲啦》,
14,慈悲是人类的奢侈之举，但也是责任所在,慈悲,佚名,《英雄联盟》
15,我可不要脸上沾口红，你若要吻我，就吻我的嘴，这是慈悲的上苍指定的地方。,慈悲,毛姆,《刀锋》
16,师父说，真心喜欢过的人，是没办法退回去做朋友的，相忘于江湖，大概是对彼此，最大的温柔和慈悲，所以这段路只能陪她走到这了，即使当初，你是真的打算为他赴汤蹈火，如今也没了资格，所以不如两清，做回甲乙丙丁,慈悲,佚名,《一禅小和尚》
17,单纯的分享和给予。把美递送给他，而不是托付给他。,慈悲,安妮宝贝,《眠空》
18,虽然又阻止了一次悬案的发生，但有一样东西是止不住的，那就是从这个心地善良的侦探眼里流出的一滴滴眼泪。,慈悲,青山刚昌,《名侦探柯南》
19,人世间的这些悲剧却往往又是在维护某种道德规范的冠冕堂皇的理由下造成的。,慈悲,小仲马,《茶花女》
20,有种孤独的人啊，希望别人能幸福，因为看到幸福的人，他也略微觉得温暖。,慈悲,江南,《龙族3·黑月之潮》
21,他们的白发会从日出垂到日暮，他们的泪水会使太平洋为之涨潮。,慈悲,毕淑敏,《恰到好处的幸福》
22,慈悲是一种冷静的热情。,慈悲,张方宇,《单独中的洞见2》
