,text,tag,author,from_book
0,我周围的所见所闻，无一不在向我诉说着这生活的果实已经成熟，并催促着我尽早采撷——这让我很是喜欢。,成熟,堀辰雄,《起风了》
1,也许一个人要走很长的路，经历过生命中无数突如其来的繁华和苍凉才会变得成熟。,成熟,七堇年,《尘曲》
2,懂事的孩子只是不会无理取闹而已，,成熟,李祐汀,《请回答1988》
3,成熟的母爱是放手，爱更是一种能力，更是让你爱的人爱你。,成熟,王海鸰,《中国式离婚》
4,即使再见面，也不过是成熟的表演。,成熟,白槿湖,《如果巴黎不快乐》
5,十八岁的生日对于一个男的没什么，因为一个男人需要一辈子去成熟。,成熟,李潇,《好先生》
6,成熟就是在表达自己的情感和信念的同时又能体谅他人的想法和感受的能力...如果我足够成熟，我就会乐于聆听，善于沟通并勇于面对。,成熟,史蒂芬·柯维,《高效能人士的七个习惯》
7,成熟，这是敢作敢为与善解人意之间的一种平衡状态。成熟就是在表达自己的情感和信念的同时又能体谅他人的想法和感受的能力。,成熟,史蒂芬·柯维,
8,行星上的智慧生物当他开始思索自身存在的道理时，他才算成熟。,成熟,理查德·道金斯,《自私的基因》
9,了解是欣赏的预备，欣赏是了解的成熟。,成熟,朱光潜,《谈美》
10,如孟云在电影一开始介绍罗茜时候说的，她永远是更成熟的一个。孟云在她面前始终是幼稚的那一个，而罗茜的包容并不能让孟云爱上他。孟云配不上罗茜，就像《东京爱情故事》里丸子配不上莉香。而当孟云配得上罗茜，丸子配得上莉香的时候，他们各自都走上了不同的人生轨迹。九把刀在《那些年》里说，成长最残酷的事情，就是女孩儿永远比男孩儿早成熟一点。,成熟,田羽生,《前任攻略》
11,痛苦啊，往往是人走向成熟的最好课程。是的，许多原来含糊不清的东西，今夜他似乎豁然开朗。,成熟,路遥,《人生》
12,每一种创伤，都是一种成熟。因为你痛苦，就说明你对生活还抱有希望。,成熟,路遥,《人生》
13,命运总是不如愿。但往往是在无数的痛苦中，在重重的矛盾和艰难中，才使人成熟起来，坚强起来；虽然这些东西在实际感受中给人带来的并不都是欢乐。,成熟,路遥,《人生》
14,终于被年轮赶到了成熟边缘，自己的人生，从此以后，不得不一个人走。,成熟,安宁,《温暖的弦》
15,一个人成熟的标志，是懂得追随自己的内心。,成熟,胡歌,《佚名》
16,青年的敏感和独创精神，一经与成熟科学家丰富的知识和经验相结合，就能相得益彰。,成熟,贝弗里奇,《科学研究的艺术》
17,男人在精神上越成熟，就越赏识女人的美，崇拜她的美。,成熟,车尔尼雪夫斯基,《佚名》
18,如果谁专心一致追逐欢乐，只为我向而只把觉破坏了适意的生便如开然对；如果只为我向而伺机把欢乐摘取，只为我向而便如开真才只出永并阮生便如开然对在晨曦别便样把别便样。如果在时机成熟前强趁时机，你用年疑真才只出洒下悔恨的泪滴；年地会如你一旦把成熟的时机错过，用年尽的痛苦真才只出使你终再并作哭泣。,成熟,威廉·布莱克,《布莱克诗选》
19,真理是一个必须成熟以后才能摘下来的果实。,成熟,伏尔泰,《佚名》
20,他迫切地希望离开，独自去某个安静的地方，在那儿他可以把那充沛汹涌的精力倾注到他的本行工作上。他仅仅需要一个炽热的太阳，促使他成熟结果。,成熟,欧文·斯通,《渴望生活·梵高传》
21,“我们年轻时所读的东西，往往价值不大，这是因为我们没有耐心、精神不能集中、缺乏阅读技能，或因为我们缺乏人生经验。”所以，一个人的成年生活应有一段时间用于重新发现青少年时代读过的最重要作品，“当我们在成熟时期重读经典，我们就会重新发现那些现已构成我们内部机制的一部分恒定事物，尽管我们已回忆不起它们从哪里来”。,成熟,吴晓波,《把生命浪费在美好的事物上》
22,广告没有永恒的成功。,成熟,李奥贝纳,《佚名》
23,【每日正能量】1、年轻人啊，当你懂得尊敬父母和亲朋的时候，当你习惯用“好”字交流的时候，说明你的爱心已经回归，你的社会交际已经日渐成熟，你的朋友也会愈来愈多。一个人一旦爱心回归，知道与人友好相处，自信心就会慢慢提升，生活也会蒸蒸日上。,成熟,,
24,有天资的人，当他们工作得最少的时候，实际上是他们工作得最多的时候。因为他们是在构思，并把想法酝酿成熟，这些想法随后就通过他们的手表达出来。,成熟,《佚名》,
25,临床中，要战胜医学的不确定性，信心与技巧都是从实践中习得的，但这都必须以活生生的病人作为训练对象，但谁又愿意把自己作为新手的练习对象呢？如果谁都不愿意做此让步，那么，成熟的医生如何出位呢？,成熟,阿图·葛文德,《最好的告别》
26,生命的花儿开得娇艳，纯属生长的一种过程，是成熟的自然表现。而绝不是为了炫耀，或是讨好某些人。,成熟,,
27,我们都改变不了酷爱自由的本色，喜欢在阳光下奔跑，喜欢在月色中徜徉，喜欢那无边无际的大海，人生若梦，谁又能为谁改变些什么？经年过往，漂泊的是脚步，成熟的却是心灵。,成熟,杨烁,《佚名》
28,年轻的时候，当你一开始得到太容易了，你觉得那是我努力的结果，只有回头了，当你更成熟了以后，你发现实际上是很多人托着你的。,成熟,陆毅,《佚名》
29,如果相信细水长流 你就输得彻底 错得透彻,成熟,,
30,在这些人里面，虽然鲁阿的二哥一色一样的在拼命帮忙着家事，它是他的步伐、举止、气度和大方，竟似一个王子似的出众抢眼，谈话有礼温和，反应极快，破旧的制服，罩不住他自然发散着的光芒，眼神专注尖锐，几乎令人不敢正视，成熟的脸孔竟是沙哈拉威人里从来没有见过的英俊脱俗。,成熟,三毛,《哭泣的骆驼》
31,计谋就像水果，需要时间酝酿才能成熟。,成熟,乔治·马丁,《冰与火之歌》
32,人生成熟的显著标志就是：学会了做人，学会了做事；学会了适应环境，学会了创造快乐！,成熟,,
33,岁月的风霜已消去了他们性情中所有的刚硬和火热，只剩下如水的柔和。,成熟,刘慈欣,《三体》
34,其实，你到了我这个年纪，就会发现当年以为天要塌下来的那些大事，其实没有什么的,成熟,刘慈欣,《三体》
35,最先感知到三十岁的，也许不是我们的而身体，也不是精神，而是物质。比起情感的不安，物质的困顿才时时刻刻勒着你的脖子。没有二十岁的肆意洒脱，没有四十岁的云淡风轻，三十，想要的是更好的生活。,成熟,张英姬,《三十而已》
36,人生中遇到的磨难很多，我们愈是成熟，也愈是胆小，反倒在绝境中才能激发出内心的潜能，从而变得更加坚强和勇敢。,成熟,宫崎骏,《哈尔的移动城堡》
37,我不觉得人的心智成熟是越来越宽容，什么都可以接受。相反，我觉得那应该是一个逐渐剔除的过程，知道自己最重要的是什么，知道不重要的东西是什么。而后，做一个简单的人。,成熟,温斯顿·格鲁姆,《阿甘正传》
38,沧桑,成熟,杰克·凯鲁亚克,《在路上》
39,和那些饱经风雨的遗址相比，文字的记载具有一种更为成熟的金秋之美，因为它自成体系，将那些事迹散布到世界各地，还保护它们免遭时间的侵蚀。,成熟,梭罗,《瓦尔登湖》
40,我拼命想一些东西，我现在不能停止思考，停止了思考我会怎么样？我不知道。我只知道有一种不仅仅是畏惧也不仅仅是绝望的东西在我心里悄悄蔓延开来，我要把脑袋充满，把那个东西压下去。,成熟,江南,《上海堡垒》
41,有种孤独的人啊，希望别人能幸福，因为看到幸福的人，他也略微觉得温暖。,成熟,江南,《龙族3·黑月之潮》
42,这种和谐融洽的关系真的很奇妙，好像彼此认识了很久很久，久到白发苍苍。,成熟,江南,《龙族3·黑月之潮》
43,为什么不表白呢？也许别人就等着你的表白，你不说，难道还要女孩子猜你的心思么？女孩归根结底都是容易害怕的生物啊，尤其是还没长大的时候。,成熟,江南,《龙族3·黑月之潮》
44,聪明睿知，守之以愚。道德隆重，守之以谦。,成熟,弘一大师,《格言别录》
45,逆境顺境看襟度，临喜临怒看涵养。,成熟,弘一大师,《格言别录》
