,text,tag,author,from_book
0,五色炫目，五欲乱心，说到底，还是静以修身，俭以养德，心不乱，一切就有了。,成长,冯唐,《活着活着就老了》
1,我决定弃医从商，如果一个公司业绩总是无法改善，我至少可以建议老板关门另开一个，如果我面对一个卵巢癌病人，我不能建议她这次先死，下辈子重新来过。,成长,冯唐,《活着活着就老了》
2,初入职场，我就像其他大多数雄心勃勃的年轻人一样：我相信成功是一条直线。作为婴儿潮的一代，我在成长过程中，看到的只是发展和机遇。成功似乎是必然的。但是，在经历了20世纪70年代和80年代初的经济起伏后，我逐渐明白，成功就是充分利用你无法预测的那些罕见的机会。,成长,苏世民,《苏世民：我的经验与教训》
3,成功会令人骄傲自满，不思进取。你只能从失败中学习，在逆境中成长。,成长,苏世民,《苏世民：我的经验与教训》
4,我们是在不断地被否定中成长的，甚至有时候就会相信那些在脑袋里面，说他们没有出息没有用的那些人，那些声音是真的。,成长,林君阳,《我们与恶的距离》
5,新闻呈现的方式在变，但做新闻的态度该变吗？,成长,林君阳,《我们与恶的距离》
6,我们是在不断地被否定中成长的，甚至有时候就会相信那些在脑袋里面，说他们没有出息没有用的那些人，那些声音是真的。,成长,林君阳,《我们与恶的距离》
7,深圳可以说遍地都是钱，就看你能不能看见。,成长,刘惠宁,
8,干我们这一行，与天斗容易，只要你腿脚勤快，多跑跑路就行了，与人斗哇，难，背后有好多暗箭指着你，防不胜防。,成长,刘惠宁,
9,社会的水太深，下来了你才晓得打哪儿站起。,成长,刘惠宁,
10,生活就是，一个耳光接着一个耳光，把人从梦里打醒。,成长,刘惠宁,《相爱十年》
11,现在的我怎么也不会想变成这样，10年前也是。,成长,,
12,共犯过罪孽的人，无论时隔多少年，依旧能达成某种共识，那就是假装一切从来没有发生过。,成长,郑执,《生吞》
13,一个少年开始觉得自己属于成年人的决定性时刻，不是吹十八岁生日蛋糕蜡烛，而是真正被成人世界无差别地对待,成长,郑执,《生吞》
14,在遇到你之前，我不知道，一个人，可以疯到什么程度。,成长,Priest,《山河令》
15,大人们总是说时间久了你就会忘记，可是过了这么多年，我好像忘记了你的样子，忘记了你的声音，但是你的笑，你的傻总是在我快要释怀的时候像洪水一样在我的脑海涌现，或许时间可以治愈很多伤痛，但是你的笑和你的傻或许是我曾经快乐过的最好证明吧……,成长,,
16,我还记得那个夏天，蝉鸣幽幽，暖风吹拂，你拿着冰棒向我跑来，那个时候的你啊，真像个小孩子，可是现在呢……你长大了，我也把你弄丢了……,成长,,
17,很多事情都是我们无法——或者难以正视的，一旦回头认真审视，恐怕我们都要对某个曾经确定无疑的事实大吃一惊.。,成长,雷米,《心理罪》
18,对有些人而言，相遇即是告别。就像流星划过天际，发出耀眼光芒的同时，也燃烧殆尽。他们唯一能做的，就是让那道划痕尽可能地浅。,成长,雷米,《心理罪》
19,即便天下无敌，也有无力时，他登上了辉煌绝颠，蓦然回首，却发觉，那最简单与平凡的东西才是真。,成长,辰东,《遮天》
20,很多事情不管是真是假，如果只是听说，无论多么惊悚，都不过是一个故事而已。但如果亲身经历，那就完全是两回事了。,成长,辰东,《遮天》
21,极尽繁盛，群星璀璨后，必有诸王殒落，人杰凋零的后世凄凉，将会有一幅血染的壮丽画卷。,成长,辰东,《遮天》
22,有器度，有见识的人，他虽然从艰苦困难中成长，反而更具有同情心和慷慨好义的胸襟怀抱。因为他懂得人生，知道世情的甘苦。,成长,南怀瑾,《佚名》
23,遥知百国微茫外，未敢忘危负岁华。,成长,戚继光,《佚名》
24,孩子，不能亲眼看着你茁壮而健康的成长，欣慰的看着你长大成人，手把手的教你练剑、写字和读书，这是你父亲的最大遗憾，也是他的失职。但孩子，不要责怪他。“你的父亲，还有很多的叔叔和伯伯，他们用鲜血和利刃，披荆斩棘，为混乱的世界重新铸造了秩序，带来和平，化剑为犁，为蛮荒带来文明，用繁华取代贫瘠。铁血、牺牲和自我奉献，是我们这代人的天生使命，那些英雄和英雄的故事，在你们的年代将会成为传奇。 “现在，作为父辈的我们，已经完成了我们的使命。我们渐渐老去，而你们将成长，这是造化的规律，无可避免。将来的世界，是属于你们的。你们不必像我们一样，日ì夜不停的战斗，在刀光剑影中前行，父亲高大的脊背，已为你建起了遮挡风雨的屋顶。,成长,老猪,《紫川》
25,文明的传承和发展，就像一颗柔嫩的苞蕾，慢慢地、曲折地成长，需要小心翼翼地呵护，耐心地等待，它经不起风雨的摧残。文明能发展到何等辉煌灿烂的程度，那是现在我们根本无法想象的。只有见过那盛开花朵的人，只知道现在这棵幼苗的珍贵。,成长,老猪,《紫川》
26,英雄辈出的民族是不幸的民族，和平的生活注定是平庸而繁琐的。有些事，或许你现在还无法理解。但当你长大，你就会明白：你的父亲，一定不会希望你成为英雄，世俗的很多东西，耀眼而毫无价值。只要你能健康的成长，正直的做人，独立的思考，幸福的生活，这是父辈对你的最高期望。,成长,老猪,《紫川》
27,你的父亲，一定不会希望你成为英雄，世俗的很多东西，耀眼而毫无价值。只要你能健康的成长，正直的做人，独立的思考，幸福的生活，这是父辈对你的最高期望。,成长,老猪,《紫川》
28,紫川秀苦笑着摇头，他蹲下身来，端详着云林英俊而稚气的脸，心潮澎湃：“孩子，不能亲眼看着你茁壮而健康的成长，欣慰的看着你长大成人，手把手的教你练剑、写字和读书，这是你父亲的最大遗憾，也是他的失职。但孩子，不要责怪他。 “你的父亲，还有很多的叔叔和伯伯，他们用鲜血和钢铁，披荆斩棘，为混乱的世界重新铸造了秩序，带来和平，化剑为犁，为蛮荒带来文明，用繁华取代贫瘠。铁血、牺牲和自我奉献，是我们这代人的天生使命，那些英雄和英雄的故事，在你们的年代将会成为传奇。,成长,老猪,《紫川》
29,你就像我的桥，支撑我寻找方向，顺着我的努力成长。,成长,祝小兔,《时光不老，我们不散》
30,女人在感情里的成长是歇斯底里的，是彻彻底底的蜕变。一定要感谢生命中曾经出现的那个人，包括伤害你的人，因为所有的过往才能成就现在的自己。,成长,祝小兔,《时光不老，我们不散》
31,文字的痕迹只要动动手指便可悉数删除，可是内心的褶皱中裹藏着多少隐私，就连朝夕相处的人也未知十分之一二。,成长,独木舟,《一粒红尘》
32,本科四年我基本上就是打了一趟酱油，一路浑浑噩噩玩儿着，到家的时候酱油洒了瓶子也空了。回头想，果然不是我上了大学而是大学上了我。,成长,七堇年,《尘曲》
33,但最终还是会一笑而过，在红灯转绿时跟上油门，抬头向前，甩掉那些只有年轻时代才会如此大动干戈的悲和喜，绝尘而去。,成长,七堇年,《尘曲》
34,我需要尽快和你在同一起跑线上。,成长,陈思诚,《唐人街探案3》
35,其实我算过了，她叫焕英，我叫光林，我俩，欢迎光临，听着多热情啊。,成长,贾玲,《你好，李焕英》
36,她不仅仅是我的妈妈，她还是她自己。,成长,贾玲,《你好，李焕英》
37,我只希望他能像他那年纪的人一样。,成长,李祐汀,《请回答1988》
38,风已经停了，树下的雨丝发出奇幻的闪光。,成长,杜拉斯,《情人》
39,富人之所以越来越富，是因为他们学会了解决财务问题。富人把财务问题看作是学习、成长、变得更聪明和更富有的机会。富人认识到他们的财商越高，就可以解决更大的问题，因此就可以赚到更多的钱。富人不会逃避，避免财务问题和假装其不存在，而是欢迎这些问题，因为他们知道这些问题使自己变得更聪明的机会。这就是他们越来越富的原因所在。,成长,罗伯特·清崎,《富爸爸提高你的财商》
40,所有的怀疑，都是成长的悲哀。,成长,田维,《花田半亩》
41,最近我才知道原来“坠入爱河”还有另外一种写法，“走上海盗船的踏板”。我厌倦了在细长的木板上蒙着眼睛保持平衡，一个滑脚就掉入深不见底的大海。我想要陈词滥调，我想要扶椅。我想要康庄大道，我想要正常视力。这有什么错。这就是成长。或许大部分会因为浪漫的气氛而倍加神采，但这很快就会磨损。他们投身其中，有着长远的考虑；包括渐长的腰身和郊野别墅。这有什么错。深夜的电视节目，并肩躺着，打折喊直睡到千禧年的来临。只有死亡能把我们分开。,成长,珍妮特·温特森,《写在身体上》
42,是谁告诉我：成长是湿的。我笑笑，成长是水做的。,成长,田维,《花田半亩》
43,白灿灿的日光，一直是这样，每年的夏天，我们像茉莉一样发出幼芽，开一片馨香。在自己生活的范围中，我们悲戚自己的悲戚，烦忧自己的烦忧。就不知道，世间原有多少的悲苦与无常。看似的平静安宁，其实，隐匿多少不幸。看自己的脸，就明白佛的悲悯。而我，终是凡夫俗子。只是见到一己悲苦而已。 这一个光明世界。来去皆是匆忙。我在病里沉沦成长。 没有人是不同的。 我们殊途同归。 我又一次匆忙地过马路，脸色茫然。路旁的男子已经不见。医院门口，包花色头巾的女孩子斜立在树影里，等候着什么。 突然，却想微笑。微笑着，受我们各自的罪。 是虚伪吗……,成长,田维,《花田半亩》
44,时间在我姹紫嫣红的成长路上给他撒了一地荆棘。,成长,麦九,《我终于失去了你》
45,身若寒凉，就走近太阳，吸收能量，茁壮成长；,成长,,
46,艰难令汝如玉。如果艰难使你成为玉石的话，那么在日常生活里深谋远虑的男人，是不应该成为玉的。,成长,芥川龙之介,《侏儒的话》
47,别把功劳都往我身上推，我清楚自己的斤两。没有你们的协助，我再如何强，也走不到这里来，孤胆英雄，在这里走不远，也不适合这里。,成长,天蚕土豆,《斗破苍穹》
48,成长的悲哀或许就在于，人们再也莫要机会去表现纯真和幼稚。,成长,安宁,《温暖的弦》
49,太过美好的东西从来都不适合经历，因为一旦经历便无法遗忘；太过年少的爱情从来都不适合追求，因为我们都还走在成长的旅途中。一场美丽的相遇……一场绚丽的开放已是开至尽头的荼靡。有些人，只能离开；有些东西，只能放弃；有些记忆，只能埋于心底；有些过去，只能选择遗忘。,成长,安宁,《温暖的弦》
50,微微，萌芽要光合作用，不见光的是豆芽。,成长,顾漫,《微微一笑很倾城》
51,没有谁来的及看足谁的成长，没有谁真能陪谁翻山越险，抵达人生的极乐。他们不过是我人生长长短短的段落，有一天，我也会成为你的段落。,成长,张悦然,《佚名》
52,人是百代的过客，总是要走过去的，这决不会影响地球的转动和人类社会的进步!,成长,季羡林,《季羡林文集》
53,人在无可奈何情况下是有可能想出办法来的。,成长,季羡林,《季羡林文集》
54,我渐渐明白，世间最可厌恶的事莫如一张生气的脸;世间最下流的事莫如把生气的脸摆给旁人看，这比打骂还难受。,成长,胡适,《胡适文存》
55,救出自己的唯一法子便是把你自己这块材料铸造成器。,成长,胡适,《胡适文存》
56,因为害怕，所以不得不坚强，不得不成长是吗？,成长,弃端端,《重生之墨华灼灼》
57,我其实内心如鲜花着锦，又如烈火烹油，我心里装着一桶汽油，一个小小的火星，就能引爆我的一生。,成长,雪小禅,《那莲那禅那光阴》
58,衰老是成长过程的后续和重复。,成长,多丽丝·莱辛,《天黑前的夏天》
59,后来我追逐的所有都是对小时候幻想的补充。,成长,,
60,积极主动的人专注于“影响圈”，他们专心做自己力所能及的事，他们的能量是积极的，能够使影响圈不断扩大，扩张和成长。 只要我们的焦点在关注圈，就等于是允许自己受制于外界条件，自然就不会主动采取必要措施来推动积极变化。 反之，消极被动的人则全神贯注于“关注圈”，紧盯他人弱点、环境问题以及超出个人能力范围的事情不放，结果越来越怨天尤人，自艾自怜，并不断为自己的消极行为寻找借口。,成长,史蒂芬·柯维,《高效能人士的七个习惯》
