,text,tag,author,from_book
0,我并不是一个弱不禁风的孩子，只是在你面前如此。,戳心,,
1,现在的我怎么也不会想变成这样，10年前也是。,戳心,,
2,你的惨叫声，像一把铁耙刺入了我的腹腔，不停地直捣血肉肝肠。,戳心,七堇年,《尘曲》
3,没关系，我很擅长等待。,戳心,朴智恩,《蓝色大海的传说》
4,谢谢你赠我空欢喜,戳心,李木戈,《暗恋橘生淮南》
5,世间本无公平可言，除非公平掌握在自己手中。,戳心,乔治·马丁,《权力的游戏》
6,陶慧：“那你怕什么呀儿子?”,戳心,韩延,《送你一朵小红花》
7,水从高处的盆子里倾泻出去，跌落在楼下石板地上，分崩离析的声音会使她的身子忍不住痉挛一下。,戳心,阿来,《尘埃落定》
8,The people you know best are the ones most capable of surprising you.,戳心,乔舒亚·萨夫兰,《绯闻女孩》
9,"Sometime fate throws two lovers together, only to rip them apart.有时命运把两个恋人拉到一起，只是为了把他们分开。",戳心,乔舒亚·萨夫兰,《绯闻女孩》
10,我握住天赋的刀锋，却落得一身伤痕。,戳心,布莱恩·福勒,《汉尼拔》
11,"Well,like most people straight out of college, I’m at a job I don’t wanna be at.",戳心,迈克尔·帕特里克·金,《破产姐妹》
12,卿屡违朝旨，高卧东山，诸人每相与言：“安石不肯出，将如苍生何？”,戳心,刘义庆,《世说新语》
13,“我们有多少种可能？”,戳心,杰克·科比,《复仇者联盟3》
14,我慌张得快要把持不住自己了，想要撞墙，想摔东西，想要放声尖叫。我打开手机的通讯录，我想要和谁说说话，是个人就好，能回应就好。但长长的联系人名单上，却没有一个这样的人。,戳心,鲍鲸鲸,《失恋33天》
15,你很好啊 可是你一无所有,戳心,鲍鲸鲸,《失恋33天》
16,最能唤醒人们注意力的莫过于残忍的故事。,戳心,塞缪尔·约翰逊,《诗人传》
17,芸芸众生，不过是一块块城砖，用来构建帝国的万里长城。,戳心,温世仁,《秦时明月》
18,弱者没有资格要求公平。,戳心,温世仁,《秦时明月》
19,我们都一样，做着白日梦,戳心,尾田荣一郎,《海贼王》
20,所谓的「改变自己，世界就会随之改变」这种事，是不可能的。,戳心,渡航,《我的青春恋爱物语果然有问题》
21,说时间可以解决一切那不过是骗人的 那不过是被逼到只能将一切都忘却都断送 将问题本身放置直至风化而已,戳心,渡航,《我的青春恋爱物语果然有问题》
22,“努力”是这个世界上最虚伪的东西之一，是成功者的借口，是失败者的安慰。然而不幸的是，努力却又是必须的，是即使明知会血本无归也不得不付出的投资。,戳心,渡航,《我的青春恋爱物语果然有问题》
23,为什么要称赞他人？那是为了把对方捧到更高的地方更容易绊他的脚，为了把他从高处摔下来。这就叫做称赞杀人法。,戳心,渡航,《我的青春恋爱物语果然有问题》
24,大家互相帮助，一起成功，一起幸福什么的，不过是种理想。,戳心,渡航,《我的青春恋爱物语果然有问题》
25,被生活磨得千疮百孔的时候，在无关失色的市中心高楼上。,戳心,六六,《安家》
26,Bagger can't be a chooser.乞丐没有权利挑三拣四。,戳心,简·奥斯汀,《傲慢与偏见》
27,谎言总是冲刺在前，而真相则是马拉松,戳心,《佚名》,
28,"涅石成，基调就是欢快的, 游历人间、了无心事。",戳心,priest,《烈火浇愁》
29,好事不出门，基情传千里。,戳心,木瓜黄,《伪装学渣》
30,周大雷连忙站起来，他走出去两步，不知道想到了什么事，又折回来说：“等会儿，妈，我问你个事。”,戳心,木瓜黄,《伪装学渣》
31,喂，金基泽。靠，别装睡了，想想办法吧，手机被停话，网络也断线。你有什么打算?,戳心,奉俊昊,《寄生虫》
32,你爬了十层楼，可能才达到别人的地下室。,戳心,奉俊昊,《寄生虫》
33,少年已知愁滋味。,戳心,烽火戏诸侯,《雪中悍刀行》
34,那日看雪，你从未看我，我从未看雪。,戳心,烽火戏诸侯,《雪中悍刀行》
