,text,tag,author,from_book
0,韩灵，我说了，以后呢，我要挣很多很多的钱，然后把这个床都铺满，不，我要把这个房间全部铺满，然后我让你躺在钱上数钱。,承诺,刘惠宁,
1,我什么都不怕，我唯一怕的是我实现不了自己的承诺，不能让你过上好的日子，不能给你幸福。,承诺,刘惠宁,
2,我们都在最没能力给别人承诺的时候遇见最想承诺的人，也在为了理想不得不前进的时候遇到最想留住的人。,承诺,刘惠宁,《相爱十年》
3,再见了，阿宁，原谅我的铁石心肠。当你的视线不再被我的身影局限，你会发现世间原来有更优秀的男子值得你去爱；当有那么一天，你真的继任总长，你会明白我的苦心；当有那么一天，你与你心爱的人步入婚礼殿堂，我将在遥远的地方为你们祝福，那时候，你心里是否还会惦记着曾经喜欢过的人？虽并不是为了在远星大人病榻前东德承诺，而卧仍将在遥远的地方，默默地关注你的身影，只等你的第一声召唤，我将出现，无论千山万水。我爱的女孩啊，愿你不老不死，永远幸福美丽。而我，将永远守护着你，纵九死而无悔。,承诺,老猪,《紫川》
4,我爱你，但是却依旧不能为你放弃远东。除了爱情以外，人还有点别的事情，有些事情更重要。责任，牵挂，承诺，信仰，职责--或者随便你想象的什么东西，很难以形容我对远东的感情，那更像是一种义务--不，是债务，我欠远东的。那里的民众尊我为王，我对他们负有责任，正如你身为继承人，同样对家族未来负有责任一般。从前，你就是我的信仰，但今天以后，我的信仰就是远东大地！,承诺,老猪,《紫川》
5,与我个人而言，遇到经济困难灾难。我从来不奢望公司或者政府的救济。我只是会在这些还没来临时，尽量的做好一切的防御性的保障。其他的运用我说掌握的技能去慢慢改善它，同时也在观察着公司高层的动向以及社会权利阶层制定政策的动向。而不是时刻关注他们对我们的口头承诺和说些什么！我会根据他们的实际行动以及潜在的动作，做出相应的行动。知道我自己的行动有效果，而不是盲目的跟从。采取自信的行动。而不是听别人怎么怎么做，别人让我怎么做我就必须的怎么做！,承诺,罗伯特·清崎,《富爸爸穷爸爸》
6,承诺唯一的用途就是有朝一日用来对着抽耳光。,承诺,李木戈,《暗恋橘生淮南》
7,我会让你堂堂正正的在我身边。,承诺,宋晋川,《上阳赋》
8,他欺骗了她，他承诺陪在她身边，结果只是背叛和欺骗。他向她吐露爱意，他给了她希望，就是他得到的惩罚，他要永远承受招致来的痛苦。尽管他对她说了很多谎言和假话，可他对她的爱是诚心诚意的。,承诺,克莱儿·麦克福尔,《摆渡人》
9,当然，有些时候还是会事与愿违，但面对这些失败，人类不再只是耸耸肩，说“没办法，世界就是这样不完美”或是“这是上帝的旨意”。现在如果再有饥荒、瘟疫和战争爆发而不受人类控制，我们会觉得一定是哪个人出了问题，应该成立调查委员会来研究研究，而且对自己许下承诺，下次一定要做得更好。而且，这套办法还真行得通。此类灾难发生的次数及频率确实都在下降。,承诺,雅克·阿塔利,《未来简史》
10,对于一个正在寻找人生伴侣的女性，我的建议是：她可以和各种类型的男人约会：坏坏的，酷酷的，有承诺恐惧症的，以及满怀激情的，但别和他们结婚。坏男人性感的因素不会让他们成为好丈夫。到了想安顿下来的时候，你应该找一个愿意和你平等相处的男人。这类男性会认为女人应该聪明、有主见、有事业心；他会重视公平，并做好分担家庭责任的准备，甚至非常乐意这么做。这样的男人确实存在。,承诺,雪莉·桑德伯格,《向前一步》
11,"由内而外的观点认为个人领域的成功必须先于公众领域的成功;只有先信守对自己的承诺,才能信守对他人的承诺.把个人魅力置于品德之上,妄图在自我完善之前完善人际关系都将徒劳无功.",承诺,史蒂芬·柯维,《高效能人士的七个习惯》
12,The nature of promises is that they remain immune to changing circumstances.,承诺,迈克尔·道布斯,《纸牌屋》
13,“等着吧，今后我要带你走遍全世界”,承诺,韩延,《送你一朵小红花》
14,我向你保证，我绝对不会离开你，我从来都不知道，原来我也有一天，会心甘情愿被承诺所束缚,承诺,凯文·威廉姆森,《吸血鬼日记》
15,我们不应该责怪女人需要男人做出“我会回来的”的承诺，就如同不能责怪男人有着想躲进“洞穴”的本能一样。,承诺,约翰·格雷,《男人来自火星女人来自金星》
16,理论背后的主要人物、创始人应该是一个相信它、以之为信念，并愿意以昂贵的代价承诺秉持这一信念、确保其自然得出结论的人。,承诺,纳西姆·尼古拉斯·塔勒布,《反脆弱》
17,所以我突然明白了一个道理，这段感情里，原来我们势均力敌，结尾处统统惨败，我毁掉的，是他关于我的这个梦想;而他欠我的，是一个本来承诺好的世界。,承诺,鲍鲸鲸,《失恋33天》
18,新年快乐，不是祝福，是承诺。,承诺,顾漫,《杉杉来吃》
19,"骷髅是死亡的象征,草帽是梦想的信念.剑是儿时的承诺,橘子是亲情的回忆.说谎是心灵的寄托,ALLBULE是两人的梦想.樱花是拯救的良药,历史是一直寻找的答案. 船是超越险阻的证明,音乐是一切美好的记忆！",承诺,尾田荣一郎,《海贼王》
20,【吴邪】,承诺,南派三叔,《盗墓笔记》
21,不要忘了，曾经对她许下的承诺。,承诺,王蕙玲,《太平轮》
22,师父说香枝燃烧成一截灰，只为了拥有一段过程散发出自己的香味。这是牺牲和承诺的象征。,承诺,安妮宝贝,《眠空》
23,因为说话一定要诚实，所以一个好的领导者不能随意滥用奖赏和表扬，我会特别小心地对待我对员工所承诺的事情。,承诺,比尔·盖茨,《佚名》
24,求婚时，他说：“言语无法表达。如果一定要概括，那就是——我爱你，以我全部的智慧和生命。”,承诺,丁墨,《他来了，请闭眼》
25,真正的爱只承诺当下，但不承诺将来。,承诺,张方宇,《单独中的洞见2》
26,承诺之所以存在，并不是为了遵守，而是为了背叛。违背过承诺的人不会再轻信任何承诺，但亦不会阻挡别人的承诺，在许下承诺的那一瞬间，我们都很真诚，也未曾相欺。但世事难料，风云莫测。有时，我们不得不背叛从前的自己。,承诺,夏七夕,《后来我们都哭了II·废墟》
27,平淡的日子是惧怕风雨的胆小鬼的向往。即使在梦里也不敢想的愿望，并不是遥不可及。 任何人任何事，都没有剥夺他人生存的权利。 实现不了的承诺，就是背负的罪孽！,承诺,尾田荣一郎,《海贼王》
28,死约会，不见不散。,承诺,金庸,《鹿鼎记》
29,那眼睛只是看着你就像要承诺你一座乐园,承诺,林奕含,《房思琪的初恋乐园》
30,"不轻易做出承诺,一旦承诺了死也要遵守",承诺,J·K·罗琳,《哈利·波特》
31,我会承诺很多，实现很少，我们会面对面越走越远，肩并肩悄然失散。,承诺,张嘉佳,《从你的全世界路过》
32,总有几分钟，其中的每一秒，你都愿意拿一年去换取。总有几颗泪，其中的每一次抽泣，你都愿意拿满手的承诺去代替。总有几段场景，其中的每幅画面，你都愿意拿全部的力量去铭记。总有几句话，其中的每个字眼，你都愿意拿所有的夜晚去复习。,承诺,张嘉佳,《从你的全世界路过》
33,我会承诺很多，实现很少，我们会面对面越走越远，肩并肩悄然失散。你会掉眼泪，每一颗都烫伤我的肌肤。你应该留在家里，把试卷做完，而不是和我一起交了空白纸张。对不起，爱过你。,承诺,张嘉佳,《从你的全世界路过》
34,总有几分钟，其中的每一秒，你都愿意拿一年去换取。总有几颗泪，其中的每一次抽泣，你都愿意拿满手的承诺去代替。总有几段场景，其中的每幅画面，你都愿意拿全部的力量去铭记。总有几段话，其中的每个字眼，你都愿意拿所有的夜晚去复习。亲爱的，如果一切可以重来，我想和你，永远在一起。,承诺,张嘉佳,《从你的全世界路过》
35,信守承诺。阿甘信守了承诺，最后也得到了最好的回报。,承诺,温斯顿·格鲁姆,《阿甘正传》
36,监狱是人们向自己承诺生活权力的地方。,承诺,杰克·凯鲁亚克,《在路上》
37,我本想事先提醒你的，,承诺,迈克尔·克莱顿,《西部世界》
