,text,tag,author,from_book
0,初创企业的领导人在招募优秀人才时，只问一个简单的问题：“这个人是否像你一样，对壮大企业的使命抱有同样的热忱，愿意付出同样的努力？”,技巧,苏世民,《苏世民：我的经验与教训》
1,失败是一个组织最好的老师。开诚布公地客观谈论失败，分析问题所在，你就会从失败中学到关于决策和组织行为的新规则。如果评估得当，失败就有可能改变一个组织的进程，使其在未来更加成功。,技巧,苏世民,《苏世民：我的经验与教训》
2,在需要加密的时候，加密者会设定一个密匙，密匙可以是任何东西，但表达的意思是必须是数字的加减。比如-200，用需要加密汉字的编码去减这个数字，会得出一串新数字。,技巧,马伯庸,《古董局中局》
3,篆刻中，印字凸起的阳刻叫朱文，反之的阴刻则为白文，缪篆为汉魏时期制印常用的篆书字体，以形体匀整、屈曲缠绕具绸缪之意而得名，字体为缪篆，写得古朴严谨，勾画非常端正。,技巧,马伯庸,《古董局中局》
4,前清时候，在关东有个习俗，看见牵着骆驼的，就知道卖药的来了。因为关东人从前没见过骆驼，不知它脾气温顺。他们一看卖药的居然能把这么一个庞然大物收拾得服服帖帖，本事一定很大，卖的药肯定管用。,技巧,马伯庸,《古董局中局》
5,焗瓷这门手艺，原理说起来很简单，就是在瓷器上钻几个孔，再用长短不一的钉子给固定住。其中钻孔这一道工序，最考验功力。瓷器薄而脆，要在上面钻出一个孔来，还得保证不碎不裂，需要极精细的手法。焗匠用的开孔工具，是一根铁笔，在笔头镶嵌一颗金刚石，在要开孔的部位轻轻研磨，磨出一个孔来。,技巧,马伯庸,《古董局中局》
6,当你排除掉一切不可能之后，剩下的即使再离奇，也是事实。,技巧,马伯庸,《古董局中局》
7,读书不只要靠两只有形的眼睛，要用智慧的眼睛去读。,技巧,南怀瑾,《论语别裁》
8,忘掉自己，应该会让你更容易的扮演别人吧。,技巧,饶晓志,《人潮汹涌》
9,每天都要抱着问题意识去处理工作，不论多么不起眼的工作，认真对待，工作过程中多思考为什么这样，换个方式会怎么样，有没有改进的空间。,技巧,稻盛和夫,《干法》
10,在建立目标时，要设定“超过自己能力之上的指标”。,技巧,稻盛和夫,《干法》
11,如果能在脑海中勾勒出成功的景象，成功的概率就会大为提高。当你闭上眼睛想象成功的景象时，只要能勾勒出那个景象，就一定能心想事成，达成愿望！,技巧,稻盛和夫,《活法》
12,你们越快忘记你们的工资，你们未来的生活就会越轻松，继续用你们的头脑思考，不求回报地工作，很快就会发现比拿工资更挣钱的方法。,技巧,罗伯特·清崎,《富爸爸穷爸爸》
13,致富的关键在于，认识到金钱系统是不公平的，学习金钱系统的规则，并运用这些规则。,技巧,罗伯特·清崎,《富爸爸提高你的财商》
14,致富需要理财智慧，理财智慧只能通过解决财务问题才能获得。,技巧,罗伯特·清崎,《富爸爸提高你的财商》
15,赚钱的最好方式是成为企业家。,技巧,罗伯特·清崎,《富爸爸提高你的财商》
16,培养幽默感并以一种幽默的态度看待事情，是人在掌握生存艺术时学到的技巧。,技巧,维克多·弗兰克尔,《活出生命的意义》
17,吸引一个人的最好的方式是独立自主，而非刻意谄媚。,技巧,阿瑟·高顿,《艺伎回忆录》
18,凡出于经验的或心不在焉的过错，只要不涉及道德问题，都不必指责或发火，甚至不需要提出来，孩子自己会在这种过程中感受不便和损失，知道以后该如何做。,技巧,尹建莉,《好妈妈胜过好老师》
19,欣赏孩子不是只赞赏他的优点，更是如何看待他的缺点。,技巧,尹建莉,《好妈妈胜过好老师》
20,家长要建立这样一种信心：不提分数或名次要求，不会影响孩子的学习成绩——孩子从家长的态度中知道，学习不是为了分数，不是为了和别人比，而是为了自己学会。他不对分数斤斤计较，才会最终获得好成绩。,技巧,尹建莉,《好妈妈胜过好老师》
21,想要“100”分就别要求孩子考100分，分数越要求越少。,技巧,尹建莉,《好妈妈胜过好老师》
22,绝不向孩子要分数，要培养孩子的管理能量，对知识的好奇心，爱钻研的精神，提出问题的能力，寻找答案的兴趣，有效地学习法，平和的学习心态，持之以恒的毅力。,技巧,尹建莉,《好妈妈胜过好老师》
23,这是公然的挑衅，我却装作充耳不闻，我知道自己尊重自己比什么都重要，但是。我在心里已经同他开战：，我一遍一遍地叮嘱自己：超越他，你的强大是对他最好的羞辱，是打在他脸上最响的耳光。,技巧,约翰·洛克菲勒,《洛克菲勒写给儿子的38封信》
24,在做生意时，你绝对不能想把钱赚得一干二净，要留一点钱给别人赚。,技巧,约翰·洛克菲勒,《洛克菲勒写给儿子的38封信》
25,学问本身并不会怎么样，你要学会活学活用才能够发挥知识本来的作用，要成为活用学问的人，首先你要成为具有行动力的人。,技巧,约翰·洛克菲勒,《洛克菲勒写给儿子的38封信》
26,信心所产生的是一种我坚信自己能够做到的态度，相信我能够做到的态度，则能产生出必被的能力，精力以及技巧。,技巧,约翰·洛克菲勒,《洛克菲勒写给儿子的38封信》
27,有时候，改变并不需要借助外部的建议和帮助。当人们真正有机会敞开心扉的时候，往往会自己把问题看透，而解决办法也会在这个过程中逐渐清晰。,技巧,史蒂芬·柯维,《高效能人士的七个习惯》
28,即使我可以运用手段使他人投我所好，为我赴汤蹈火，或对我产生好感，彼此同仇敌忾；然而只要品德有缺陷，尤其是言不由衷、虚情假意，终究成不了大器。因为言不由衷会招致怀疑，到时一切都所作所为都会被视为别有用心。任凭再冠冕堂皇，甚至于出发点再善良，如果不能获得信任，就算成功了也经不起考验。因此，唯有基本的品德能够为人际关系技巧赋予生命,技巧,史蒂芬·柯维,《高效能人士的七个习惯》
29,尽管你用心良苦，想给旁人忠告或协助，如果未能搔着痒处，或是与人*感，引起抗拒，结果也是徒劳无功。反之，若能培养设身处地的倾听技巧，以品格赢得信赖，以充实的感情帐户为本，有效的人际沟通便在掌握之中。,技巧,史蒂芬·柯维,《高效能人士的七个习惯》
30,移情作用往往带有无意的摹仿。,技巧,朱光潜,《谈美》
31,注意力的集中，意象的孤立绝缘，便是美感的态度的最大特点。,技巧,朱光潜,《谈美》
32,中国老百姓，特别是住在分散的农村，过去长期遭受封建压迫的农民，常常要在你跟他们混熟以后，跟你有了感情，随便唠嗑时，才会相信你，才会透露他们的心事，说出掏心肺腑的话来。,技巧,周立波,《暴风骤雨》
33,彼骄我怒，而后可克。,技巧,左丘明,《左传》
34,夫战，勇气也。一鼓作气，再而衰，三而竭。彼竭我盈，故克之。,技巧,左丘明,《左传》
35,相反，要问自己：你对企业的认识有多少是基于对以往过错的错误反应形成的？最反主流的行动不是抵制潮流，而是在潮流中不丢弃自己的独立思考。,技巧,彼得·蒂尔,《从0到1》
36,如果你不能把对手打败，那就和对手联合。,技巧,彼得·蒂尔,《从0到1》
37,经验：循序渐进、保持精简性和灵活性、改进中竞争、专注于产品而非营销。,技巧,彼得·蒂尔,《从0到1》
38,不要问医生你该做什么；而是问医生，如果他处于你的情况下，他会做什么。你会惊讶地看到其中的差异。,技巧,纳西姆·尼古拉斯·塔勒布,《反脆弱》
39,正确的教育，不能像制造机器似地大量生产。要研究每一个孩子，需要耐心、细心和智慧。要观察一个孩子的兴趣、能力、性情，了解他的困难，考虑到他所受的遗传和父母的影响，而非仅仅把孩子归于某种类别——这一切都需要机敏而富于弹性的心，不被任何的偏见所拘束。这需要技巧和强烈的兴趣，最重要的是慈爱的心，而要培养教育者具备这些品质，是我们今日的一项课题。 个人自由与理智的精神，必须一直迷漫于整个学校里。,技巧,克里希那穆提,《一生的学习》
40,周身灵敏，羽不能落。,技巧,梦入神机,《点道为止》
41,克敌之道就是要千方百计为自己创造有利的条件。,技巧,辰东,《完美世界》
42,对于潜藏的敌人，最好的办法，就是让她连上场的机会都没有。,技巧,顾漫,《微微一笑很倾城》
43,心中有前进的方向，为了一个目标而努力，是很好的事情。但是这不意味着要闷着头一直向前冲，有时候累了就停下来歇一歇，或者想一想，说不定会进步得更快。,技巧,明晓溪,《旋风少女》
44,真正的危机从来不会从外部袭来，只有我们漠视用户体验的时候，才会遇到真正的危机。,技巧,马化腾,《佚名》
45,我们教书，并不是像注水入瓶一样，注满了就算完事。最要是引起学生读书的兴味。,技巧,蔡元培,
