,text,tag,author,from_book
0,设计最重要的是灵感，灵感引领着时代，而技术自然会跟上来。,技术,宫崎骏,《起风了》
1,人类将把工作和决策权交给机器和算法来完成，大部分人将沦为‘无用阶级’。只有少数精英才能真正享受到这些新技术的成果，用智能的设计完成进化、编辑自己的基因，最终与机器融为一体，统治全人类。,技术,雅克·阿塔利,《未来简史》
2,如果说第一次认知革命是因为智人的DNA起了一点小变化，让人类拥有虚构的能力，创造了宗教、国家、企业等概念，使其成为地球的统治者;那么未来，算法和生物技术将带来人类的第二次认知革命，完成从智人到神人的物种进化。,技术,雅克·阿塔利,《未来简史》
3,做个形象的比喻：学习能力的构建好比盖房子，“语言系统”就相当于工具，“智力背景”相当于工程背景（地基勘探水平、工程设计水平、工人技术水平、施工管理水平等无形但重要的内容）。有好的工具和完善的工程背景，整个盖房子过程就是件比较轻松的事，也能保*质量；如果工具和背景都差，施工质量就可想而知了。,技术,尹建莉,《好妈妈胜过好老师》
4,1. 家庭和事业同等重要。 2.要有属于自己的理财计划，从而帮家庭整体理财 3.要让女儿做自己感兴趣的事，使她成为自己对自己满意的人 4.要和丈夫一同把家庭建设淂更好 5.每天看一些有意义的书，包括技术，思维 6.摒弃不好的习惯，包括游戏，网上购物，看小说，迟睡觉 7.尝试着主动结交更多的朋友 8. 锻炼身体，使身体更棒 9. 每年有家庭旅游 10. 感激父母的付出.,技术,史蒂芬·柯维,《高效能人士的七个习惯》
5,由于技术能产生更多的技术，一项发明的传播的重要性可能会超过原来这项发明的重要性。技术史为所谓自我催化过程提供了例证：就是说，由于这过程对自身的催化，它就以一种与时俱增的速度而加快。,技术,贾雷德·戴蒙德,《枪炮、病菌与钢铁》
6,人类社会如何产生统治和征服没有明确观点，但是这跟粮食生产、人口多寡直接相关，病菌、文字和技术及中央集权的政治组织。,技术,贾雷德·戴蒙德,《枪炮、病菌与钢铁》
7,欧亚大陆的东西向轴线，位于同一纬度的东西两地，日照和季节相同，具有相似的疾病、温度和雨量计动植物生长环境和植被类型，所以新月沃地区驯化的动植物快速的向东西两个方向传播，因为它们已经适应了欧亚大陆的气候，所以“纬度”是气候、生长环境和粮食生产传播难易的主要决定因素。同时纬度上的传播便利条件，加快了这个方向上技术和发明的传播，例如文字和车轮的传播等。而在经度线上传播就有困难，需要跨越不同的气候带。,技术,贾雷德·戴蒙德,《枪炮、病菌与钢铁》
8,各大陆之间在面积、人口、技术传播的难易程度和粮食生产的开始时间等方面存在着差异，而这些差异又对技术的出现产生了种种影响，但所有这些影响都被夸大了，因为技术可以催化自身。,技术,贾雷德·戴蒙德,《枪炮、病菌与钢铁》
9,在现代的西方，保护发明者的所有权的专利权和其他财产法奖励发明，而在现代的中国，缺乏这种保护妨碍了发明。,技术,贾雷德·戴蒙德,《枪炮、病菌与钢铁》
