,text,tag,author,from_book
0,我觉得光林的嗓音条件，确实是咱们厂最好最标准的，播音员，非你莫属。,搞笑,贾玲,《你好，李焕英》
1,再强调一遍啊，我的广播员，跟我爸是厂长一点儿关系都没有啊，我这是完全凭借自己的声音条件争取来的。,搞笑,贾玲,《你好，李焕英》
2,其实我算过了，她叫焕英，我叫光林，我俩，欢迎光临，听着多热情啊。,搞笑,贾玲,《你好，李焕英》
3,我今天来是想问问你对李焕英的感觉，你是妇联的同志吗?,搞笑,贾玲,《你好，李焕英》
4,我亲自出马的话，他们多多少少，能给我点面子。,搞笑,贾玲,《你好，李焕英》
5,想认你做姐夫。,搞笑,贾玲,《你好，李焕英》
6,然后这个时候这个大胖丫头，不知道从哪，啪一下子，就把英子给砸底下了。,搞笑,贾玲,《你好，李焕英》
7,以后被催婚，你就可以甩出这句台词：,搞笑,大卫·克拉尼,《老友记》
8,我想要的从始至终不过一个你罢了........qian,搞笑,,
9,据说钻石是女人最好的朋友,搞笑,迈克尔·帕特里克·金,《破产姐妹》
10,她改变想法的次数比我换内衣裤还多。,搞笑,迈克尔·帕特里克·金,《破产姐妹》
11,我妈打赌，把我输了。,搞笑,迈克尔·帕特里克·金,《破产姐妹》
12,“听到别人哭，你得有点反应啊”,搞笑,迈克尔·帕特里克·金,《破产姐妹》
13,姐戴帽子挡酷寒，二货带帽学酷玩。,搞笑,迈克尔·帕特里克·金,《破产姐妹》
14,你说的啊，前面还有三千公里姑娘，现在只剩下2850公里啦！,搞笑,岳小军,《心花路放》
15,我先卸个妆。,搞笑,岳小军,《心花路放》
16,我是他兄弟，我叫吊翻了,搞笑,岳小军,《心花路放》
17,有一天我要是混好了，我就全国大面积地雇人追捕，职业插足分子。正在犯案的，有过前科的，一个都不放过，统统抓起来。十个一堆儿捆起来，中间再插上个火箭炮，都送回狼心狗肺星去。,搞笑,鲍鲸鲸,《失恋33天》
18,起来吃点东西吧，没吃饭还那么沉，邪了门了。,搞笑,鲍鲸鲸,《失恋33天》
19,呃，姑娘，乐一个。你说人家都是蓝牙，你自配红牙够先进的呀，回头我再帮你打上一排水钻，奢..华!行了，我帮你想想办法吧，咱们来点建设性的，你们家有涂改液吗?我帮你盖上。,搞笑,鲍鲸鲸,《失恋33天》
20,如果你真把马桶吓得堵塞把水龙头吓得狂哭把白炽灯给气得爆炸，那我只能膜拜你了。,搞笑,鲍鲸鲸,《失恋33天》
21,放开她！嘛那！嘛那！上班路上拦，下班家门口堵。不接你电话，你就改写信，你丫够古典的呀。就算你不懂法，她旁边还站着一喘气儿的，你瞎啊！,搞笑,鲍鲸鲸,《失恋33天》
22,你吃点儿肉啊！你别看这肉肥，可它肥而不腻，就像我，胖而不蠢。,搞笑,鲍鲸鲸,《失恋33天》
23,这人不说话特梦幻，一说话全是梦话。,搞笑,鲍鲸鲸,《失恋33天》
24,我没想过要相亲，既然来了，我给你看诊吧。,搞笑,南西,《爱的厘米》
25,你说你这个人，长这么帅有什么用。,搞笑,《从结婚开始恋爱》,
26,他白我一眼：“只有养猪才会记录安全生产的天数。”,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
27,经常被他骂笨蛋，我好像也就接受这个称呼了。有一天跟朋友约了吃饭，我俩出门晚了，绕了几圈都找不到停车位，正急着呢，突然前方有个空位，我赶忙催他：“快快！就那了！”,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
28,我跟F结婚那天他被灌了不少，主要是他一直护着不准我喝，我的酒全让他代了。,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
29,郝五一迅速写好文案：他，英俊多金，狂放不羁，是掌管着全村生产线的男人！十里八乡的农产品展销会上，他一眼看中她。在莲花村呼风唤雨的他却只愿细心呵护她一人。他送她万人垂涎的牛头牌限量拖拉机，一掷千金只为换来她的如花笑颜。他带她去田埂看收割，只为她能想起过去的时光。她逃，他追，他们都插翅难飞，他中了她的毒，病入膏肓。“黄埔铁牛，你得到我的人也不会得到我的心。”,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
30,有个算命很准的大师看了我的八字，说我五行缺水，不要戴玉石器，要戴金近水。我不懂什么是「金近水」，又不好意思暴露自己的浅薄，闷头想了好半天。某人在旁边冷笑，“不准啊，你明明五行缺智力。,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
31,晚上多炒了几个菜，他很乖，哼呲哼呲全吃光，放下碗躺沙发上哼哼，我一边暗自得意自己的厨艺一边帮他揉肚子，“怎么跟个小孩似的吃东西一点节制都没有？”他叹口气，“情非得已。”为啥？他摸着滚圆的肚子说，“只有吃撑了，才可以不用刷碗啊。”,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
32,感冒一直没好,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
33,坐在麦当劳，对面一对高中生情侣一直在kiss，二十分钟过去了啊他们就没分开过真的不会缺氧吗？F君白眼一翻说这要是我女儿拖回去就打一顿，我说英雄出少年啊泡妞手法如此娴熟这要是我儿子回去晚饭多加个蛋……然后某人把我拖回家打了一顿,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
34,生病在家躺了一天，下午快递把新买的书架送来了，闲着没事照着说明书自己安装，特有成就感，刚他一回来我就拉着他邀功。我：看！我一个人装的哟~他眼神宠爱抚摸我狗头赞叹：我家老婆啊……摇着尾巴等他夸我贤惠，谁知他放下手，话锋一转：真是条汉子。我：！@#￥%……&*,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
35,去年冬天长湿疹被我抓破了腿上全是疤，朋友看到问怎么回事，我看F君一眼，可怜巴巴地说，因为我不乖，被家暴了。他愣了一下，马上板起脸说，不是警告过你不准说出去吗，回去再打一顿！哈哈哈哈我没忍住笑场了。,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
36,我人生第一次看芭蕾舞剧是跟着F去的，领舞是他妈妈。那天结束之后他去后台找他妈妈，我也跟着去了。,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
37,过了一会儿，我突然说：“我觉得我得对你再好点。”他问：“为什么？”我：“关爱智障少年人人有责。”,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
38,我当机立断立刻装可怜：“亲爱的，我刚刚做了个噩梦，梦到我坐的轮船翻了，我掉进海里，特别特别冷。”,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
39,瑞士现在流行把骨灰制成钻石，我妈跃跃欲试，今天跟我说等她死了要留个钻石戒指给我和我哥,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
40,伯虎：江南四大才子之中，就以祝兄你最为洒脱，众人皆知，所谓“风吹鸡蛋壳、财散人安乐”乃是祝兄你既座右铭啊！,搞笑,周星驰,《唐伯虎点秋香》
41,气吞天下！,搞笑,周星驰,《唐伯虎点秋香》
42,饶你精似鬼，照喝老娘洗脚水。,搞笑,周星驰,《唐伯虎点秋香》
43,秋香姐，当你发现你冤枉我的时候，一定会感到很伤心，很后悔，这又何苦呢？还是快跟我走吧！,搞笑,周星驰,《唐伯虎点秋香》
44,秋香，你太冲动了，不过也难怪，你年纪还小，但是我喜欢,搞笑,周星驰,《唐伯虎点秋香》
45,秋香姐！你觉得华安我的人品怎么样？,搞笑,周星驰,《唐伯虎点秋香》
46,"人生大起大落得太快,实在太刺激了",搞笑,周星驰,《唐伯虎点秋香》
47,十口心思，思君思国思社稷！,搞笑,周星驰,《唐伯虎点秋香》
48,秉夫人，小人本住在，苏州的城边，家中有屋又有田，生活乐无边，谁知那唐伯虎，,搞笑,周星驰,《唐伯虎点秋香》
49,莺莺燕燕翠翠红红处处融融洽洽！,搞笑,周星驰,《唐伯虎点秋香》
50,图画里，龙不吟虎不啸，小小书僮可笑可笑！,搞笑,周星驰,《唐伯虎点秋香》
51,旺财...... 旺财...... 旺财你不能死啊，旺财，你跟了我这么久，对我有情有义，肝胆相照，可是到了现在我连餐饱饭都没让你吃过，我对不起你啊，旺财！,搞笑,周星驰,《唐伯虎点秋香》
52,小强！小强你怎么了小强？小强，你不能死啊！我跟你相依为命，同甘共苦了这么多年，一直把你当亲生骨肉一样教你养你，想不到今天，白发人送黑发人。,搞笑,周星驰,《唐伯虎点秋香》
53,哇呀呀呀呀~~~好！实不相瞒，小弟我就是人称玉树临风胜潘安，一支梨花压海棠的小淫虫周伯通！,搞笑,周星驰,《唐伯虎点秋香》
54,此话当真？！说过的话不能不算数哦！不错！我就是美貌与智慧并重，英雄与侠义的化身唐伯虎！,搞笑,周星驰,《唐伯虎点秋香》
55,凭你的智慧，我唬得了你吗？,搞笑,周星驰,《唐伯虎点秋香》
56,一乡二里共三夫子不识四书五经六艺竟敢教七八九子十分大胆，十室九贫凑得八两七钱六分五毫四厘尚且三心二意一等下流。,搞笑,周星驰,《唐伯虎点秋香》
57,山治：你难道不知道“忍耐”这个词吗？,搞笑,尾田荣一郎,《海贼王》
58,我以前可是个吹牛大王呢，是天下第一骗子，可是现在我退步了，所以只能说到做到,搞笑,尾田荣一郎,《海贼王》
59,你没听过这句伟大的名言么？“肚子饿了就要吃！”,搞笑,尾田荣一郎,《海贼王》
60,“别逛了，早点回家。”,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
61,总说上帝给你关上一扇门，就会帮你打开一扇窗，我当时觉得上帝要么忘了我，要么给我安的是扇防盗窗。,搞笑,乔一,《我不喜欢这世界，我只喜欢你》
62,邓超：现在连公共厕所都上市了，概念就是全国连锁，拉稀,搞笑,一丁,《爱情呼叫转移Ⅱ》
63,陆毅：你没搞错吧，他们要是不离了，我问谁去拿离婚诉讼费啊？,搞笑,一丁,《爱情呼叫转移Ⅱ》
64,有人动脑子是眨眼睛，有人动脑子是抽鼻子，我不是跟你动脑，我是跟你动心了。,搞笑,一丁,《爱情呼叫转移Ⅱ》
65,天使黄渤：“你这也不能怨我吧，我那天给你选了，让你再看看，再看看。“,搞笑,一丁,《爱情呼叫转移Ⅱ》
66,天使黄渤：“俺是，angle，天使，俺跟这个神仙啊，丘比特啊，超人啊是一个系列。”,搞笑,一丁,《爱情呼叫转移Ⅱ》
67,歌手张峻宁：“不是同一代人不要紧，最怕不是同一类人。”（为了力证两人年龄相差十岁不是问题）,搞笑,一丁,《爱情呼叫转移Ⅱ》
68,古巨基：”造型呢，你的胸针，很自然的就成为全场的焦点。还有你的长发和你的高跟鞋，就连成一条很优美的流线。你的耳环和你胸前的项链，构成了一个倒置的金字塔面，这就是点、线、面完美的结合。”,搞笑,一丁,《爱情呼叫转移Ⅱ》
69,"使黄渤：“听说开封菜不错,就一个白头发老头儿做的广告,缩写是KFC的”",搞笑,一丁,《爱情呼叫转移Ⅱ》
70,交警男黄晓明：“步子迈大！摆臂！……你跑这么慢当什么贼啊……叉腰肌不行你踢足球去啊！”,搞笑,一丁,《爱情呼叫转移Ⅱ》
71,范伟：“人海茫茫，遍地杂草，遇到鲜花，凭啥不找？人怕出名猪怕壮，男怕没钱女怕胖。我有钱，你不胖，我们不是很有基础么？”,搞笑,一丁,《爱情呼叫转移Ⅱ》
72,女主角：“我想知道你的岁数。”,搞笑,一丁,《爱情呼叫转移Ⅱ》
73,范伟：“我用丘比特之箭追啊追 你穿着防弹小背心飞啊飞”,搞笑,一丁,《爱情呼叫转移Ⅱ》
74,股票男佟大为：“一开始的几年，我挣了不少钱。他们都说我名字起得好，叫张庭。我叫他们买的股票统统涨停。后来我爸来了，股市就崩溃了，因为我天天喊他‘爹’，而他叫我‘庭’。”,搞笑,一丁,《爱情呼叫转移Ⅱ》
75,保险男古巨基：“干我这行的，外表光鲜，其实很惨。起得比鸡早，睡得比鬼晚。”,搞笑,一丁,《爱情呼叫转移Ⅱ》
76,死做活做像条狗，被人打不能旺旺叫，像条狗，真搞笑,搞笑,周星驰,《唐伯虎点秋香》
77,与其死有余辜 与其死不足惜 你自己选好了,搞笑,周星驰,《唐伯虎点秋香》
78,比起你的风流不羁 我只能说是望尘莫及啊,搞笑,周星驰,《唐伯虎点秋香》
79,生我者父母 知我者（）兄,搞笑,周星驰,《唐伯虎点秋香》
80,崩溃崩溃，就是要崩成一块一块！,搞笑,周立波,《壹周·立波秀》
81,如果说我这个脸算混血儿的话，最多是越南帮柬埔寨的混血儿。,搞笑,周立波,《壹周·立波秀》
82,后来我妈技术革新了，她用两个拖鞋打我，一个专门做假动作。,搞笑,周立波,《壹周·立波秀》
83,世界上最远的距离，不是天涯海角，而是我在电信，你在网通。,搞笑,周立波,《壹周·立波秀》
84,你们去想，原来的班长和学习委员到哪去了？都在门口贩票子。,搞笑,周立波,《壹周·立波秀》
85,一千年不是出一个，而是出一只周立波，你当我是乌龟啊！,搞笑,周立波,《壹周·立波秀》
86,这拖拉机能不能加加速嘛。,搞笑,宁浩,《我和我的家乡》
87,杰西卡，借啥卡，给我留个电话就行。,搞笑,宁浩,《我和我的家乡》
88,大家吃个便饭,搞笑,宁浩,《我和我的家乡》
89,您这次回来为家乡带来什么礼物呢？,搞笑,宁浩,《我和我的家乡》
90,“你这读卡器是不是坏了?”“兄弟，我这读卡器再坏，也读不了公交卡”,搞笑,宁浩,《我和我的家乡》
91,牌客除了师兄弟三人，常来的是一个收鸭毛的，一个打兔子兼偷鸡的，都是正经人。,搞笑,汪曾祺,《受戒》
92,小英子忽然把桨放下，走到船尾，趴在明子的耳朵旁边，小声地说：,搞笑,汪曾祺,《受戒》
