,text,tag,author,from_book
0,出机场，我暗暗预备大伤心，不料进得家门，放下行李，百静中，角角落落都是妈妈，我瞬间就被汹涌的亲切团团拥抱了，简直喜悦，不曾哭，夜里蜷在母亲的眠床上，即刻睡着。人下意识找寻死者，真可笑，唯一的认证，其实是亡者生前的居所。我于是明白何以每次去到晚晴小筑，心里并不格外难受，单是过道的荫翳、楼板响动，便有先生在，何况二楼就是他的骨灰盒。,放下,陈丹青,《张岪与木心》
1,坏人放下屠刀可立地成佛，好人做了坏事，难道就永世不得超生，没这个道理。,放下,Priest,《山河令》
2,再伟大的传承也有落幕的一天，再辉煌的威世也有终结的一日，世上谁人能不死，任你绝代天骄，任你风华绝代，到头来终不过是一抔黄土。,放下,辰东,《遮天》
3,我终于不再试图训练自己成为一个聪明者，笨拙地生活，也能快乐前行。,放下,祝小兔,《时光不老，我们不散》
4,每个人好似一架孤独的飞机，经历了或长或短，或万里晴空或乌云密布的旅程，尝过百种滋味，停靠在这里。这座宽容的航站楼接纳过无数不知由头、遍体鳞伤的飞机。装载的行李无论多少最终都要卸下，什么也不能真正拥有。不如适时放下，鼓起勇气再出发。,放下,祝小兔,《时光不老，我们不散》
5,想起来几缕花落叶败的旧事。在而今这个粗鄙的时代，感情常常是种暗无天日，一出一个愿打一个愿挨的闹剧。因了活得拙陋，内心抵御孤独的壁垒不堪一击，所以反反复复地捡起与放下。但若是谙熟人与人之间的维系有多脆弱和徒然，便会心存对涂败结局的默许和平然。,放下,七堇年,《尘曲》
6,不愿为任何人舍弃骄傲，又巴不得能为某个人放下矜持。孤独的人何其相似。,放下,七堇年,《尘曲》
7,人生就是不断地放下，然而难过的是，我都没能好好的和他们道别。,放下,贾玲,《你好，李焕英》
8,死亡哪有什么顺序啊，人活着就是这样，拼命活着有什么用，一夜之间人就走了，放下的放不下的都得放下了...,放下,李祐汀,《请回答1988》
9,已到了不相信圣诞老人的年龄,放下,李祐汀,《请回答1988》
10,如果没有人再为你守候，那就去看世界吧。,放下,白槿湖,《如果巴黎不快乐》
11,"也好，都该放下各自，生活本来就不是一个轨道的人，行走轨迹都不相同，如果非要生活在一条线上，那必然要么相行渐远,要么撞击受伤。",放下,白槿湖,《如果巴黎不快乐Ⅲ》
12,比方说你常常有不被爱的感受的话，你就写：我看见我在寻求不被爱的痛苦感受，我全心地接受这种感受，并且放下对它的需要。,放下,张德芬,《遇见未知的自己》
13,真正的放下， 是不念过往 不畏将来。,放下,李潇,《好先生》
14,我们都需要学着勇敢，因为没有人可以永远照顾你，要学着面对，学着放下。,放下,钱晶晶,《放弃我抓紧我》
15,我放下电话，觉得很满足、踏实。就像接听长途电话，可爱的男孩子在八千里外说：“我想你。”其实一点实际的帮助也没有，薪水没有加一分，第二天还是得七点半起床，可是心忽然安定下来，生活上琐碎的不愉快之处荡然不存，脸上不自觉地浮起一个恍惚暧昧的笑容，一整天踏在九层云上。,放下,亦舒,《喜宝》
16,我自然明白路应该怎样走。秘诀就是放下拖慢我们脚步的艰难困苦，勇往直前地享受这快乐而又短暂的人生旅途。,放下,马克·切利,《绝望的主妇》
17,这就是我曾经生活过的街道，这曾是我与其分享生活的人们。从他们搬来的那一天起我们就认识了。我看到了他们所带来的对未来的美好憧憬，对更好的生活的向往，不仅仅为他们自己，还有为了他们的孩子。如果可能的话，我应该告诉他们在前方等待着的是什么吗？我应该警告他们将至的悲伤与背叛吗？不。在我所处于的位置，我自然能明白路应该如何走。秘诀就是一直向前行，放下恐惧和遗憾，因为它们会让我们放慢脚步，阻碍我们享受这转瞬即逝的旅程。是的，前方有无法预料的转折，令人措手不及的惊讶，但是，生活的意思不正在于此吗？,放下,马克·切利,《绝望的主妇》
18,从来，都是一场寻找，你寻找的从来都是你丢失的,放下,岳小军,《心花路放》
19,当我轻轻地放下你，让时间洗掉所有的痕迹，面对岁月不息，谁能有什么办法？,放下,岳小军,《心花路放》
20,一个人越是有许多事情能够放得下，他越是富有。,放下,梭罗,《瓦尔登湖》
21,对于一切的嘲笑甚至殴打，瓦列特卡都用可惊的冷漠来忍受。当它由于不仅是狗所独有的弱点而把忍饥挨饿的嘴脸伸进暖香逼人的厨房里去的时候，厨子马上放下工作，大声叫骂着追赶他，这给厨子们带来特别的快乐。,放下,屠格涅夫,《猎人笔记》
22,怎样才算彻底放下一个人？,放下,佚名,《一禅小和尚》
23,光明是你，温柔……你把菜刀放下，也是你,放下,佚名,《一禅小和尚》
24,只是，偶尔放下梦想一小会，真的很爽。,放下,佚名,《一禅小和尚》
25,他说，要善待自己，放下和消融内在积存的创伤。它们使你沉重而不够轻盈，要不断去清洗。,放下,安妮宝贝,《眠空》
26,如果你认为他无可救药，不过是沉溺。我们可以选择完全的放下，或者完全的承担。唯独不能伪装一个懒怠的理所当然的姿势。你尽可拖延和故作不知，企图获得其他妥协。命运静静等待一侧，旁观你辗转煎熬，最终会逼迫你把脚步移向注定的一格。,放下,安妮宝贝,《眠空》
27,如果没有痴迷过黑暗，被它反复撞击到片片碎裂，不可能放下执着。遇见生命中刚硬而深沉的黑暗，也许是一种殊遇。它使你成为俯首探望过深渊的人。,放下,安妮宝贝,《眠空》
28,我们可以选择完全的放下，或者完全的承担。唯独不能伪装一个懒怠的理所当然的姿势。你尽可拖延和故作不知，企图获得其他妥协。命运静静等待一侧，旁观你辗转煎熬，最终会逼迫你把脚步移向注定的第一格。,放下,安妮宝贝,《眠空》
29,我们清醒地穿过梦境：我们自己只不过是过去的岁月的一个幽灵。,放下,弗兰兹·卡夫卡,《变形记》
30,这是我一生中最乐意做的事，这里是我最好的安息之所。,放下,狄更斯,《双城记》
31,明一些事，若细想，就不是那么回事，若不细想，不就是那么回事。,放下,唐七公子,《三生三世枕上书》
32,一个做太太的，先拿了丈夫的心，再拿他的薪水，控制他的胃，再将他的脚绑上一条细细的长线放在她视力所及的地方走走；她以爱心做为理由，像蜘蛛一样的织好了一张甜蜜的网，她要丈夫在她的网里面唯命是从；她的家也就是她的城堡，而城堡对外面的那座吊桥，却再也不肯放下来了。,放下,三毛,《稻草人手记》
33,战，战，战！苦海无边！我就要横渡！不横渡，又怎么知道苦海无边！放下屠刀，立地成佛，那也得先有屠刀，才能放下，没有屠刀，怎么放下！没有屠刀，怎么成佛！,放下,梦入神机,《阳神》
34,世间一切，皆如浮云，我何必存一执念呢？弃心中之赘石，以出世之心，以入世之姿，来面那人世浮华。,放下,辰东,《神墓》
35,千年之后，我们再回首，也许一切都将淡如风。,放下,辰东,《神墓》
36,放下，原来可以毫无来由。,放下,安宁,《温暖的弦》
37,莫思身外无穷事，且尽生前有限杯。,放下,杜甫,《杜工部集》
38,心所欲，自在，放下，不被左右。佛在吾心，吾心淡然。,放下,刘涛,《佚名》
39,人生是漫长的，未来是美好的！过去或许艰难而痛苦，但只要放下过去，想往美好，做好自己，生活就是幸福的。,放下,,
40,接到你的来信，我一分钟也没耽误，立刻放下手头的事给你回信，省得落你埋怨，谁能拒绝一个美人的要求呢？即使她也是女人，开句玩笑。我不想过多的安慰你，这种时候，任何安慰都是很空洞的，只希望你要坚强，要挺住。,放下,都梁,《亮剑》
