,text,tag,author,from_book
0,"教育是通往更加美好生活的阶梯。良好的教育可以改善受教育者的人生。我们每个人不仅有责任学习和传承知识,还有责任改进和发展知识,让知识对后代更有用、更有影响力。",教育,苏世民,《苏世民：我的经验与教训》
1,我们的社会安全网，我们的教育体制，永远控制不了那些加害者。,教育,林君阳,《我们与恶的距离》
2,小朋友的问题，多半的源头都是家庭啊。,教育,林君阳,《我们与恶的距离》
3,今天的世界惟科技马首是瞻，人格养成没有了。都是乱的不成器的，教育只是贩卖知识，这是根本乱源，是苦恼之源。只有科学，科技，哲学，宗教，文艺，人格养成教育回归一体，回归本为，均衡发展，才有希望。,教育,南怀瑾,《佚名》
4,得意时不忘形，失意时不消沉，每天每日勤奋工作，这比什么都重要。,教育,稻盛和夫,《干法》
5,过分强调尊重孩子的自主性，结果变成放任自流。只给自由，但与自由结对成双的义务，却几乎不教。做人最起码的道德，参与社会生活的最低限度的规则，我们都严重地忽略了。 ——真是要反思。很多家长把不守规矩当作活泼可爱，把不讲道理当作独立自主。家长和孩子都需要受教育啊！,教育,稻盛和夫,《活法》
6,我受过高等教育的爸爸总是鼓励我去一家大公司找个好工作。他的价值观是：“顺着公司的梯子，一步步往上爬”。他不知道，仅仅依赖雇主的工资，就永远只能是一头乖乖待挤的奶牛。,教育,罗伯特·清崎,《富爸爸穷爸爸》
7,他受过教育的父亲鼓励他成为聪明人，而他富有的父亲则鼓励他雇佣聪明人。,教育,罗伯特·清崎,《富爸爸穷爸爸》
8,还是孩子的时候，我受过教育的爸爸鼓励我找份安定的工作，而富爸爸则鼓励我开始获得我所喜爱的资产，“因为如果你不爱它，就不会关心它”。,教育,罗伯特·清崎,《富爸爸穷爸爸》
9,如果你知道自己在某一问题上有所欠缺，你就应该找一本本领域的专家或是一本相关的书，马上开始教育自己。,教育,罗伯特·清崎,《富爸爸穷爸爸》
10,单靠金钱无法解决钱的问题。单靠努力工作也不能解决钱的问题。单靠教育也不能解决钱的问题。拥有一份工作也不能解决钱的问题。,教育,罗伯特·清崎,《富爸爸提高你的财商》
11,信息 + 教育 = 知识。,教育,罗伯特·清崎,《富爸爸提高你的财商》
12,钱不是生命中最重要的东西，但钱影响着我们的全部生活，钱很重要。仔细思考一下就会发现，金钱影响了我们的生活水平、健康状况和受教育程度。研究表明，穷人的健康状况比较差，受教育程度比较低，而且平均寿命比较短。,教育,罗伯特·清崎,《富爸爸提高你的财商》
13,教育系统的一大失败在于不能给学生提供财商教育。缺乏财商教育是我们的教育系统既残酷又充满罪恶的耻辱。,教育,罗伯特·清崎,《富爸爸提高你的财商》
14,一个人若要变得富有，就必须培养五种核心智慧。,教育,罗伯特·清崎,《富爸爸提高你的财商》
15,使一个人富有的，并不是房地产、股票、共同基金、生意或金钱，而是信息、知识、智慧和实践技能，这些统称为理财智慧。,教育,罗伯特·清崎,《富爸爸提高你的财商》
16,性格倾向×外在环境×各种教育×生活事件×前世业力(如果你相信的话)=人生模式,教育,张德芬,《遇见未知的自己》
17,教会孩子在困难面前从容镇定些，既能减轻痛苦，又能保护自己。,教育,尹建莉,《好妈妈胜过好老师》
18,在教育中，想要孩子接受什么，就去诱惑他；想要他排斥什么，就去强迫他。,教育,尹建莉,《好妈妈胜过好老师》
19,凡出于经验的或心不在焉的过错，只要不涉及道德问题，都不必指责或发火，甚至不需要提出来，孩子自己会在这种过程中感受不便和损失，知道以后该如何做。,教育,尹建莉,《好妈妈胜过好老师》
20,双眼自将秋水洗，一生不受古人欺。,教育,袁枚,《随园诗话》
21,教师的作用，便是引导学生“不要做一辆该死的弹药车；要做一支来复枪！”做一个有智慧的人，而不是被知识的重量所压垮的人。,教育,卡尔·罗杰斯,《佚名》
22,学习不应该成为孩子们的悲剧。,教育,亨利克·显克维支,
23,一个人如果胸无大志，既使再有壮丽的举动也称不上是伟人。,教育,拉罗什夫科,《箴言录》
24,永远别以为敌人比你愚蠢！,教育,拿破仑,《拿破仑文选》
25,一个人应养成信赖自己的习惯营销管理，即使在最危急的时候，也要相信自己的勇敢与毅力。,教育,拿破仑,《拿破仑文选》
26,科学书籍让人免于愚昧，而文艺作品则使人摆脱粗鄙；对真正的教育和对人们的幸福来说，二者同样的有益和必要。,教育,车尔尼雪夫斯基,《佚名》
27,要把学生造就成一种什么人，自己就应当是什么人。,教育,车尔尼雪夫斯基,《佚名》
28,凡欲为大医，必须谙《素问》、《甲乙》……等诸部经方，又须妙解阴阳禄命，诸家相法，及灼龟五兆、《周易》六壬，并须精熟，如此乃得为大医。,教育,孙思邈,《千金要方》
29,学校之盛衰，关系天下之盛衰也。,教育,黄宗羲,《黄宗羲全集》
30,学校所以养士也。然古之圣王，其意不仅此也，必使治天下之具皆出于学校，而后设学校之意始备。……是故养士为学校之一事，而学校不仅为养士而设也。,教育,黄宗羲,《黄宗羲全集》
31,省费医贫，恬退医躁，独卧医淫，随缘医愁，读书医俗。,教育,金缨,《格言联璧》
32,公生明，诚生明，从容生明。,教育,金缨,《格言联璧》
33,眼界要阔，遍历名山大川；度量要宏，熟读五经诸史。,教育,金缨,《格言联璧》
34,允许孩子们以他们自己的方式获得快乐，难道还有比这更好的方法。,教育,塞缪尔·约翰逊,《诗人传》
35,礼，所以正身也；师，所以正礼也。,教育,荀况,《荀子》
36,恭敬，礼也；谦和，乐也；谨慎，利也；斗怒，害也。,教育,荀况,《荀子》
37,学无止境。,教育,荀况,《荀子》
38,尊严而惮，可以为师。,教育,荀况,《荀子》
39,国将兴，必贵师而重傅；国将衰，必轻师而贱傅。,教育,荀况,《荀子》
40,长话短说，为了滋养民众的灵魂，让大众的心灵永远保持着净化的势态，就必须凭借行之有效的教育，否则必然等到自然灾害和病毒的鞭策！我再次呼吁把【人格修养学】纳入中学教学计划，把【为善向上，求进务实！】作为家训传播开去，同时作为校训在全国大力推广！,教育,,
41,教育是什么？,教育,,
42,【关于文化】依据东西方辞书解释，它是相对于政治、经济而言的人类全部精神活动及其活动的产品。而文明则指文化成果的精华部分。在我个人看来，文化最靠谱的解读有四点：,教育,,
43,善良是什么？,教育,,
44,思想是什么？思想是人生命运的主宰。,教育,,
45,身若寒凉，就走近太阳，吸收能量，茁壮成长；,教育,,
46,【真正的教育】应该高举【善良正义文明自由】的大旗，弘扬【真善美】的历史主题，服务于“人类生存和幸福”的伟大目标，接受良知而非利益的指引。教育的出发点和落脚点是完全统一的，都在【好人】二字。教育的最高境界在于使人觉悟。——唐王紫苏,教育,,
47,教育在顺境中是装饰品，在逆境中是避难所。,教育,亚里士多德,
48,为什么这么多大人热衷于把自己的小孩训练成一个车间出产的标准产品，不惜牺牲孩子的想象力，创造力以及独立思考的能力。,教育,乔一,《我不喜欢这世界，我只喜欢你》
49,教书不仅是传授知识，更重要的是教人，教育后一代成长为具有共产主义思想品质的人。因此，学师范，做人民教师的人，他的思想品质的好坏，也就格外显得重要。,教育,徐特立,《徐特立教育文集》
50,从人类知识能力道德出发来看小学教师的地位，小学教师是掌握人类的基础教育者。为着爱护儿童，必须爱护小学教师。,教育,徐特立,《徐特立教育文集》
51,在教育界立身的人，应该以教育为唯一的趣味更不消说了。一个人若是在教育上不感觉有趣味，我劝他立刻改行。,教育,徐特立,《徐特立教育文集》
