,text,tag,author,from_book
0,"一生一次，不复存在,Une fois dans une vie, ne plus exister,到了明日就会错过，正如春天只有一个五月。 peut-être juste un fantasme,Une fois dans une vie, 兴许只是一片空想.一生只有一次，to'll manquer demain, car il n'y a qu'un seul ressort en mai.",春天,堀辰雄,《起风了》
1,春天渐渐变深的时候，你离我而去了。好像惊雷过后的静寂雨夜，水声喧哗，湿气浑浊，哪里都不可去，只是待在家里，守着黑暗的窗。就在前些天，我在午间昏睡后醒来，看到蜜糖一样温软的阳光轻轻地铺在墙上，这样寂寞这样安静，便感到了“草堂春睡足，窗外日迟迟”这句诗的落达意味，就在纸上对你说，我们这一生，会遇到多少人，缘分皆朝生暮死脆弱如露水，唯独与你，像是一条生生不息的河流。,春天,七堇年,《尘曲》
2,有冬日彻骨之寒，方知春之柔暖，若都是春天怕是也没意思了。,春天,饶俊,《醉玲珑》
3,在一起的那几年，最想要的时光，是一起看四季更替，晴雨霜雪。,春天,白槿湖,《如果巴黎不快乐Ⅲ》
4,有些喜欢就像在春天里撒下的一颗种子，经过雨水，经过阳光，经过时间，最后变成一株好看的花儿，虽然它看起来弱不禁风，但再大的风，也吹不散它的花瓣。,春天,关东野客,《我有一杯酒，可以慰风尘》
5,谷仓里的生活非常好——不管白天还是黑夜，冬天夏天，春天秋天，阴沉日子清朗日子。威尔伯想，这真是个最好的地方，这温馨可爱的仓底，有嘎嘎不休的鹅，有变换不同的季节，有太阳的温暖，有燕子来去，有老鼠在附近，有单调没变化的羊，有蜘蛛的爱，有肥料的气味，有所有值得称赞的东西。,春天,E·B·怀特,《夏洛的网》
6,春天忘了播种，夏天忙着享乐，秋天能收获什么呢？耕种是一个自然体系，必须付出代价，一步一步完成。一分耕耘，一分收获，没有捷径可循。,春天,史蒂芬·柯维,《高效能人士的七个习惯》
7,这是一个阴郁的、令人失魂落魄的黑夜。白昼的光一点点地从没有涂漆的破旧白木窗框退出去，象生命一点点地离开肉体。而与此同时，料峭和春寒一点点地从破旧的窗框、从土墙的各处细小的缝隙中向里浸润，使屋里的空气渐渐凝缩起来，土房如坟墓般地阴森。田野中的那片树林，虽然还没有绽开绿叶，但树干已经灌满春天的浆汁，变得柔软了的枝条，在晚风中发出百无聊赖的飒飒声。这是一个既使人失望又给人希望的黑夜。我头枕着手掌，仰面躺在炕上，一只灰色的小蜘蛛，悄悄地在报纸糊的顶棚上爬行，仿佛象人一样，也在寻找一条适合自己生存和发展的“语录”。原来，今天是“惊蛰”，各种小虫虫都要在今天爬出来。,春天,张贤亮,《男人的一半是女人》
8,春天越来越深。我们走在漫长的路上，就像是在春天深处行走。,春天,阿来,《尘埃落定》
9,在这个世界上，如果说有什么东西叫人觉得比土司家的银子还多，那就是时间。好多时候，时间实在是太漫长了。我们早上起来，就在等待天黑，春天刚刚播种，就开始盼望收获。由于我们的领地是那样宽广，时间也因此显得无穷无尽。,春天,阿来,《尘埃落定》
