,text,tag,author,from_book
0,蒸腾的烟雾中，时而像远古猛兽，时而像婀娜美女，时而幻化现代城镇，时而又像宇宙浩渺，光怪陆离，如梦如幻。,景色,何马,《藏地密码》
1,穿过茫茫雪山，那里有金顶和巍峨的大殿，正殿里威武的金刚对一个五六岁的小女孩来说，显得如此巨大，摇曳的灯火照得金刚的影子在墙上扭动。,景色,何马,《藏地密码》
2,仰望苍穹，满天星斗，一轮明月，皓照夜空，那些点点繁星连成一条银链，仿佛在夜空中流动，银河，那就是无穷宇宙展示给人类的自然之美。,景色,何马,《藏地密码》
3,此时远方的日头开始西沉，这是我第一次看到秦岭的落日，昏红的圆形缓缓浸入青灰色的山脉之间，那番场景，就像是把一面烧至赤红的汉代铜镜淬入冰冷的水中，就连周边的云霭都变得红彤彤一片。,景色,马伯庸,《古董局中局》
4,"草原的夜空,一道绚烂的银河横贯当中,镶满了璀璨的星子,那种神秘的幽暗深邃,只要看上几眼,就会令人不由自主地沉醉其中。越是凝望这辽阔的天空与一望无际的草原,就越觉得自身渺小。",景色,玄色,《哑舍》
5,明明烈阳当空，但前方那座断山却夜幕降临，碧海涌动，潮起潮落，一轮明月悬挂，让人感觉到了阵阵空明，虽有涛声，但却有一种安谧与祥和的气氛。海上升明月！,景色,辰东,《遮天》
6,九月寒露过后，天气降温的速度变得愈发明显了，大雨降下的时候，江宁城中仿似雾茫茫的一片片。深秋的雨没有夏日那般喧闹，像是带着冬日将临的寒意，一丝一毫的都要渗进人的衣服里。,景色,愤怒的香蕉,《赘婿》
7,清晨时分，白色的雾气又弥漫了江宁城，明媚的照样正从雾气上方升腾起来，喷薄出壮丽的晨曦。,景色,愤怒的香蕉,《赘婿》
8,秋日的清晨，东方的天气刚刚露出微微的光芒，乳白的雾气浮动在古老的城市当中，秦淮河上画舫缓缓行驶，掩映在一片一片的浓雾间，犹如浮于天际的玉宇琼宫。,景色,愤怒的香蕉,《赘婿》
9,在河上雾蒙蒙的阳光下，烈日炎炎，河两岸仿佛隐没不见，大河像是与远天相接。河水流滚滚向前，寂无声息，如同血液在人体里周流。,景色,杜拉斯,《情人》
10,一年到头，黄昏总是在同一时刻降临。暮色非常短促，几乎骤然而至。每逢雨季，整整几个星期看不见天日，天空总是雾气沉沉，就连月光也无法透过。而旱季则恰恰相反，万里睛空，洁白如洗。即使那些没有月亮的夜晚也仍然光亮可见。大地上，水面上，公路上和墙壁上，投下了一个个平行的影子。 我记不清白天的景象。因为阳光的照射使自然的色彩失去了光泽，遭受了破坏。而夜间的景象，我却记得一清二楚。那蓝色就在天际的尽端，在那浓云密雾的后面，覆盖着整个世界的天穹，对我来说，天空就是这蓝色底下的纯洁的光迹，这种混合的冷色赛过其他任何颜色。,景色,杜拉斯,《情人》
11,阳光普照，给荒原涂上了一抹亮色，,景色,克莱儿·麦克福尔,《摆渡人》
12,日落时分，橘红色，鲜红色和酒红色的余晖交织在一起，无比的灿烂辉煌。,景色,克莱儿·麦克福尔,《摆渡人》
13,阳光透过窗子射进来，空气中四下飞舞的灰尘在阳光下闪烁着金黄色的光芒。,景色,克莱儿·麦克福尔,《摆渡人》
