,text,tag,author,from_book
0,岂能尽如人意，但求问心无愧。,格言,老猪,《紫川》
1,我们讨论的起始点是“需要乃发明之母”这个格言所表达的普遍观点。就是说，发明的出现可能是由于社会有一种未得到满足的需要：人们普遍承认，某种技术是不能令人满意的，或是作用有限的。,格言,贾雷德·戴蒙德,《枪炮、病菌与钢铁》
2,some things，you can't fight.some things you just have to live with.,格言,格里格·伯兰蒂,《闪电侠》
3,And shall come forth；they that have done good，unto the resurrection of life,格言,罗伯特·柯克曼,《行尸走肉》
4,You’ll try and succeed. 你尽力就成功了,格言,罗伯特·柯克曼,《行尸走肉》
5,"If it feels easy, don't do it. Don't let the world spoil you.",格言,罗伯特·柯克曼,《行尸走肉》
6,西郊芳草年年绿，多少游人似去年？,格言,张恨水,《金粉世家》
7,同沟流水出东墙，一叶芭蕉篆字香。不道水空消息断，只从鸦背看斜阳。,格言,张恨水,《金粉世家》
8,"help me, help you.",格言,迈克尔·道布斯,《纸牌屋》
9,Treading water's the same as drowning for people like you and me.,格言,迈克尔·道布斯,《纸牌屋》
10,So be it.,格言,迈克尔·道布斯,《纸牌屋》
11,野心之举无不是赌博,格言,乔治·马丁,《权力的游戏》
12,Lannister always pay his debts.,格言,乔治·马丁,《权力的游戏》
13,太阳下山以后，蜡烛无法代替,格言,乔治·马丁,《权力的游戏》
14,Valar Morghulis，Valar Dohaeris,格言,乔治·马丁,《权力的游戏》
15,雄狮从不在乎羊群的想法。,格言,乔治·马丁,《权力的游戏》
16,Valar morghulis,格言,乔治·马丁,《权力的游戏》
17,舍不得银子上不着妞呀。,格言,迈克尔·帕特里克·金,《破产姐妹》
18,"When you fake smile, everybody else fakes smile back.",格言,迈克尔·帕特里克·金,《破产姐妹》
19,The heart wants what it wants.,格言,迈克尔·帕特里克·金,《破产姐妹》
20,尽说神仙事渺茫，谁人能脱利名缰？,格言,冯梦龙,《醒世恒言》
21,凡事但将天理念，安心自有福来迎。,格言,冯梦龙,《醒世恒言》
22,须将有日思无日，休想今人似昔人。,格言,冯梦龙,《醒世恒言》
23,夫妻本是鸳鸯鸟，一对栖时一对飞。,格言,冯梦龙,《醒世恒言》
24,盛衰有命天为主，祸福无门人自生。,格言,冯梦龙,《醒世恒言》
25,得放手时须放手，可施恩处便施恩,格言,冯梦龙,《醒世恒言》
26,云端看厮杀，毕竟孰输赢？,格言,冯梦龙,《醒世恒言》
27,铜盆撞了铁扫帚，恶人自有恶人磨。,格言,冯梦龙,《醒世恒言》
28,但存夫子三分礼，不犯萧何六尺条。,格言,冯梦龙,《醒世恒言》
29,人有逆天之时，天无绝人之路。万事不由人计较，一生都是命安排。,格言,冯梦龙,《醒世恒言》
30,言可省时休便说，步宜少时莫胡行。,格言,冯梦龙,《醒世恒言》
31,机不密，祸先行。,格言,冯梦龙,《醒世恒言》
32,踏破铁鞋无觅处，得来全不费工夫。,格言,冯梦龙,《醒世恒言》
33,后人请看前人样，莫使前人笑后人。,格言,冯梦龙,《醒世恒言》
34,万贯钱财如粪土，一分仁义值千金。,格言,冯梦龙,《醒世恒言》
35,运退黄金无色，时来铁也增光。,格言,冯梦龙,《醒世恒言》
36,理直千人必往，心亏寸步难移。,格言,冯梦龙,《醒世恒言》
37,舌为利害本，口是祸福门。,格言,冯梦龙,《醒世恒言》
38,潇洒亭轩，清虚户牖。画展江南烟景，香焚真腊沉檀。庭前修竹，风摇一派珮环声；帘外奇花，日照千层锦绣色。松阴入槛琴书润，山色侵轩枕簟凉。,格言,冯梦龙,《醒世恒言》
39,受用须从勤苦得，淫奢必定祸灾生。,格言,冯梦龙,《醒世恒言》
40,人逢喜信精神爽，话合心机意趣投。,格言,冯梦龙,《醒世恒言》
