,text,tag,author,from_book
0,十年之前我们是朋友，十年之后还可以做朋友。时间是多么残酷的东西，他可以让爱情变成亲情，但是同样，它也可以让爱情变得面目全非。,残酷,刘惠宁,《相爱十年》
1,这就是爱么？,残酷,雷米,《心理罪》
2,真正的战场，不会让人有江山壮丽的感叹。如果非要以壮阔来形容，这幅画卷是以大地伏尸为背景，以白骨与鲜血为笔墨，以生命之花的凋零为点缀，有的只是残酷。,残酷,辰东,《遮天》
3,这条路很长，也很残酷，征战到最后还不知道要死多少人，脚踏血与骨前行，注定了一世的沉重，更有无尽的凄凉。,残酷,辰东,《遮天》
4,只知些许眼前利益，却看不到自身的脆弱。其实道德真正束缚住的不是升斗小民，那些有能力有力量有智慧的人，才是被束缚得最多的，道德这东西一旦放开，普通人沾点蝇头小利，沾沾自喜，他们不知道这个时候那些大人物，枷锁每放开一点点，他们伤害的就是千百人的利益和人命。人性这东西，很有趣，也很残酷，好与坏都是混在一起的，如果你想要好的东西，那就要努力，总觉得跟自己一点关系都没有的话，也许忽然有一天，道德降到某个程度以下，就什么都没有了。,残酷,愤怒的香蕉,《赘婿》
5,这场耗费家族倾国之力的远征战争，终于还是功亏一篑了。今天，远征军团将撤离瓦恩斯塔，踏上回 国的征程。此刻自己所处的位置，将是距离魔神堡最近的地方了。 也是距离她最近的地方。 也许，我们真的没法再见面了。 此刻，斯特林心头充满着淡淡的欢喜，淡淡的忧伤，微微的酸涩，那是一种自青春少年后久不曾有过 的熟悉感觉，似忧伤，又似失望。 上天是仁慈的，他终于不让你我对决于沙场。 上天是残酷的，他终于不让你我再见一面。 邂逅你，是我一生最大的幸运，也是我最大的不幸。 我爱的姑娘，我想你想得好辛苦。多少次梦魂牵绕，佳人笑颜如花。醒来时，最终只得心头那一阵阵的刺痛，那种真切的、像是心脏被挖走一块肉般疼痛，让自己疼得无法呼吸。,残酷,老猪,《紫川》
6,我并不是旷世不存的女生。世界残酷，我卸下所有盔甲，赤子相待。简晨烨，你是离我最遥远的一颗星球。,残酷,独木舟,《一粒红尘》
7,一直生活在恐惧中，从不追求自己的梦想，这是残酷的。为钱拼命工作，以为钱能买来快乐，这也是残酷的。,残酷,罗伯特·清崎,《富爸爸穷爸爸》
8,教育系统的一大失败在于不能给学生提供财商教育。缺乏财商教育是我们的教育系统既残酷又充满罪恶的耻辱。,残酷,罗伯特·清崎,《富爸爸提高你的财商》
9,事实往往极为残酷，人却难得糊涂。,残酷,饶俊,《醉玲珑》
10,“如果错过了太阳时你流了泪，那么你也要错过群星了。”泰戈尔总是说些看似温暖实则残酷的话。,残酷,李木戈,《暗恋橘生淮南》
11,她一直觉得学校是个很残酷的地方，一座一座，安静地伫立在荒凉的时间轴上，把青春固定在狭小的空间里，苦涩的奋战中，还要自欺欺人地说青春无悔愿赌服输。明明处在最美好的年华中，却要听信年长者的欺骗而把快乐与希望寄托于毕业和长大。它们张大嘴吞吐着一代又一代人，从不留恋过往，只是漠然的看着像洛枳这样的可怜人回头寻找记忆，却提供不了一丝余温。,残酷,李木戈,《暗恋橘生淮南》
12,年龄的差距，都可以克服掉都可以，依然那么登对，一看就是夫妻。为什么出生、家庭背景的差距，会这样残酷，一张支票，就可以买断一份爱情。,残酷,白槿湖,《如果巴黎不快乐》
13,生命的残酷在于，我们来时不得不来，走时又不得不走。,残酷,关东野客,《我有一杯酒，可以慰风尘》
14,每个人心里都有些事儿，美好或甜蜜，残酷或绝望，但也会有一些这辈子都不愿再提及，就像一颗种子埋在心里，它只能往下生长，时间越久扎得越深，等你再想拽出来的时候，它已经和心长在一起了，只要轻轻碰触，就会钻心地疼痛。,残酷,关东野客,《我有一杯酒，可以慰风尘》
