,text,tag,author,from_book
0,他们没本事让我们搞清楚，就想办法把我们搞糊涂。,毒鸡汤,周立波,《壹周·立波秀》
1,我们往往逃不过现世的裁判；我们树立下血的榜样，教会别人杀人，结果反而自己被人所杀；把毒药投入酒杯里的人，结果也会自己饮鸩而死，这就是一丝不爽的报应。,毒鸡汤,莎士比亚,《奥赛罗》
2,从一个学者口中倾注给另一个学者的恭维，只不过是一瓶加了蜜的苦胆汁而已。,毒鸡汤,雨果,《巴黎圣母院》
3,犯罪，就像死亡一样，并不局限于老奸巨猾，外形干瘪的人。年轻漂亮的人也经常成为它选中的牺牲品。,毒鸡汤,狄更斯,《雾都孤儿》
4,有人说暴力不能解决问题，确实，暴力不能解决所有问题，但可以解决一部分关键问题，而对我来说那部分关键问题已经足够了。,毒鸡汤,渡航,《我的青春恋爱物语果然有问题》
5,让某个人承受痛苦，再把那个人除掉，这就是我为人人。,毒鸡汤,渡航,《我的青春恋爱物语果然有问题》
6,所谓的「改变自己，世界就会随之改变」这种事，是不可能的。,毒鸡汤,渡航,《我的青春恋爱物语果然有问题》
7,成功人士给你灌鸡汤,毒鸡汤,佚名,《佚名》
8,我们不能够没有谎言，是因为我们觉得我们被剥夺的其实不仅仅是说谎的权利，还有我们向别人冷漠的权利,毒鸡汤,肖骁,《奇葩说》
9,人们都说玉是最坚贞的东西，其实那是傻话，往往最珍惜昂贵的玉就最容易碎，另外，黄金也很软，“情比金坚”都是谎言，钻石禁不起高温，琉璃也太脆。越是好的东西就越留不得在身边。,毒鸡汤,辛夷坞,《我在回忆里等你》
10,不可耻，但可悲。,毒鸡汤,常书欣,《余罪》
11,这年头骗子跟理想主义者很难区分，我通常会这样判断：只谈方向不提供方法的，就是骗子；既谈方向又能提供方法的，才是理想主义者和建设者。,毒鸡汤,白岩松,《白说》
12,董桥诗意地说：“中年是一杯下午茶。”其实没那么浪漫，青春一去不返，死亡的影子依稀就在前方。,毒鸡汤,白岩松,《白说》
13,我还要说，“坚持就是胜利”这句话有点绝对了。相当多的时候，“坚持就是失败”，因为坚持往往意味着你不好奇了，不从中享受乐趣了。为了坚持而坚持，怎么可能带来胜利呢？,毒鸡汤,白岩松,《白说》
14,许多人所谓的追逐梦想，就是不想要辛苦努力地付出，还可以轻松自由地生活。生活就该像这只贱贱的猫，喝掉毒鸡汤，然后豁达向上。,毒鸡汤,佚名,《佚名》
15,很多朋友喜欢分享旅游经验，看着他们把钱花光出去走一趟。回来后生活没有任何改变，我就感到放心了。,毒鸡汤,佚名,《佚名》
16,盖茨休学创业成了世界富翁，但人家休的是哈佛大学,毒鸡汤,佚名,《佚名》
17,你们之所以喝鸡汤，是因为肉被别人吃了。,毒鸡汤,佚名,《佚名》
18,看起来最容易陷入恋爱的人，其实是最喜新厌旧的人呢。,毒鸡汤,安倍夜郎,《深夜食堂》
19,我在等白马王子。殿下，醒醒吧，您不是公主，您是女王。,毒鸡汤,李宫俊,《李宫俊的诗》
20,你看别人不顺眼，是因为你修养不够。,毒鸡汤,卢思浩,《愿有人陪你颠沛流离》
21,永远要记得，不管你是怎样的德行，你都是你父母的安全感。,毒鸡汤,卢思浩,《愿有人陪你颠沛流离》
22,虽然婚姻这个上层建筑，已经越来越不能适应经济基础的发展，但多数人对亲密关系又有不懈的渴望和追求，多么矛盾啊，既想得到又不想为得到所束缚。,毒鸡汤,刘瑜,《送你一颗子弹》
23,明月几时有，自个抬头瞅。,毒鸡汤,大张伟,《大张伟金句》
24,生活它像头驴，着急了真踢你。,毒鸡汤,大张伟,《大张伟金句》
25,不是每句“对不起”都会换来“没关系”，但每句“你大爷”都会换来“你大爷”。,毒鸡汤,大张伟,《大张伟金句》
26,要想生活过得去，头上就要带点绿。,毒鸡汤,大张伟,《大张伟金句》
27,天若有情天亦老，人若有情死得早。,毒鸡汤,大张伟,《大张伟金句》
28,有缘千里来相会，无缘倒也省话费。,毒鸡汤,大张伟,《大张伟金句》
29,没有人能让你放弃梦想，你自己试试就放弃了。,毒鸡汤,大张伟,《大张伟金句》
30,你把这个世界分析漏了都没有用，它根本不按你想的来。,毒鸡汤,大张伟,《大张伟金句》
31,五十块钱再好它也没有一百块钱招人喜欢。,毒鸡汤,大张伟,《大张伟金句》
32,人生就是六个字：“怎么着都不行”。,毒鸡汤,大张伟,《大张伟金句》
33,路见不平，绕道而行。,毒鸡汤,大张伟,《大张伟金句》
34,世上无难事，只要肯放弃。,毒鸡汤,大张伟,《大张伟金句》
35,江湖险恶，不行就撤。,毒鸡汤,大张伟,《大张伟金句》
36,我有个朋友停止了抱怨，开始努力奋斗，几年过去了还是这个鸟样。,毒鸡汤,佚名,《佚名》
37,挣钱是一种能力，花钱是一种技术，我能力有限技术却很高。,毒鸡汤,佚名,《佚名》
38,同学帮我补习了三个月，终于，他的成绩也降下来了。,毒鸡汤,佚名,《佚名》
39,感情是互补的，只要你一直对他好，他就永远不会把你当回事儿。,毒鸡汤,佚名,《佚名》
40,卸妆对你来说，又叫洗钱。,毒鸡汤,佚名,《佚名》
41,世界上的心灵鸡汤太多，只告诉你要坚持，却没有人告诉你在一条错误的路上怎么绝处逢生。,毒鸡汤,李尚龙,《你只是看起来很努力》
