,text,tag,author,from_book
0,这儿就跟战场一样，打了四年仗，最后连逃，都逃得那么狼狈。,比喻,刘惠宁,
1,这一个又一个疑问，如同一群活蹦乱跳的绿油皮大肚子蝈蝈，接二连三地从打开了盖子的草笼里蹦跳出来，在我眼前转悠，蹦跶。,比喻,马伯庸,《古董局中局》
2,好像一个按了暂停键的世界……如果有倒带键，那就更好了。,比喻,七堇年,《尘曲》
3,人们又是多么的渴望能找到一个可以彻夜交心的人，像散佚的诗篇，矢志寻觅与自己押韵的诗行。,比喻,七堇年,《尘曲》
4,“沙漠”，这里一个多么令人无奈的比喻，然而生活又却是如此，我们无时不刻处在“沙漠”的包围之中。,比喻,杜拉斯,《情人》
5,眼前一片璀璨光芒,比喻,克莱儿·麦克福尔,《摆渡人》
6,“北京像个淘金场，个个觉得自己是龙胎凤种 ，太闹了。”,比喻,豆豆,《天道》
7,丁元英：人们看自己的女儿、姐妹，再年轻漂亮，也不会缘起美女的认知。,比喻,豆豆,《天道》
8,私募基金是没爹没娘的买卖，一边做生意，一边得准备拼刀子，脑后还得长只眼睛看脸色。,比喻,豆豆,《天道》
9,你是我的桥,比喻,兰晓龙,《好家伙》
10,孔明灯真的很漂亮，就像是星星流过天河的声音。,比喻,小吉祥天,《灵魂摆渡》
11,做个形象的比喻：学习能力的构建好比盖房子，“语言系统”就相当于工具，“智力背景”相当于工程背景（地基勘探水平、工程设计水平、工人技术水平、施工管理水平等无形但重要的内容）。有好的工具和完善的工程背景，整个盖房子过程就是件比较轻松的事，也能保*质量；如果工具和背景都差，施工质量就可想而知了。,比喻,尹建莉,《好妈妈胜过好老师》
12,它是一扇有益之门。,比喻,斯宾塞·约翰逊,《谁动了我的奶酪？》
13,在日本，最底层的社会单位是家庭，每个成员都有义务为这个最低的单位牺牲和服务，就像手臂之于身体的关系。而西方社会最底层的社会单位则是个人。,比喻,鲁思·本尼迪克特,《菊与刀》
14,打一个可笑的比喻，我就像一只牛虻，整天到处叮住你们不放，唤醒你们、说服你们、指责你们。,比喻,《全球通史》,
15,可以说，在没有理解能力的人身上，党把它的世界观灌输给他们最为成功。最明显不过的违反现实的东西，都可以使他们相信，因为他们从来不理解，对他们的要求是何等荒唐，因为他们对社会大事不发生兴趣，从来不去注意发生了什么事情。正是由于缺乏理解，他们没有发疯。他们什么都一口吞下，吞下的东西对他们并无害处，因为没有残渣遗留，就像一粒玉米粒不加消化地通过一只鸟的体内一样。,比喻,乔治·奥威尔,《一九八四》
16,校书如扫尘，一面扫，一面生。故有一书每三四校，犹有脱谬。,比喻,沈括,《梦溪笔谈》
17,一举首登龙虎榜，十年身到凤凰池。,比喻,沈括,《梦溪笔谈》
18,颂莲看见了自己修长姣好的双腿，它们像一道漫坡而下的细沙向下塌陷，它们温情而热烈地靠近目标。,比喻,苏童,《妻妾成群》
19,雁儿端了一盆水在海棠树下洗头，洗得委屈，心里的气恨像一块铁坠在那里。,比喻,苏童,《妻妾成群》
20,大自然是一本书，是思维的摇篮。,比喻,苏霍姆林斯基,《苏霍姆林斯基教育名言》
21,情感如同肥沃的土壤，知识的种子就播在土壤里。,比喻,苏霍姆林斯基,《苏霍姆林斯基教育名言》
22,家庭问题是盒不安全火柴，最好不要随便去擦它吧,比喻,三毛,《温柔的夜》
23,只有当每个少年从教育者那儿得到“活水”，他们的才干才能发挥出来。,比喻,苏霍姆林斯基,《苏霍姆林斯基教育名言》
24,就是五万多头猪，共军抓三天也抓不完！,比喻,都梁,《亮剑》
25,鸾凤食粒于庭，则受辱于鸡鹜也。,比喻,葛洪,《佚名》
26,人之有礼，忧鱼之有水矣。,比喻,葛洪,《佚名》
27,我像一个没经验的登山者，筋疲力尽地攀上了一个自以为无人到过的高度，但环顾四周时却看到了前人留下来的帐篷和他们继续向上延伸的脚印。,比喻,刘慈欣,《球状闪电》
28,那啸叫低沉中透着尖利，让人想到在太古的荒原上，一个鬼魂在吹着埙。,比喻,刘慈欣,《球状闪电》
29,一个是质子，一个是中子，西瓜那么大的质子和中子。我首先把质子切开，它的电荷流到茶几上，黏黏的，发出一股清香；中子让我切成两半后，里面的夸克叮叮当当地滚了出来，都有核桃大小，五颜六色的，在茶几上滚来滚去，有的还滚到了地上。我拾起一个白色的，很硬，但使劲一咬还是咬开了，是马奶提子的美味……,比喻,刘慈欣,《球状闪电》
