,text,tag,author,from_book
0,我从生下来就不知道自己该干点什么。我把自己像五分钱钢镚儿一样扔进江湖上，落下来，不是国徽的一面朝上，也不是麦穗的一面朝上。我这个钢镚儿倒立着，两边不靠。,江湖,冯唐,《活着活着就老了》
1,你不是说有缘江湖再见，我呢，不想坐等缘分天赐，那自然要主动一些了。,江湖,Priest,《山河令》
2,江湖么，走到哪都有是非，朝堂是个名利场，江湖便是个是非场，有人总想不明白这件事，好像仗剑骑马走天涯是件多了不得的事似的，临死都念叨着。,江湖,Priest,《山河令》
3,天涯浪客，唯吾与君足矣。,江湖,Priest,《山河令》
4,一入江湖岁月催，少年子弟江湖老。,江湖,Priest,《山河令》
5,就像是一道深渊，有的人跳过去，便出去了，有的人没过去，便摔死了。而那道深渊，有一个名字，叫做—江湖。,江湖,Priest,《山河令》
6,没有第一的仙经，只有无敌的人，找到适合自已的路，勇往直前，开创出最适合自己的道，才是无敌的。,江湖,辰东,《遮天》
7,英雄者，纵万死，亦不辞！,江湖,辰东,《遮天》
8,缔约结盟，同生共死，绝不背叛。,江湖,李蔚然,《侍神令》
9,和大伙并肩作战，死而无憾，哪怕同归于尽，也不能让他们通过。,江湖,李蔚然,《侍神令》
10,数尽江湖千万峰，无极浩瀚吾心胸，走遍中原到南疆，看我大翼展雄风。魔道崎岖路难通，明日青山又几重，人生运命各不同，但求屹立天地中。誓死奔雷，威震山河动，剑如白虹，出鞘追元凶。也有情深处，何必相约再相逢，自古英雄多寂寞，将相本无种。好男儿莫错过青春，看风云再变，彩云飞扬。,江湖,饶俊,《醉玲珑》
11,相比你众叛亲离与我相依为命，我更希望你得天独厚，应有尽有，被全世界喜爱，哪怕彼此相忘于江湖。,江湖,李木戈,《暗恋橘生淮南》
12,故事的开头，多识惊鸿一瞥，然后一眼万年，故事的结尾，总是渐行渐远，江湖不见。也许相逢都是美好，但结果大多都不尽人意，可生活就是如此，美好在于，我们无法预估它。,江湖,关东野客,《我有一杯酒，可以慰风尘》
13,很多人说爱情是一瞬的，但他们错了，爱情一旦发生就永远不会消失，但你要明白，相爱的人不一定就要在一起的，相濡以沫不如相望于江湖，是望着你不是忘记你，我会用我的余生望着你，祝福你。,江湖,李潇,《好先生》
14,浮生滔滔 心念潇潇,江湖,萧鼎,《青云志》
