,text,tag,author,from_book
0,这样的沉默将我们拉到各自的思绪里。尽管如此，我们却能清楚地感知对方的思绪，即使有时这会让我们深感疼痛。就好比此刻，我固执地认为，这次发生的事情完全是她一直以来为我做出牺牲的结果，只不过这次变成了可以眼见的事实。而同时，她也有她自己的想法，我明明白白地感应得到，节子一直后悔不迭，觉得是自己太过轻率，才一瞬间打碎了我和她二人一直以来小心又再小心才培育起来的东西。,沉默,堀辰雄,《起风了》
1,恨之所在，是沉默据以开始的门槛。,沉默,杜拉斯,《情人》
2,她终于明白了自己一直以来错在哪里。原来她独自一人在这场旷日持久的沉默暗恋中耽搁了太久，对每种难过和伪装驾轻就熟，却从未懂得在两个人的感情世界中，一锤定音的，不是心有灵犀的睿智，不是旗鼓相当的欣赏，更不是死心塌地的仰望。,沉默,李木戈,《暗恋橘生淮南》
3,她真的太肤浅，沉浸在自己的伤怀中，以为沉默着负担了一切，其实从来都不够坦荡宽厚，总是计较着得失利弊。,沉默,李木戈,《暗恋橘生淮南》
4,在这无比紧张的时刻，沉默听起来却如同呐喊。,沉默,克莱儿·麦克福尔,《摆渡人》
5,但凡优秀之人，皆有某段沉默的时光，困苦不抱怨，孤寂不责难，不断地努力攀登，终会在黑暗之夜，寻找到绚丽的盛开。,沉默,白槿湖,《如果巴黎不快乐》
6,回顾过去，当年我和我的大学校友们曾竭力与早期女权主义者划清界限，这样做是不对的，我们应该为她们的努力喝彩。然而，我们却放低音量，以为奋斗已经结束了，结果却因为这样的沉默而受伤。 现在，我会很自豪地宣称自己是女权主义者。如果蒂姆·奥尼尔还在世，我甚至会告诉他我是啦啦队女孩，但是我在为女权主义呐喊。我希望更多的女性、男性和我一起接受这个闪亮的标签。,沉默,雪莉·桑德伯格,《向前一步》
7,亲爱的牧人，从此以后我要保持沉默，还和过去一样呆头呆脑。并且请你千万不要向我的同伴们泄露我有这种本领。如果他们知道我有这个本事，我特别聪明，他们就会联合起来把我咬死、踢死。同时，我也奉劝你，你以后再人们中间也别表现得太突出。把你的知识和思想隐藏起来吧，这样你才能保全你的性命。,沉默,张贤亮,《男人的一半是女人》
8,你们应该向我们学习沉默和冷眼旁观，这才是处世泰然的表现。,沉默,张贤亮,《男人的一半是女人》
9,他的从容，他的沉默，他的独断独行，他的一去不回头，都是力的表现，都是强者适者的表现。决不婆婆妈妈的，决不粘粘搭搭的，一针见血，一刀两断，这正是白种人之所以为白种人。我真是一个矛盾的人。无论如何，我们最要紧的还是看看自己，看看自己的孩子!谁也是上帝之骄子;这和昔日的王侯将相一样，是没有种的!,沉默,朱自清,《朱自清散文集》
10,雪山栅栏中居住的藏族人，面对罪恶时是非不分就像沉默的汉族人；而在没有什么欢乐可言时，却显得那么欢乐又像印度人。,沉默,阿来,《尘埃落定》
11,那种很多人聚在一起而形成的沉默不是一般的寂静，可以使人感到它巨大的压力。,沉默,阿来,《尘埃落定》
12,眼看着工人生活的艰难困苦，成岗心里感到十分痛楚。他在几座工棚里转来转去，想和工人商量。工人却冷淡地用不信任的眼光，打量着新来的管理员，始终保持着沉默，像火山爆发前的沉默。,沉默,杨益言,《红岩》
13,事实上，要把事情做对，它们就要学会在缺乏有意义的信息素材时保持沉默。,沉默,纳西姆·尼古拉斯·塔勒布,《反脆弱》
14,当思维完全静止，真理便出现了。惟有当自我不复存在，当心终止了它的活动，也就是说，当心不再受它的自身追逐所束缚，此时思维才会静止。对美的爱可以表现在一首歌、一个微笑中，或表现在沉默之中；然而我们大多数人不爱沉默。,沉默,克里希那穆提,《一生的学习》
15,有人曾问我，如果生命满是欢乐，你爱它，如果生命只是平淡，你也爱它，但倘若生命是接踵的不幸呢？那天，我没有回答，我沉默了很久，说不出一句话。今天，我却想说，我依旧爱它。因为，那是属于我的。,沉默,田维,《花田半亩》
16,爱情需要表达。,沉默,珍妮特·温特森,《写在身体上》
17,想在这样的季节里，在刚好的光线中，将自己铺展。像一本书那样，被平放在微风的窗口，让风拂过，让空气翻阅我的身体，一页页地言说不尽，沉默着芬芳的文字。这会是毫无声息的午后，足够明亮;这该是忘记了获得和丧失的时刻，我的生命，成为这样的一本书，成为文字，盛开着，如一朵绯红的小花;我只愿是这样，无所忌惮，无所忧愁地存在，仿佛人间之外，我只被巨大的宇宙怀抱着，放在蓝空的摇篮。一个遥远的声音对我说着，感恩，善良，美，和爱。如果书有知觉，那么，它们该是最幸福的精灵。,沉默,田维,《花田半亩》
18,从前曾在一个女作家的书里无数次看过这几句拜伦的诗：,沉默,安宁,《温暖的弦》
19,如果天空总是黑暗的，那就摸黑生存；如果发出声音是危险的，那就保持沉默；如果自觉无力发光，那就蜷伏于墙角。,沉默,曼德拉,
20,沉默有三种：一是不说话；二是无欲望；三是没思想。,沉默,朗费罗,《佚名》
21,爸爸的脸上毫无表情，就像一块石头。他望着远处，等待命运的决断。格雷戈里希望自己也像他那样坚强。他极力控制着自己，虽然他也想跟列夫一样大声号叫。他无法忍住泪水，但他紧咬嘴唇，像父亲一样沉默着。,沉默,肯·福莱特,《巨人的陨落》
22,爸爸的脸上毫无表情，就像一块石头。他望着远处，等待命运的决断。格雷戈里希望自己也像他那样坚强。他极力控制着自己，虽然他也想跟列夫一样大声号叫。他无法忍住泪水，但他紧咬嘴唇，像父亲一样沉默着。,沉默,肯·福莱特,《巨人的陨落》
23,艾瑟尔一言不发。菲茨的冷漠倒是有个非常有用的效果，让她清楚认识到自己是在谈判。她熟悉这一领域里的事情。她父亲总是在谈判，跟矿井管理方争执不休，处理各种问题，一直在争取更高的工资，更短的工时，更好的安全防护措施。他有句座右铭：“除非必要，先别开口。”于是，她保持着沉默。,沉默,肯·福莱特,《巨人的陨落》
24,欧维也不知道他是什么时候变得如此沉默的。或许他开始更常在心里说话。或许他快要疯了。有时他会这么想。好像他根本不想听别人对他说话，因为嘈杂的闲聊会淹没他对她声音的记忆。,沉默,弗雷德里克·巴克曼,《一个叫欧维的男人决定去死》
25,某些往事会冒出来，毫无征兆地，随之而来的是石头般的沉默或者中邪般的粗暴消沉和崩溃迷茫的眼神、噩梦和突然袭来的悲哀。,沉默,卡勒德·胡赛尼,《灿烂千阳》
26,沉默是君王之友，言辞则好比利箭，一旦射出，便覆水难收。,沉默,乔治·马丁,《冰与火之歌》
27,他只是摇头；脸上虽然刻着许多皱纹，却全然不动，仿佛石像一般。他大约只是觉得苦，却又形容不出，沉默了片时，便拿起烟管来默默的吸烟了。,沉默,鲁迅,《呐喊》
28,无论社会环境如何荒谬残酷，个人都需对自己的行为负责，这是人之为人的底线，绝非把责任推卸给“那个时代”所能了事；个人也时刻拥有选择沉默和保持人性的机会，只要他能抵御“话语权”的诱惑，站在“沉默的大多数”一边。,沉默,王小波,《沉默的大多数》
