,text,tag,author,from_book
0,这是深圳的原则。在火车站长椅上辗转难眠的，在人才大市场拥挤的人群中汗流满面的，在午夜的草坪上忍受蚊虫叮咬的，在罗湖、福田、南山、蛇口的工厂里头晕眼花、牙龈出血、月经失调的，不管你学历高低，不管你现在坐奔驰还是开宝马，你肯定都说过这两句话，或者说在嘴上，或者说在心里。,沧桑,刘惠宁,《相爱十年》
1,十年前，你想要改变世界。十年后，世界改变了你。,沧桑,刘惠宁,《相爱十年》
2,你不说了看十年之后，咱们谁在哭，谁在笑，谁在天堂，谁在地狱吗？,沧桑,刘惠宁,《相爱十年》
3,凉雨知秋，青梧老死，一宿苦寒欺薄衾，几番世道蹉跎……也不过一声相见恨晚。,沧桑,Priest,《山河令》
4,对有些人而言，相遇即是告别。就像流星划过天际，发出耀眼光芒的同时，也燃烧殆尽。他们唯一能做的，就是让那道划痕尽可能地浅。,沧桑,雷米,《心理罪》
5,算我欠你的！瞧那片灯海，千千万万，真的数不清究竟有多少个灯，但是每个灯底下都有一户人家。每一户人家，都有自己的故事。爱、恨、生、老、病、死，信不信当我们站在这儿的时候，那些灯底下，就有无数个故事正在发生，正在进行，或者正在结束！只要有人就有故事，那么多个灯，你算一算，会有多少个不同的故事？所以，不论是你的故事还是我的故事，都只是沧海一粟而已！,沧桑,琼瑶,《一帘幽梦》
6,悟得世间无双法，却抵不过逝水流年。一世极致绚烂，掩不住斑驳泪血昔年。再回首举世皆寂，寻不到同年。,沧桑,辰东,《遮天》
7,一曲凄音悲鸣，乱了心怀，悲了秋意，最后只剩下无边的萧索。,沧桑,辰东,《遮天》
8,哪里是彼岸，哪里是天堂，光明未曾见到，苦海却已无边。,沧桑,辰东,《遮天》
9,拈花一笑的风情，十世、百世后的相见，佛说的有缘，是回眸的一瞬间，还是无尽的遥远？,沧桑,辰东,《遮天》
10,极尽繁盛，群星璀璨后，必有诸王殒落，人杰凋零的后世凄凉，将会有一幅血染的壮丽画卷。,沧桑,辰东,《遮天》
11,一别十几载，往日如流水，一去不可留。花有重开日，雁有重归时，人若再回首，是否依旧？,沧桑,辰东,《遮天》
12,我有仙心一颗，久被尘劳封锁。何日尘尽光生，照破山河万朵？,沧桑,辰东,《遮天》
13,漂泊已久，在每个港口只能稍作停留。,沧桑,饶晓志,《人潮汹涌》
14,那些日子，你许下心愿，未来日子相见……牵牵手一放已是多年，沧桑容颜……,沧桑,老猪,《紫川》
15,窗外是日落西山，残阳赭红……如同你失血浸透了西天。好静，什么时候变得这么静，我以为你死了。,沧桑,七堇年,《尘曲》
16,我离城市越来越远，却越来越有如归的感觉。好像这渐渐黑暗的道路的尽头便是我的家。而我将一个人，为着这模糊的尽头一直前行，就算抵达悬崖必须勒马。,沧桑,七堇年,《尘曲》
17,十年前，你初次在纸上遇见我，给我写信，无果而终，那时你才十四岁，而我不过是一本青少年杂志上刚刚冒头的年轻作者，瞬间出现又猝然消失。我以为我对读者，不过是没有心肠的刹那流星，来去洒然，不落爱憎。从不曾想过，还有人像你，纸上一见，心系十年。,沧桑,七堇年,《尘曲》
18,好多事就像雨天打的伞，你冲进房间就狼狈仓促地把它收起来扔在了一角，那褶皱里仍夹着这夜的雨水，过了很久再撑开，一股发潮的气息扑鼻而来。,沧桑,七堇年,《尘曲》
19,相顾无言，唯余一笑。,沧桑,七堇年,《尘曲》
20,见过太多黑暗，便很难再适应光明。,沧桑,陈思诚,《唐人街探案3》
21,我的面容各有关部位也了变化，两眼变得越来约大，目光变得凄切无神，嘴变得更加固定僵化，额上课满了深深的裂痕。我倒没有被这一切吓到，相反，我注意看那衰老如何在我的颜面上肆虐践踏，就好像我很有兴趣读一本书一样。,沧桑,杜拉斯,《情人》
22,18岁 我们都老了,沧桑,杜拉斯,《情人》
23,他回来了，踏一路惊涛骇浪，来赴她生死之约，携一身风华傲然，托起这如画江山。,沧桑,饶俊,《醉玲珑》
24,姻缘凌乱，究竟是他欠了她，还是她欠了她?是来世的他辜负了她才得今日无情，还是此生的她伤害了他才有来世背叛?,沧桑,饶俊,《醉玲珑》
25,别人家的分离相守，眼泪欢笑于他人而言，不过是一场有意思的演出而已，谁会在意当事人的心情与感情？,沧桑,饶俊,《我就是这般女子》
26,世界上很多事情，都开始于那一眼若有所思的打量。,沧桑,李木戈,《暗恋橘生淮南》
27,世间不如意十之八九，能与人说的又只有二三，剩下的你就，让他们滚蛋！,沧桑,韩延,《滚蛋吧！肿瘤君》
28,昔日儿女情长，今日已成手足之念。,沧桑,宋晋川,《上阳赋》
29,“你呢？”,沧桑,克莱儿·麦克福尔,《摆渡人》
30,睡意如帷幕般一点点笼罩着她，她听到风在摇摇欲坠的破墙间回旋激荡。,沧桑,克莱儿·麦克福尔,《摆渡人》
31,她不想踏上最后的旅程，她不会也不能留下他一个人走。,沧桑,克莱儿·麦克福尔,《摆渡人》
32,她可能会踏上任何地方——天堂、地狱，或只是永恒的虚无。,沧桑,克莱儿·麦克福尔,《摆渡人》
33,当那件事发生时，她还保持着这个姿势。灯光熄灭了，声音炸裂了，世界终结了。,沧桑,克莱儿·麦克福尔,《摆渡人》
34,早知半路应相失，不如从来本独飞。,沧桑,白槿湖,《如果巴黎不快乐Ⅲ》
35,你失去了原本以为离了就活不了的那个人，却发现失去没那么可怕，你不会病，不会死，只是再也不会看清遥远的月亮和星辰。,沧桑,白槿湖,《如果巴黎不快乐Ⅲ》
36,英雄末路，难逃一死，他不惧死，只是有些死不瞑目。,沧桑,闫宇彤,《阳光之下》
37,你看我这么卖命的干，您不会让我白干吧？,沧桑,闫宇彤,《阳光之下》
38,哭，是因为这时候该哭；笑，是因为这时候该笑。能够在自己想哭的时候哭，想笑的时候笑，于日本人是一种奢望。,沧桑,鲁思·本尼迪克特,《菊与刀》
39,加利福尼亚人不知道“我的”和“你的”这两个词的意思。按圣格列高利的说法，这两个词使我们短暂的一生充满了痛苦和无法解释的罪恶。,沧桑,《全球通史》,
40,世事漫随流水，算来一梦浮生。,沧桑,李煜,
41,但见新人笑，那闻旧人哭。,沧桑,杜甫,《杜工部集》
42,生活，什么才是生活？为了生活多少人为了生活而生活......,沧桑,,
43,人类在永恒的斗争中壮大，在永恒的和平中毁灭。,沧桑,希特勒,《我的奋斗》
