,text,tag,author,from_book
0,今日的世界，物质文明发达，在表面上来看，是历史上最幸福的时代；但是人们为了生存的竞争而忙碌，为了战争的毁灭而惶恐，为了欲海的难填而烦恼。在精神上，也可以说是历史上最痛苦的时代。,烦恼,南怀瑾,《佚名》
1,不过（看书）至少让你知道，从古到今跟你有相同烦恼并且同样在寻找答案的人有很多，,烦恼,李木戈,《暗恋橘生淮南》
2,明媚的阳光也让人觉得宽慰，把那些烦恼都压制在意识深处，驱赶到了本属于它们的阴暗角落。,烦恼,克莱儿·麦克福尔,《摆渡人》
3,外面，正是一阵和往常一样的喧哗与吼叫，这些声音引导着他，使他移动步子走进一间审讯室。审讯室里烟雾沉沉，空气十分污浊，他瞥见老虎凳上，捆着一个三十来岁的人，旁边一盆火，几个人正把冒着烟的烙铁，伸向被审者的胸脯。徐鹏飞不管这些，独自走到窗前，用力拉开窗帘，推开紧闭的一扇窗户，他需要摆脱烦恼，呼吸一口新鲜空气。窗外，蒙蒙细雨一阵阵飘到他的脸上，阵阵寒意勉强帮助着他平息心潮的起伏。,烦恼,杨益言,《红岩》
4,男人承受压力时，通常将注意力集中在某个核心问题上，而暂时忘记或有意隐去其他细枝末节；女人承受压力时，通常会将其无限拓展，由此她的烦恼变得牵丝攀藤，漫无边际。,烦恼,约翰·格雷,《男人来自火星女人来自金星》
5,人之所以痛苦，在于追求错误的东西。与其说是别人让你痛苦，不如说自己的修养不够。如果你不给自己烦恼，别人也永远不可能给你烦恼。因为你自己的内心，你放不下。,烦恼,路遥,《人生》
6,胡适那父子就说过：'读书可以忘掉打麻将，打麻将可以忘掉读书。'依我看，读书、打麻将都可以忘掉烦恼。,烦恼,贾平凹,《废都》
7,今早起来，我终于插上香后，下跪作拜，我说，佛，那我就许愿吧，既然佛作为佛拥有佛的美丽和牺牲。就保佑我灵魂安妥和身躯安宁，作为人活在世上就好好享受人生的一切快乐和一切痛苦烦恼吧。,烦恼,贾平凹,《愿人生从容》
8,作为一个人，不论从事什么工作，尽心尽力，需要的就是一种成就感，但各有各的烦恼。人生就是享受这种欢乐与烦恼的。,烦恼,贾平凹,《愿人生从容》
9,所谓末日，则是人们期待着自己和这个世界一起重新开始的一种心态。无需害怕，无需狂欢，以优雅的姿态来展望未来，抛开过去的烦恼，迎接崭新的一切，你我都将收获美好的明天!,烦恼,季羡林,《季羡林文集》
10,在野外，当你和一块七千万年以前的骸骨相濡以沫的时候，什么烦恼，什么爱情、什么评职称，甚至连死亡，也变得微不足道了。你的手接触到的就是死亡，一场发生在七千万年之前的死亡，你想到了什么？你只有羡慕啊！生是无法保存这么久远的，只有死亡，才是永恒。,烦恼,毕淑敏,《血玲珑》
11,我不是个玩世不恭的人，依我看，也不是个很严厉的人。我的看法是现在的男人在这两个方面都得具备一点。我还相信工作的价值——越辛苦越好。不工作的人有太多的时间，太多的时间来沉溺于自己和自己的烦恼之中。,烦恼,雷蒙德·卡佛,《请你安静些，好吗？》
12,有朝一日你一定要出海，只要到了海上，你就会发觉自己的烦恼有多渺小。,烦恼,尾田荣一郎,《海贼王》
13,凡领悟音乐的，便能从一切烦恼中超脱出来。,烦恼,贝多芬,《佚名》
14,不争闲气不贪钱，舍得钱时结得缘。,烦恼,冯梦龙,《醒世恒言》
15,无论在什么时候，要想摆脱令人烦恼的胡思乱想，不妨去求助于书本，书本总和蔼可亲地欢迎你。,烦恼,托·富勒,《佚名》
16,我十七岁时在插队，晚上走到野外去，看到夜空像一片紫水潭，星星是些不动的大亮点，夜风是些浅蓝色的流线，云端传来喧嚣的声音。那一瞬间我很幸福，这说明我可以做个诗人，照我看来凡是能在这个无休无止的烦恼、仇恨、互相监视的尘世之上感到片刻欢欣的人。都可以算是个诗人。,烦恼,王小波,《绿毛水怪》
17,在大多数的情况下，我们的忧心，烦恼，操劳，愤怒，恐惧都确实与别人对我们的看法有关。我们的嫉妒和憎恨也大多出自同一根源。,烦恼,叔本华,《人生的智慧》
18,谁要是具有深远和高贵的思想，就尤其不应该让私人琐事和低级烦恼完全占据自己的头脑，以致无法进行高级、深远的思考，因为这样做确实就是 为了生活而毁坏了生活的目的。,烦恼,叔本华,《人生的智慧》
19,在泛泛的社交聚会中，人们对有思想见识的谈话绝对深恶痛绝。所以，在这种社交场合要取悦他人，就绝对有必要把自己变得平庸和狭窄。因此，我们为达到与他人相像、投契的目的就只能自我否定、牺牲大部分的自我。当然，为此代价，我们获得了他人的好感。一个人越有价值就越会发现，自己这样做实在是得不偿失，根本是一桩赔本的买卖。人们通常都是无力还债的，他们把无聊、烦恼、不快和否定自我强加给我们，却无法对此作出补偿。绝大部分社交聚会都是这种性质。放弃这种社交聚会以换回独处，我们就做成了一桩精明的生意。,烦恼,叔本华,《人生的智慧》
20,因寒冷而打颤的人，最能体会到阳光的温暖。经历了人生烦恼的人，最懂得生命的可贵。,烦恼,惠特曼,《草叶集》
21,人心诚然如无明之黑暗，更如烦恼之火燃至尽头。,烦恼,芥川龙之介,《罗生门》
22,对于少爷因烦恼忧伤而疲惫焦虑的脸色，以前看作是怠惰懦弱的灵魂的表现而厌恶憎恨，现在甚至觉得具有一种微妙的情趣。,烦恼,三岛由纪夫,《丰饶之海》
23,从一切不安忧虑的情绪中解放出来的这位十九岁的少年，没有烦恼，没有苦闷，感觉到自己是一个冷漠的万能的人。,烦恼,三岛由纪夫,《丰饶之海》
24,不为难自己，也不得罪他人，是个不可思议的、似以摆脱一切烦恼的纯洁姑娘。,烦恼,川端康成,《千只鹤》
25,你问朕人生最大的烦恼是什么？,烦恼,HEHE,《浪漫传说》
26,过去的人，过去的事。,烦恼,姜伟,《猎场》
27,鸽子纷飞 使我烦恼,烦恼,格拉斯,《铁皮鼓》
28,我恨我的懦弱，恨我的胆怯，可是我却不得不承认这无情的事实。,烦恼,艾小图,《日光沉寂，豆蔻彼年》
29,可是她呀，生活好似天窗朝北的阁楼那样冷，而烦恼就像默不作声的蜘蛛，在暗地拉丝结网，爬过她的心的每个角落。,烦恼,福楼拜,《包法利夫人》
30,生活嘛，就是由各种各样的烦恼事串成的念珠，而达观者总是笑着数这串念珠。,烦恼,大仲马,《三个火枪手》
31,忧郁是因为自己无能，烦恼是由于欲望得不到满足，暴躁是一种虚怯的表现。,烦恼,大仲马,《三个火枪手》
32,如果我们对充满烦恼和不幸的尘世生活恋恋不舍，那么我们怎么会明白永生的意义呢？,烦恼,约翰·班扬,《天路历程》
33,生活中虽然偶尔有烦恼、伤心的时候，但总的来说，是幸福快乐的，关于这一点，没有人能够加以怀疑。,烦恼,托马斯·哈代,《无名的裘德》
34,"如果有来生,愿你成为自己想成为的,不再有烦恼,也不再忧伤.",烦恼,佚名,《一禅小和尚》
35,一禅：师父，我刚才参禅入定的时候，看到佛祖了诶！,烦恼,佚名,《一禅小和尚》
36,一个人的生命同永恒比起来只是一瞬间，何必自寻烦恼？,烦恼,列夫·托尔斯泰,《战争与和平》
37,我现在就由于孑然一身而终日痛苦，晚上只能坐在炉火旁，在孤寂中消磨漫漫长夜。每当此时，我总感到世间仿佛只有我一个人了，不仅倍感孤独，苦闷焦灼，而且觉得四周到处是隐隐约约的危险和前所未有的恐怖之物。隔墙虽然住着邻居，但我他们向来没有往来，因此同他们的距离如同窗外天空的繁星一样遥远。故而我此时常会因痛苦和恐惧而烦恼不安，始终沉寂的四壁更让我内心的惶恐有增无减。一个人在房里呆久了，所出现的寂静是那样的深沉而又可怕。不仅躯体四周感到凄凉，并且整个心灵也笼罩在一片死寂中。每当房内家具发出一道干裂声，我的心便会猛地一吓,烦恼,莫泊桑,《漂亮朋友》
38,我的朋友！为什么说我“默默”呢？世间原有些作为，超乎语言文字之外。,烦恼,冰心,《繁星·春水》
39,人真是一种奇怪的生物，他们最重要的目的是生存，然而生存却往往不是这个人最大的烦恼。当人满足了自己所有的需要时，他们往往会为自己寻一个无法解决的烦恼。,烦恼,南派三叔,《盗墓笔记》
40,我甚至面临可恶的彷徨，,烦恼,歌德,《浮士德》
41,我想要单独呆一千年，为了沉思我的所见所闻——也为了忘却。我想要地球上某种非人为的东西，某种绝对脱离了人的东西，我对人已经厌倦了。,烦恼,亨利·米勒,《南回归线》
42,她长这么大，即使别人误会说她像男孩儿，她勉强还能接受。可是，哪知世界上最讨厌的事情居然是你明明是女的，人家还以为她存心装女生。,烦恼,木浮生,《良言写意》
43,我本平凡，却自命不凡。,烦恼,,
