,text,tag,author,from_book
0,不二逼，不装逼。觉得一个人傻，直接了当好好说：“你傻逼”。不说：“你的思路很细致，但是稍稍欠缺战略高度”，甚至也不说：“你脑子进水了，你脑子吃肿了”。,烦躁,冯唐,《活着活着就老了》
1,我们都是好人，不知道为什么事情会变成这个样子，老天爷到底要我们学什么。,烦躁,林君阳,《我们与恶的距离》
2,我最讨厌跟我说对不起的人，有本事就不要犯错误啊。,烦躁,林君阳,《我们与恶的距离》
3,一位大帝，一个人，他究竟是谁？,烦躁,辰东,《遮天》
4,梦想与现实之间的落差令人烦躁不安。然而，人生就是“今天”的不断积累，就是“现在”这一刻的不断延续，如此而已。,烦躁,稻盛和夫,《活法》
5,你管那人叫过去，只敢夜里记起，旁人问起，你总说是上辈子的事了。世事难料，那么多的感情，付之东流，毫无结果，这大概是你这辈子做过的最奢侈的事了。,烦躁,关东野客,《我有一杯酒，可以慰风尘》
6,在莎莉文老师还没来我家之前的日子，我经常在祖父母的花园里散步。很多时候我的嗅觉被花香所吸引，沿着黄杨木篱笆摸索着去寻找刚刚绽放的百合花和紫罗兰。那些花儿可真漂亮呀，一朵挨着一朵，互相抱成团，一丛丛，一簇簇，星罗棋布，连绵不断，就像一块五颜六色的地毯。微风吹过，如同是道道绿波、条条花浪。每当我心情不好的时候，便会来到这里，烦躁的心在闻着阵阵花香的时候被悄悄抚平;每当我带着自己炙热的脸庞来到这清凉的树叶和草丛中时，它们总能让我的心灵得到无法形容的慰藉。,烦躁,海伦·凯勒,《假如给我三天光明》
7,我有什么忧虑？无产阶级丝毫不用担心顾忌，想到什么说什么，要做什么做什么，最多打回原形，我又不是没做过穷人，有啥子损失？,烦躁,亦舒,《喜宝》
8,穷苦和牡蛎好像总是在一块儿的。,烦躁,狄更斯,《匹克威克外传》
9,漫长的休息，痛苦有如痼疾。,烦躁,荷马,《荷马史诗》
10,活佛的药全是粉末，先在纸里包了，然后才是好多层的黄色绸子。他的胖手掀开一层又一层仿佛无穷无尽的绸子，我觉得里面就要蹦出来整个世界了，结果却是一点灰色的粉末。活佛对着它们念念有词，做出十分珍贵的样子，而我肚子里正在害怕的地方也想发笑。那些粉末倒进口中，像一大群野马从干燥的大地上跑过一样，胃里混浊了，眼前立即尘土飞扬。,烦躁,阿来,《尘埃落定》
11,我背着手踱到窗前，看见星星正一颗颗跳上蓝蓝的天幕，便用变声期的嗓门说：“天黑了，点灯！”,烦躁,阿来,《尘埃落定》
12,穿过这乱哄哄的街头，他一再让过喷着黑烟尾巴的公共汽车。这种破旧的柴油车，轧轧地颠簸着，发出刺耳的噪音，加上兜售美国剩余物资的小贩和地摊上的叫卖声，仓仓皇皇的人力车案的`喊叫声和满街行人的喧嚣声，使节日的街头，变成了上下翻滚的一锅粥。,烦躁,杨益言,《红岩》
13,对财产的热衷能有力地激发起他青年时代的才能的话，那从此中看到的这不过时一种卑劣的自白而已。,烦躁,理查德·瓦格纳,《佚名》
14,若连一人都救不了，该如何救苍生?,烦躁,程腾,《姜子牙》
15,父母与孩子之间的关系是多么奇怪！孩子年幼时是父母掌心里的宝贝，任何小病小恙都会让他们忧心如焚。这时孩子们对父母也是崇敬热爱，依赖有加。几年之后，孩子们长大了，跟他们毫无血脉关系的人取代了父母，成了带给他们幸福的人。冷漠代替了过去盲目而本能的爱，连彼此见面也成了烦躁与恼怒的来源。一度曾经十天半月不见便会朝思暮想，如今即便是成年累月不见他们也乐得享受清闲。,烦躁,毛姆,《面纱》
16,不断去收获，不断去追求，你永远学习苦干和等待.,烦躁,朗费罗,《佚名》
17,信而见疑，忠而被谤，能无怨乎？,烦躁,屈原,《离骚》
18,就是这样一个嘈杂的时代，你的心情取决于你今天听到的声音来自的方向。面对海量信息的时代，有时你会无助地发现所有的声音劈头盖脸，毫无选择地将你淹没，让你没法搞清楚自己的心情究竟应该如何。,烦躁,陆毅,《佚名》
19,就譬如我吃饭，无论上什么菜，都会想到父母的手艺。哪怕身周或车水马龙、喧哗烦躁，或夜深人静、随心独处，都会隐约觉得父母正在小心叮咛，虽然分不清楚具体的内容，可声音熟悉，温暖而若有所失。,烦躁,张嘉佳,《从你的全世界路过》
20,暑热沉沉罩住屋顶，窒息了一切声响。,烦躁,海勒,《第二十二条军规》
21,只有疯子才能获准免飞行，但必须由本人提出申请，你一旦提出申请，恰好证明了你是一个正常人，还是在劫难逃。还规定飞行员要满25架次就能回国，但它又说，你必须绝对服从命令，要不就不能回国。因此上级可以不断给飞行员增加飞行次数，而你不得违抗。如此反复，永无休止。,烦躁,海勒,《第二十二条军规》
22,为什么如此牵引我的心灵?为什么要占据上帝都不能占据的地方?,烦躁,麦卡洛,《荆棘鸟》
23,＂对不起，因为我太能干了，才让你烦躁不安。我十分理解你嫉妒的心情，我知道你活得很辛苦，适可而止吧。＂,烦躁,渡边淳一,《钝感力》
24,在我们身边，会经常发生被朋友或同事嫉妒，中伤和刁难的事情，每次收到这些伤害，许多人都会非常难过，有时甚至因为过于不安和烦躁，导致身心出现异常状况，这种情况并不少见，一些人甚至认为这些伤害就是人生最大的痛苦，然而在这种情况下，人们最为需要的就是钝感力，只要拥有钝感力，不管多么痛苦的事情都能够，转化成为对自己有利的因素，这样才有可能坦然地以积极进取的态度生活下去。,烦躁,渡边淳一,《钝感力》
25,你得口头转达，我不想写信，写出来又只会像公文一样没完没了地旅行。,烦躁,弗兰兹·卡夫卡,《城堡》
26,不可逆转的进程压垮一切：一个人被处死，却没有引起什么人的注意，这种死，带着一点羞辱和极大的准确性。,烦躁,阿尔贝·加缪,《局外人》
27,她的知心话也许想对一个什么人说。可是这种不安的心情，捉摸不定，云一样变幻，风一样旋转，怎么出口呢？她不知道怎么去描述，也没有机会和胆量去说。,烦躁,福楼拜,《包法利夫人》
28,现实生活刺激他，惊吓他，老是闹得他六神不安。也许为了替自己的胆怯、自己对现实的憎恶辩护吧，他老是歌颂过去，歌颂那些从没存在的东西。,烦躁,契诃夫,《契诃夫短篇小说选》
29,而且什么是科学呢———一般的科学吗？只有一门门的科学，就像只有一门门的手艺，一个个的称号一样；而一般的科学是根本不存在的。,烦躁,屠格涅夫,《父与子》
30,北京，有时让人烦躁，有时令人治愈。这座城市确实充满矛盾，傲慢又谦卑，冷漠又包容，高大上也脏乱差。它性格古怪但魅力非凡，每天排挤一些人，拥抱另一些人，但几乎所有人都想对它谄媚。,烦躁,杨时旸,《杨天乐买房记》
31,我憎恨那移动线条的运动，我从来不哭也不笑。,烦躁,波德莱尔,《恶之花》
32,她只能向炼狱的深处，亲手堆积惩罚自己的柴薪。,烦躁,波德莱尔,《恶之花》
33,一只环控制他们全体，一只环判决他们。一只环将他们全带走，并在黑暗中捆住他们。,烦躁,约翰·罗纳德·瑞尔·托尔金,《指环王》
34,神圣的目标向来是危险的。一旦目标神圣化，实行的手段必然日渐卑鄙。,烦躁,林语堂,《苏东坡传》
35,她的眼光又停留在那只失了形的短短的脚上。这是一个奇怪的景象。脚背高高地隆起，四根指头弯下去，差不多连成一块肉紧紧地贴在脚掌上，只剩下大指孤零零地露在外面，好象一个尖尖的粽子角。这不是人的脚，这倒象用面粉捏成的白白的东西。,烦躁,巴金,《秋》
36,倘若世间没有风和雨，这枝上繁花，又归何处？只惹得人心生烦厌。,烦躁,冰心,《繁星·春水》
37,南亩耕，东山卧，世态人情经历多。闲将往事思量过。贤的是他，愚的是我，争什么。,烦躁,关汉卿,《佚名》
38,长则是急煎煎按不住意中焦，闷沉沉展不彻眉尖皱，越觉的情怀冗冗，心绪悠悠。,烦躁,关汉卿,《窦娥冤》
39,则问那黄昏白昼，两般儿忘餐废寝几时休？大都来昨宵梦里，和着这今日心头。,烦躁,关汉卿,《窦娥冤》
40,他们没有死的希望，他们盲目度过的一生如此卑不足道，以至于对任何别种命运他们都忌妒。世上不容许他们的名字留下来，慈悲和正义都鄙弃他们。,烦躁,阿利盖利·但丁,《神曲》
41,在一种悲喜交集的情绪之下，让幸福和忧郁分据了我的两眼，殡葬的挽歌和结婚的笙乐同时并奏，用盛大的喜乐抵消沉重的不幸。,烦躁,莎士比亚,《哈姆雷特》
42,我们就像被遗弃的孩子，迷失在森林里。当你站在我面前，看着我时，你知道我心里的悲伤吗，你知道你自己心里的悲伤吗？,烦躁,弗兰兹·卡夫卡,《变形记》
