,text,tag,author,from_book
0,《一叶一风景，一花一天堂》,爆红,,
1,穷人的最后一块铜板和富人的一诺千金，哪一个更沉重呢,爆红,,
2,这是一个最好的时代，这是一个最坏的时代；,爆红,狄更斯,《双城记》
3,我才不是网红，我是个医生,爆红,张文宏,《佚名》
4,“姐，如果有一个人深深伤害了你，你怎么才能原谅他？”,爆红,汪远,《爱情公寓》
5,我爱你，但我没法确定你是否会有一天把我推开我唯一确定的是无论你推开多少次我都会回来。,爆红,酷酷的滕,《我与客服的日常》
6,我爱你好想给你打一辈子的辅助，召唤师峡谷太大了，你可不可以不要离我太远了，人头是你的，buff是你的，塔是你的，所有的经济都是你的，我什么都不要，只要你活着。,爆红,酷酷的滕,《我与客服的日常》
7,我爱你,爆红,酷酷的滕,《我与客服的日常》
8,我爱你,爆红,奥斯特洛夫斯基,《钢铁是怎样炼成的》
9,我爱你,爆红,酷酷的滕,《我与客服的日常》
10,三流的球员，二流的教练，一流的球迷！,爆红,佚名,《爆红的足球金句》
11,齐达内退役了，法国足球10年没缓过来；罗纳尔多巅峰期过了，巴西足球14年没缓过来； 巴乔退役了，意大利足球16年没缓过来； 克鲁伊夫退役了，荷兰足球20多年没缓过来； 普斯卡什退役了，匈牙利足球30多年没缓过来； 高俅退役了，中国足球一千多年没缓过来！,爆红,佚名,《爆红的足球金句》
12,伊拉克那年拿亚洲冠军，但国家被美帝干出翔。意大利拿完世界杯，经济就崩了。希腊那年拿了欧洲杯，然后国家就破产。德国拿完世界杯，难民潮就来了。北宋刚发现世界巨星高俅，皇帝就让金国抓了。明白了吧？那么多年来，一直忍辱负重，守护国运，让中国稳定发展的护国法师是谁？大声喊出四个字：中国男足！,爆红,佚名,《爆红的足球金句》
13,烽火连四月，三分值千金！天王盖地虎，看我大吉鲁!家有鲁小胖 福气又安康，如今作队长，进球有保障！谁能横刀立马，唯我范大将军！真是不怕万一就怕伊万！天若有情天亦老，看见哈特蒙一脚。时不可失机不再来啊！#詹俊#,爆红,佚名,《爆红的足球金句》
14,我们不想只是谈论梦想，而是实现梦想(We don't want to tell our dreams. We want to show them）,爆红,佚名,《爆红的足球金句》
15,你们的爱，会让我更加强大；你们的恨，会让我无可阻挡,爆红,佚名,《爆红的足球金句》
16,Talent without hard work is nothing,爆红,佚名,《爆红的足球金句》
17,本特克，早早推空门不就完了，CTMD,爆红,佚名,《爆红的足球金句》
18,伟大的意大利左后卫！这一刻他不是一个人在战斗！,爆红,黄健翔,《爆红的足球金句》
19,留给中国队的时间不多了。#刘建宏#,爆红,佚名,《爆红的足球金句》
