,text,tag,author,from_book
0,爱情最好的治疗是和让你感到爱情的姑娘上床，让你的身体和她泡在一起，多谈人生或者理想，七年之后，你如果不傻掉，爱情自己就跑了。曾经让你成为非人类的姑娘，长发剪短，仙气消散，凤凰变回母鸡，玫瑰变回菜花。,爱,冯唐,《活着活着就老了》
1,感冒仿佛爱情，如果上帝是个程序员，感冒和爱情应该被编在一个子程序里。感冒简单些，编程用了一百行，爱情复杂些，用了一万行。,爱,冯唐,《活着活着就老了》
2,问她为什么好久没有音信，她回了一句恶俗的台湾爱情诗：有时关切是问，有时关切是不问。这样水波不兴，你好我也好。山还是山，水还是水，生活和工作终会照旧。,爱,冯唐,《活着活着就老了》
3,她说，如果我能在《收获》发表一篇长篇小说，她就收心，戒掉恋爱，替我一辈子煎茶煮饭。,爱,冯唐,《活着活着就老了》
4,“所以爱会消失对不对”,爱,林君阳,《我们与恶的距离》
5,再深的感情也抵不住金钱权力地位的欲望，爱情终究要输给野心和贪婪。,爱,刘惠宁,
6,相爱和相处是两回事。相爱是吸引，而相处是为对方而改变。,爱,刘惠宁,
7,你到了深圳，要注意身体，多吃饭。那里人都吃大米，很少吃面食，我们北方人吃不惯，你爱吃面，要学着习惯。那里夏天热，冬天潮，你要自己注意冷暖。你有时候脾气不好，出门在外要学着忍让。记着，吃亏是福。广东话听不懂，你要多给我打电话，这里，是我给你的五百块钱，你拿好了，里面还有我的照片，想我了就看看，我爱你。,爱,刘惠宁,
8,我就想要，我们在一起，听你跟我说“我爱你”。,爱,刘惠宁,
9,"爱情很简单，无非是三个字:我爱你,我恨你,你好吗,还好啊,对不起,分手吧。",爱,刘惠宁,《相爱十年》
10,有时候你爱一个人，不一定是爱他，你只是不甘心罢了。,爱,刘惠宁,《相爱十年》
11,十年之前我们是朋友，十年之后还可以做朋友。时间是多么残酷的东西，他可以让爱情变成亲情，但是同样，它也可以让爱情变得面目全非。,爱,刘惠宁,《相爱十年》
12,我并不是一个弱不禁风的孩子，只是在你面前如此。,爱,,
13,如果爱是鸿毛，那陪伴就是泰山。,爱,,
14,我了解她几乎所有习惯，知道她很多秘密，而她却不知道，她就是我的秘密。,爱,郑执,《生吞》
15,多年以后我才知道，那叫爱，爱是干净的，不会弄脏谁。,爱,郑执,《生吞》
16,平江柳色青，花月遥相守。,爱,Priest,《山河令》
17,等我找到了真正回人间的路就变回人了，变得像我在“外面”的时候一样，随行又好脾气，不再喜怒无常，不再疯疯癫癫……有一个人陪着我……他不怕我，我也对他好，可以在一起一辈子的人。,爱,Priest,《山河令》
18,阿絮，你怎么叫我名字叫的这么好听?,爱,Priest,《山河令》
19,两人紧紧抱着对方，说着永远听不厌的动情话儿，感受彼此还活着的心跳，仿佛两人必须像这样，贴心的靠在一起，才算是真正的活着。,爱,何马,《藏地密码》
20,可不可以延迟一个星期出院，这样可以每2小时见一次,爱,金恩淑,《太阳的后裔》
21,姜暮烟：“还在这干嘛，快去摘颗星星来。”,爱,金恩淑,《太阳的后裔》
22,许了什么愿？,爱,金恩淑,《太阳的后裔》
23,干嘛总是这么魅力四射呢？反正我已经被你迷住了。,爱,金恩淑,《太阳的后裔》
24,“身体怎么样”,爱,金恩淑,《太阳的后裔》
25,原来等一个人也是一种享受,爱,金恩淑,《太阳的后裔》
