,text,tag,author,from_book
0,鞠躬尽瘁，夕死无憾，此即长生之术。,爱国,戚继光,《佚名》
1,繁霜尽是心头血，洒向千峰秋叶丹。,爱国,戚继光,《佚名》
2,小筑惭高枕，忧时旧有盟。呼樽来揖客，挥麈坐谈兵。云护牙签满，星含宝剑横。封侯非我意，但愿海波平！,爱国,戚继光,《佚名》
3,南北驱驰报主情，江花边草笑生平。一年三百六十日，都是横戈马上行。,爱国,戚继光,《佚名》
4,男儿铁石志，总是报国心。,爱国,戚继光,《佚名》
5,背后簇拥着刺刀的辩手是无敌的。世上很多事情都是如此，老百姓并不缺乏看破谎言的智商，他们只是缺乏揭破谎言的胆量。 当然，西南贵族们如此积极的参加，并不仅仅是因为他们的忠君爱国热情--开玩笑，真正忠君的贵族现在该跟帝林拼命的。更重要的是，帝林大人已经放出话来了：“若非同道，便为敌寇！” 虽然大家都知道这个嚣张的家伙准没有好下场的，但问题他现在还是活蹦乱跳呢。“公当面痛骂逆贼，群贼变色，公历遍酷刑而面不变色，慷慨就义，溢号忠贞”-虽然被史书这么记上一笔确实很过瘾也很光彩，如果是别人干这种事贵族们说不定还会喝彩叫好一阵，但若要他们自个来的话，贵族就敬谢不敏了。那个杀人魔，他可是动辄屠人满门的。,爱国,老猪,《紫川》
6,民族已处于危难存亡之际，我辈只能奋不顾身，挽救于万一。,爱国,麦家,《风声》
7,当每个人都遵守同一规则并彼此相互支持时，日本人就会感到轻松。当他们感到这是在履行日本的“使命”时，他们就会非常狂热地参加。,爱国,鲁思·本尼迪克特,《菊与刀》
8,当一个伟大的任务站在你面前的时候，应该忘却自己的渺小。,爱国,丁玲,《莎菲女士日记》
9,中国的问题靠这一两个强人就能解决吗？,爱国,莫言,《红高粱》
10,为国捐躯，虽死犹荣。,爱国,荷马,《荷马史诗》
11,我向来总觉得孩子应该是世界的，不应该是一种，一国，一乡，一家的。我因此不能容忍中国的孩子叫西洋人为“洋鬼子”。但这个十来岁的白种的孩子，竟已被揿入人种与国家的两种定型里了。他已懂得凭着人种的优势和国家的强力，伸着脸袭击我了。这一次袭击实是许多次袭击的小影，他的脸上便缩印着一部中国的外交史。他之来上海，或无多日，或已长久，耳濡目染，他的父亲，亲长，先生，父执，乃至同国，同种，都以骄傲践踏对付中国人;而他的读物也推波助澜，将中国编排得一无是处，以长他自己的威风。,爱国,朱自清,《朱自清散文集》
12,对工作组讲真话，就是对党讲真话。,爱国,古华,《芙蓉镇》
13,余永泽过去是穿短学生服的，可自从一接近古书，他的服装兴趣也改变成纯粹的“民族形式”了。夏天，他穿着纺绸大褂或者竹布大褂，千层底布鞋：冬天是绸子棉袍外面罩上一件蓝布大褂，头上是一顶宽边礼帽，脚底下竟穿起了又肥又厚象小船一样的“老头”靴。道静不喜欢他这样打扮，老里老气，不象个青年人。可是他却说这就是爱国。整理国粹和民族服装这就是爱国的具体表观，这在余永泽的言论中是时常隐隐出观的。因此道静才这样说他。,爱国,杨沫,《青春之歌》
14,中国有礼仪之大故称夏，有服装之美谓之华。,爱国,左丘明,《左传》
15,苟利社稷，死生以之。,爱国,左丘明,《左传》
16,斯时正是大清朝同治五年，大乱敉平，普天同庆，共道大清国万年有道之长。,爱国,曾朴,《孽海花》
17,话说大清朝应天承运，奄有万方，一直照着中国向来的旧制，因势利导，果然风调雨顺，国泰民安。,爱国,曾朴,《孽海花》
18,克复神州，何至做楚囚相对。,爱国,刘义庆,《世说新语》
19,美国的实力在于承担风险并庇护冒险者。,爱国,纳西姆·尼古拉斯·塔勒布,《反脆弱》
20,我们这四百人让民众看到了，我们中国还有希望！,爱国,管虎,《八佰》
21,诸子长大成人，仍以当军人，为父报仇，为国尽忠为宜，让我子孙后代，再不受此耻辱。,爱国,管虎,《八佰》
22,一腔热血复民国,爱国,管虎,《八佰》
23,丈夫许国，实为幸事,爱国,管虎,《八佰》
24,报仇雪恨虽是大事，但比之国家社稷的安危，又是小了。,爱国,金庸,《鹿鼎记》
25,就算你不能做岳飞，可也不能做秦桧。,爱国,金庸,《鹿鼎记》
26,山河虽好，已沦夷狄之手，观之徒增伤心。,爱国,金庸,《鹿鼎记》
27,他认识到，用这种推理方法可以轻而易举地把恶习说成美德，把谣言说成真理，把阳痿说成禁欲，把傲慢说成谦卑，把掠夺说成行善，把贼赃说成荣誉，把亵渎神灵说成明智之举，把野蛮暴行说成爱国行为，把淫威说成正义。任何人都能做到这一点，这根本不需要开动脑筋，也不需要什么个性。,爱国,海勒,《第二十二条军规》
28,我要让我们国家的国歌响彻整个赛场,爱国,尼特什·提瓦瑞,《摔跤吧！爸爸》
29,Always respect your motherland ... because the amount of respect you give to your motherland ... you'll get that much respect from your motherland.,爱国,尼特什·提瓦瑞,《摔跤吧！爸爸》
30,请听我说我将令这个大陆无法溶解，,爱国,惠特曼,《草叶集》
31,不论谁以你祖国的名义发声，都无所谓吗？而那些自认为有权代表国家的人，说了什么也无所谓吗？,爱国,惠特曼,《草叶集》
32,实对你们说，我国为此曾打了五十年的仗，有三万的同胞为此战死。所以你们大家要互相敬爱。如果有谁因为他不是本地人，对这新学友无礼，那就没有资格来见我们的三色旗！,爱国,亚米契斯,《爱的教育》
33,在你们未出生以前，为了国家在这军旗下战死过的人，不知多少呢！,爱国,亚米契斯,《爱的教育》
34,怒发冲冠，凭阑处、潇潇雨歇。抬望眼，仰天长啸，壮怀激烈。三十功名尘与土，八千里路云和月。莫等闲、白了少年头，空悲切。,爱国,岳飞,
35,捐躯赴国难，视死忽如归。,爱国,曹植,
36,大陆属于法国人俄国人，海洋属于不列颠，但是在梦里的空中王国，我们有统治权不容争辩。,爱国,海涅,
37,热爱自己的祖国是理所当然的事。,爱国,海涅,《海涅抒情诗选》
38,我的心还在这个国家，并且，直到我最后一口气，我的心也是在这个国家！,爱国,儒勒·凡尔纳,《海底两万里》
39,一个人只要热爱自己的祖国，有一颗爱国之心，就什么事情都能解决。什么苦楚，什么冤屈都受得了。,爱国,冰心,《佚名》
40,“这种冲动有用么？在战场上每个人都是可以牺牲的！你是组长，组长的任务不是最大程度地确保团队存活么？”,爱国,江南,《龙族3·黑月之潮》
41,我爱我的祖国，爱我的人民，离开了它，离开了他们，我就无法生存，更无法写作。,爱国,巴金,
42,我有一个《东方时空》的同事，在一篇文章里也写到类似的感受。出差很长时间从国外回来，下了飞机居然没先回家，而是直奔他最喜欢的那家牛肉拉面店，一大碗连汤带水吃下去，出了一身汗，这才觉得到家了。他有一句话让我特别感慨：“所谓爱国，原来是爱我家门口的那碗牛肉面。”,爱国,白岩松,《白说》
43,他把盒子清空，从土路中央抓起一把灰泥，他亲吻泥土，把它放进盒子，把盒子放进胸前的口袋，贴着他的心。,爱国,卡勒德·胡赛尼,《追风筝的人》
44,有那么一阵，这个国家焕发出勃勃生机，也有各种远大目标，人们谈论着妇女权利和现代科技。,爱国,卡勒德·胡赛尼,《追风筝的人》
45,爸爸惟一像爱他妻子那样深爱着的，是阿富汗，他的故国。,爱国,卡勒德·胡赛尼,《追风筝的人》
46,他是我最爱的人，为了他，我可以欺骗世上任何一个人。我就是如此不堪的爱着他。,爱国,张小娴,《流波上的舞》
