,text,tag,author,from_book
0,爱情最好的治疗是和让你感到爱情的姑娘上床，让你的身体和她泡在一起，多谈人生或者理想，七年之后，你如果不傻掉，爱情自己就跑了。曾经让你成为非人类的姑娘，长发剪短，仙气消散，凤凰变回母鸡，玫瑰变回菜花。,爱情,冯唐,《活着活着就老了》
1,感冒仿佛爱情，如果上帝是个程序员，感冒和爱情应该被编在一个子程序里。感冒简单些，编程用了一百行，爱情复杂些，用了一万行。,爱情,冯唐,《活着活着就老了》
2,问她为什么好久没有音信，她回了一句恶俗的台湾爱情诗：有时关切是问，有时关切是不问。这样水波不兴，你好我也好。山还是山，水还是水，生活和工作终会照旧。,爱情,冯唐,《活着活着就老了》
3,“所以爱会消失对不对”,爱情,林君阳,《我们与恶的距离》
4,再深的感情也抵不住金钱权力地位的欲望，爱情终究要输给野心和贪婪。,爱情,刘惠宁,
5,相爱和相处是两回事。相爱是吸引，而相处是为对方而改变。,爱情,刘惠宁,
6,你到了深圳，要注意身体，多吃饭。那里人都吃大米，很少吃面食，我们北方人吃不惯，你爱吃面，要学着习惯。那里夏天热，冬天潮，你要自己注意冷暖。你有时候脾气不好，出门在外要学着忍让。记着，吃亏是福。广东话听不懂，你要多给我打电话，这里，是我给你的五百块钱，你拿好了，里面还有我的照片，想我了就看看，我爱你。,爱情,刘惠宁,
7,我就想要，我们在一起，听你跟我说“我爱你”。,爱情,刘惠宁,
8,"爱情很简单，无非是三个字:我爱你,我恨你,你好吗,还好啊,对不起,分手吧。",爱情,刘惠宁,《相爱十年》
9,有时候你爱一个人，不一定是爱他，你只是不甘心罢了。,爱情,刘惠宁,《相爱十年》
10,十年之前我们是朋友，十年之后还可以做朋友。时间是多么残酷的东西，他可以让爱情变成亲情，但是同样，它也可以让爱情变得面目全非。,爱情,刘惠宁,《相爱十年》
11,如果爱是鸿毛，那陪伴就是泰山。,爱情,,
12,我了解她几乎所有习惯，知道她很多秘密，而她却不知道，她就是我的秘密。,爱情,郑执,《生吞》
13,多年以后我才知道，那叫爱，爱是干净的，不会弄脏谁。,爱情,郑执,《生吞》
14,平江柳色青，花月遥相守。,爱情,Priest,《山河令》
15,等我找到了真正回人间的路就变回人了，变得像我在“外面”的时候一样，随行又好脾气，不再喜怒无常，不再疯疯癫癫……有一个人陪着我……他不怕我，我也对他好，可以在一起一辈子的人。,爱情,Priest,《山河令》
16,阿絮，你怎么叫我名字叫的这么好听?,爱情,Priest,《山河令》
17,两人紧紧抱着对方，说着永远听不厌的动情话儿，感受彼此还活着的心跳，仿佛两人必须像这样，贴心的靠在一起，才算是真正的活着。,爱情,何马,《藏地密码》
18,有时候，荣华富贵，天下至尊，也抵不过一个真心所爱之人。,爱情,玄色,《哑舍》
19,不相见便可不相识，不相识便可不相知，不相知便可不相思。,爱情,玄色,《哑舍》
20,说什么情深似海，实际上他就是看多了书，爱的就是情深似海，你可不要见他可怜，就心软了。,爱情,饶俊,《我就是这般女子》
