,text,tag,author,from_book
0,我是个很记仇的人。如果你扇了我一巴掌，当下我无力还回去，那请你记住，以后的某一刻你一定要承受住我的十巴掌。,狠话,,
1,在这里没有谁跟谁混，只有单打独斗，混不下去就滚蛋。,狠话,刘惠宁,
2,你祖宗的坟我来挖，你的坟我孙子来挖。,狠话,辰东,《遮天》
3,你是英雄，所以要死，这个世间从来没有活着的英雄。,狠话,辰东,《遮天》
4,我任你复生，活一次我杀你一次，直到将你的不屈意志粉碎！,狠话,辰东,《遮天》
5,若错乱一生，我将在滚滚红尘中堕落，若有一天我为帝时，必斩尽所有与我有关的人，洗涤我一生的荣辱沉浮！,狠话,辰东,《遮天》
6,"你愿意稼给他吗，""当然不愿意""，那我便去斩了他。",狠话,辰东,《遮天》
7,人跟人之间，很多事情是不公平的，别人也许可以拼凶拼恶拼权拼势拼爹妈，但永远有一件事可以把我们拉到一条线上……那就是拼命。,狠话,愤怒的香蕉,《赘婿》
8,下次再来，必荡平你的庭院。,狠话,李蔚然,《侍神令》
9,忠臣利剑锋芒，乱臣贼子惊惧！,狠话,老猪,《紫川》
10,她逼着我咬牙切齿地活在这个世界上，用一种穷凶极恶的姿态来苛责自己，也苛责身边的其他人。,狠话,独木舟,《一粒红尘》
11,赤发上人要你死，你就没有道理活。,狠话,路阳,《刺杀小说家》
12,要么永远不踏出那一步。,狠话,克莱儿·麦克福尔,《摆渡人》
13,许成博，这世上唯有愚蠢最叫人无法原谅。,狠话,闫宇彤,《阳光之下》
14,我能心平气和地打死你吗？,狠话,李潇,《好先生》
15,妖就是妖，修炼一百年也成不了人！,狠话,麦家,《风声》
16,你等伏魔、我就诛仙,狠话,萧鼎,《青云志》
17,你要成佛成仙，我跟你去，你要下十八层地狱，我也跟你去。你要投胎，我不答应！,狠话,小吉祥天,《灵魂摆渡》
18,You kill or you die . Or you die and you kill ！,狠话,罗伯特·柯克曼,《行尸走肉》
19,所有的烟馆赌馆一律查封!不把你们赶尽杀绝，我誓不为人！,狠话,莫言,《红高粱》
20,男人嘛，玩物！（讲道武则天的那一段）,狠话,余世维,《佚名》
21,抢走别人的婴儿，恐怕比强盗抢钱财，抢其他东西都罪孽深吧，也许比杀人还要坏！,狠话,川端康成,《古都》
22,之所以憧憬，是因为那些人曾经也是一帮罪人。,狠话,川端康成,《千只鹤》
23,如果可以，你应该自己选择战斗与否，但如果战斗找上了门，那就狠狠地对着他们的下面来一脚吧！,狠话,弗雷德里克·巴克曼,《外婆的道歉信》
24,好好长大，做个与众不同的人，不要让任何人告诉你不应该不同，因为所有超级英雄都是与众不同的，如果他们敢惹你，就踢他们的要害！,狠话,弗雷德里克·巴克曼,《外婆的道歉信》
25,我们这代人最重要的是：死缠烂打。,狠话,周智勇,《中国合伙人》
26,愚蠢是本质的一种衰弱，无法弥补。,狠话,卡尔维诺,《我们的祖先》
27,告诉我如何去爱这个抛弃了我，却还道貌岸然的批判我的世界？,狠话,HEHE,《浪漫传说》
28,这罪与堕落交织的夜晚，谁能等到黎明，这些可笑的事物终将消逝。血点缀的白玫瑰永远是最华丽的，最好的东西一定是我的，我一定不会放手，哪怕是付出一切。,狠话,HEHE,《浪漫传说》
29,血与荣耀，铸就男人。,狠话,乔万尼奥里,《斯巴达克斯》
30,往往否决你们重逢的人，格杀无论。,狠话,乔万尼奥里,《斯巴达克斯》
31,想要听懂我锋刃的真实声音，首先要懂得，痛恨重生。,狠话,佚名,《英雄联盟》
32,我们的狂怒，你驾驭不住。,狠话,佚名,《英雄联盟》
33,Dead men tell my tale.,狠话,佚名,《英雄联盟》
34,发动机已启动，随时可以出发！ Fired up and ready to serve.,狠话,佚名,《英雄联盟》
35,从前有个怪物，他一直在吃东西，却怎么也吃不饱。所以到最后，他把他自己也吃掉了！,狠话,佚名,《英雄联盟》
36,血在流，一个不留。,狠话,佚名,《英雄联盟》
37,我的每次胜利都象征着正义正在崩塌！,狠话,佚名,《英雄联盟》
38,今晚的天气预报，黑暗。有时有痛苦！,狠话,佚名,《英雄联盟》
