,text,tag,author,from_book
0,诸如气功，瑜伽，它们都是通过接触自然和调整呼吸来达到改善内环境的目的，通过改善内环境而使身体内外协调，趋于完满，这，才是真正的健康。,环境,何马,《藏地密码》
1,月色和雪色之间,环境,余光中,
2,懂事的孩子只是不会无理取闹而已，,环境,李祐汀,《请回答1988》
3,房间里有焦糖的气味侵入，还有炒花生的香味，中国菜汤的气味，烤肉香味，各种绿草的气息，茉莉的芳香，飞尘的气息，乳香的气息，烧炭发出的气味，这里炭火是装在篮子里的，炭火装在篮中沿街叫卖，所以城市的气味就是丛莽、森林中偏僻村庄发出的气息。,环境,杜拉斯,《情人》
4,性格决定了他们的命运，然而又是什么决定了他们的性格。我们无法改变所有人的环境，无法保证所有人都是处在那样一个能培养出良好性格的环境，所以，请不要轻易地去评论每一个人的好坏。,环境,杜拉斯,《情人》
5,为什么会有婚外情？因为很多人在婚内感觉不舒服，所以就要到婚外去换个环境。为什么会不舒服呢？说到底是因为沟通出现了问题。,环境,王海鸰,《中国式离婚》
6,这个内在真我不会随你的身体而生，也不随着死亡而消失，它可以观察人生百态，欣赏日出月落，云起云灭，而岁月的流转，环境的变迁，都不会改变它。,环境,张德芬,《遇见未知的自己》
7,性格倾向×外在环境×各种教育×生活事件×前世业力(如果你相信的话)=人生模式,环境,张德芬,《遇见未知的自己》
8,人不是完全受到限制和决定的。人是自己做出了是屈服于环境和条件还是勇敢挑战那些环境和条件的决定，换句话说，人最终决定着自己的命运。,环境,维克多·弗兰克尔,《活出生命的意义》
9,正是在极端困苦的环境下，人才有实现精神升华的机会。,环境,维克多·弗兰克尔,《活出生命的意义》
10,有一样东西你是不能从人的手中夺去的，那就是最宝贵的自由，人们一直拥有在任何环境中选择自己的态度和行为方式的自由。,环境,维克多·弗兰克尔,《活出生命的意义》
11,事物相互决定对方，但人最终是自我决定的。他成为什么——在天赋与环境的限度内——是他自己决定的结果。,环境,维克多·弗兰克尔,《活出生命的意义》
12,基本可以肯定的是，凡是那些非常自以为是，性格偏执的人，他的童年中一定有一段较长的必须服从于他人意志的生活，个人的意愿不断受到压抑。这是童年时代环境给他留下的心理创伤，一生难以完全愈合。很多人把这种偏执施行于自己的后代身上，又在后代身上留下偏执痕迹。,环境,尹建莉,《好妈妈胜过好老师》
13,桃李不言，下自成蹊，家长的行动比言语更有说服力。要尽可能减少环境中的诱惑，而不是劝说孩子去抵抗诱惑；要用“人性”来体恤孩子，而不是用“神性”来要求孩子。我认为每个孩子都是非常懂得感恩的，如果家长在和他相处中很体贴他的心，他也会反过来以他的“懂事”和“听话”回报家长。,环境,尹建莉,《好妈妈胜过好老师》
14,在严厉环境下长大的孩子，会变得自卑，性格内向，缺少人际沟通能力，缺少自我反思和自我管理能力，坏脾气，甚至是堕落等等。,环境,尹建莉,《好妈妈胜过好老师》
15,在严厉环境下长大的孩子，会变得自卑，性格内向，缺少人际沟通能力，缺少自我反思和自我管理能力，坏脾气，甚至是堕落等等。,环境,尹建莉,《好妈妈胜过好老师》
16,交谈能够改变观念，观念能够改变行为，行为能够改变环境。 我知道这并不容易。职场女性，尤其是那些资历尚浅的女性，都担心提出男女平等的问题会让自己看起来很不专业，或是在谴责别人。我见过有女性沮丧地抱怨自己在工作中不受重视或被轻视。,环境,雪莉·桑德伯格,《向前一步》
17,女性若能够走出一条时上时下，迂回曲折甚至偶尔会误入死胡同的独特路线，才会为自我实现提供更好的机会。选择快速发展的公司将会受益更多。考试前看书才会学得更快，战争前擦枪也会更亮。在竞争环境中，我们会表现出令人吃惊的创造力和记忆力。即便我这般智商平平的人也经常靠意志力取胜。去可以让你挥洒汗水和热情的地方，不管什么时候，好奇心都是人类活下去的勇气。追求稳妥并不是止步不前。,环境,雪莉·桑德伯格,《向前一步》
18,当我们最后向命运低头，认为自己是环境的牺牲品，屈服于所谓的宿命论带来的厄运时，我们就丢弃了希望，抛却了理想，习惯了听天由命，选择了停滞不前。 在这个世界上，没有谁是微不足道的。 从你呱呱坠地的那一刻起，就有无数人目送着你就走上了一条实现自我价值的路。而这条路看似普通却又是那样的特别，以至于这个世界上再找不出一条与它相同甚至是相似的路，它只属于你，只能由你一人来装点。,环境,史蒂芬·柯维,《高效能人士的七个习惯》
19,积极主动——个人愿景的原则 所有正确有益的观念都必须以这种 “自我思维”为基础，它影响我们的行为态度以及如何看待别人，有了这种认识之后，将心比心，我们也就不难体会他人的想法。否则难免会以己之心度人之意，以致于表错情会错意。我们能够检讨自己的自我思维究竟确实发自内在，还是来自社会的制约与环境的影响。,环境,史蒂芬·柯维,《高效能人士的七个习惯》
20,小小的客厅，经过细心布置，显得很整洁。小圆桌铺上了台布，添了瓶盛开的腊梅，吐着幽香；一些彩色贺年片和几碟糖果，点缀着新年气氛。壁上挂的单条，除原来的几幅外，又加了一轴徐悲鸿画的骏马。,环境,杨益言,《红岩》
21,牛角沱码头上挤满了等候过江的人。成瑶排在一个老太婆背后，性急地蹬着脚，又踮起脚尖朝前望。前面，一条线的人头一直排到趸船边。趸船上站着两个戴黑眼镜的人，嘴角上叼着烟卷，在那里指手划脚。,环境,杨益言,《红岩》
22,和前几次回家一样，仍然听不见嘈杂的金属撞击声和电动机嗡嗡的低鸣，厂里全是静悄悄的。成瑶不管这些，朝一座小小的灰色砖房的楼上直跑。,环境,杨益言,《红岩》
23,清晨，一列从北平向东开行的平沈通车，正驰行在辽阔、碧绿的田野上。茂盛的庄稼，明亮的小河，黄色的泥屋，矗立的电杆全闪电似的在凭倚车窗的搭客眼前闪了曩昔。,环境,杨沫,《青春之歌》
24,月在出来了，他们还沿着海滩散着步。温和的海风悄悄吹拂着，片片乌云在天涯浮游着。,环境,杨沫,《青春之歌》
25,大雨在窗外倾注着，海涛惊人地呼啸着，天宇布满了激动的呐喊。但是道静甚么也不晓得。,环境,杨沫,《青春之歌》
26,原来这孽海和奴乐岛，却是接着中国地面，在瀚海之南，黄海之西，青海之东，支那海之北。,环境,曾朴,《孽海花》
27,又东三百五十里曰箕尾之山，其尾跤于东海，多沙石。,环境,佚名,《山海经》
28,志望幼海，东望博木，无草木，多风，是山也，广员百里。,环境,佚名,《山海经》
29,在这个十年的后期，计算机就会作为可视化虚拟现实。因此，“去一个网站”将意味着进入一个虚拟现实环境(至少在视觉和听觉上是这样)，在这个虚拟环境中，我们可以与产品和人员进行直接的交互，这种交互融合了真实与虚拟。虽然模拟的人达不到人类的水准，但它们作为销售代理、预约文员、研究助理是可以达到满意效果的。触觉接口使我们能够触摸到模拟的产品和人。很难说，即将到来的有着丰富交互界面的虚拟世界或许可能完全胜过现在的实实在在的世界。,环境,雷·库兹韦尔,《奇点临近》
30,身为女人，必须记得，你就是珠宝，而男人则为你提供适宜的环境让你熠熠生辉。正是因为你的高贵和自信使你散发出耀眼的光芒，他从你的光芒中得到满足，他就会乐于为两人的感情做出更多的付出。,环境,约翰·格雷,《男人来自火星女人来自金星》
