,text,tag,author,from_book
0,如果有来世，我还做你的女儿，不！下辈子咱俩换一下我当妈,电影台词,贾玲,《你好，李焕英》
1,我做事情没有值不值得，只有情不情愿。,电影台词,,
2,"Lift up your head princess, if not, the crown falls. 请抬起你的头， 我的公主，不然皇冠会掉下来的",电影台词,达尔顿·特朗勃,《罗马假日》
3,Scarlett : You do waltz divinely，Captian Butler.,电影台词,玛格丽特·米切尔,《乱世佳人》
4,"Sir, you’re no gentleman. And you miss are no lady.",电影台词,玛格丽特·米切尔,《乱世佳人》
5,若是因为身份而无法展开一段恋情，那只是因为你没有足够的魅力让对方突破自己的身份而已,电影台词,,
6,你知不知道我为什么只有你一个小弟啊仁哥没别的我就喜欢你做事专心做事专心很重要的你看琛哥多专心是吧还有啊今天这事可别向琛哥爆料你知道自从大嫂死后他最讨厌手下去警局混了你饶了我吧,电影台词,麦兆辉,《无间道》
7,“给我一个机会。”,电影台词,麦兆辉,《无间道》
8,从孩子出生开始父母就成为了他们的幽灵。,电影台词,克里斯托弗·诺兰,《星际穿越》
9,夏洛：向日葵这寓意好，它象征着永远朝着太阳，阳光，浪漫！,电影台词,闫非,《夏洛特烦恼》
10,我当时问你在干嘛,电影台词,张北海,《邪不压正》
11,外国男人只想乱搞，中国男人都想成大事,电影台词,张北海,《邪不压正》
12,怎么相信一个写日记的人,电影台词,张北海,《邪不压正》
13,你总是给自己设置障碍，因为你不敢,电影台词,张北海,《邪不压正》
14,我就喜欢你手重,电影台词,张北海,《邪不压正》
15,说干就干，come on！,电影台词,张北海,《邪不压正》
16,印度是穷人的药房。,电影台词,文牧野,《我不是药神》
17,"仁心妙手谱众生,徒留人间万古名.",电影台词,文牧野,《我不是药神》
18,死胖子胖的跟猪一样比猴还精。,电影台词,文牧野,《我不是药神》
19,有病没有药是天灾，有药买不起是人祸。,电影台词,文牧野,《我不是药神》
20,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,电影台词,北野武,《菊次郎的夏天》
21,即使现实再令我恐惧，再令我痛苦，也只有在现实中，我才能真正吃顿好饭,电影台词,扎克·佩恩 Zak Penn,《头号玩家》
